recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,0.8888888888888888
0.09,0.9
0.1,0.9090909090909091
0.11,0.7857142857142857
0.12,0.8
0.13,0.8125
0.14,0.8235294117647058
0.15,0.8333333333333334
0.16,0.8421052631578947
0.17,0.85
0.18,0.8571428571428571
0.19,0.8636363636363636
0.2,0.8695652173913043
0.21,0.875
0.22,0.8461538461538461
0.23,0.8214285714285714
0.24,0.8275862068965517
0.25,0.8333333333333334
0.26,0.8387096774193549
0.27,0.84375
0.28,0.8484848484848485
0.29,0.8529411764705882
0.3,0.8571428571428571
0.31,0.8611111111111112
0.32,0.8421052631578947
0.33,0.825
0.34,0.8292682926829268
0.35,0.8333333333333334
0.36,0.8372093023255814
0.37,0.8409090909090909
0.38,0.8260869565217391
0.39,0.8297872340425532
0.4,0.8333333333333334
0.41,0.82
0.42,0.8235294117647058
0.43,0.8113207547169812
0.44,0.8
0.45,0.8035714285714286
0.46,0.8070175438596491
0.47,0.8103448275862069
0.48,0.7741935483870968
0.49,0.7777777777777778
0.5,0.746268656716418
0.51,0.75
0.52,0.6582278481012658
0.53,0.6625
0.54,0.6585365853658537
0.55,0.6626506024096386
0.56,0.6511627906976745
0.57,0.6477272727272727
0.58,0.651685393258427
0.59,0.6483516483516484
0.6,0.631578947368421
0.61,0.6354166666666666
0.62,0.6019417475728155
0.63,0.6057692307692307
0.64,0.6095238095238096
0.65,0.5909090909090909
0.66,0.584070796460177
0.67,0.5583333333333333
0.68,0.5528455284552846
0.69,0.552
0.7,0.5511811023622047
0.71,0.5419847328244275
0.72,0.5413533834586466
0.73,0.5104895104895105
0.74,0.5068493150684932
0.75,0.5102040816326531
0.76,0.5033112582781457
0.77,0.4583333333333333
0.78,0.4588235294117647
0.79,0.45664739884393063
0.8,0.45454545454545453
0.81,0.4576271186440678
0.82,0.44324324324324327
0.83,0.44623655913978494
0.84,0.4444444444444444
0.85,0.4427083333333333
0.86,0.39814814814814814
0.87,0.4009216589861751
0.88,0.39819004524886875
0.89,0.39732142857142855
0.9,0.32608695652173914
0.91,0.3170731707317073
0.92,0.3129251700680272
0.93,0.2897196261682243
0.94,0.27728613569321536
0.95,0.2661064425770308
0.96,0.257372654155496
0.97,0.24433249370277077
0.98,0.22632794457274827
0.99,0.20454545454545456
1.0,0.20080321285140562
