recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,0.8888888888888888
0.09,0.8181818181818182
0.1,0.8333333333333334
0.11,0.8461538461538461
0.12,0.8
0.13,0.8125
0.14,0.8235294117647058
0.15,0.8333333333333334
0.16,0.8421052631578947
0.17,0.85
0.18,0.8571428571428571
0.19,0.8260869565217391
0.2,0.8333333333333334
0.21,0.84
0.22,0.8461538461538461
0.23,0.8518518518518519
0.24,0.8571428571428571
0.25,0.8620689655172413
0.26,0.8666666666666667
0.27,0.8709677419354839
0.28,0.875
0.29,0.8787878787878788
0.3,0.8823529411764706
0.31,0.8611111111111112
0.32,0.8648648648648649
0.33,0.8461538461538461
0.34,0.85
0.35,0.7954545454545454
0.36,0.8
0.37,0.7708333333333334
0.38,0.7307692307692307
0.39,0.7222222222222222
0.4,0.7272727272727273
0.41,0.7192982456140351
0.42,0.7241379310344828
0.43,0.7049180327868853
0.44,0.7096774193548387
0.45,0.7142857142857143
0.46,0.71875
0.47,0.7014925373134329
0.48,0.6857142857142857
0.49,0.6901408450704225
0.5,0.684931506849315
0.51,0.6891891891891891
0.52,0.6933333333333334
0.53,0.6973684210526315
0.54,0.6923076923076923
0.55,0.6962025316455697
0.56,0.6746987951807228
0.57,0.6705882352941176
0.58,0.6666666666666666
0.59,0.6413043478260869
0.6,0.631578947368421
0.61,0.6161616161616161
0.62,0.5794392523364486
0.63,0.5575221238938053
0.64,0.5423728813559322
0.65,0.5078125
0.66,0.4782608695652174
0.67,0.48201438848920863
0.68,0.4788732394366197
0.69,0.44805194805194803
0.7,0.4430379746835443
0.71,0.4011299435028249
0.72,0.4022346368715084
0.73,0.38219895287958117
0.74,0.3645320197044335
0.75,0.36585365853658536
0.76,0.3486238532110092
0.77,0.3422222222222222
0.78,0.34210526315789475
0.79,0.33760683760683763
0.8,0.33195020746887965
0.81,0.3347107438016529
0.82,0.3346938775510204
0.83,0.332
0.84,0.32432432432432434
0.85,0.31954887218045114
0.86,0.30604982206405695
0.87,0.30313588850174217
0.88,0.284789644012945
0.89,0.28343949044585987
0.9,0.28125
0.91,0.2774390243902439
0.92,0.27710843373493976
0.93,0.26495726495726496
0.94,0.25824175824175827
0.95,0.25
0.96,0.23132530120481928
0.97,0.22298850574712645
0.98,0.21923937360178972
0.99,0.21019108280254778
1.0,0.205761316872428
