recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,1.0
0.2,1.0
0.21,1.0
0.22,1.0
0.23,1.0
0.24,1.0
0.25,1.0
0.26,1.0
0.27,1.0
0.28,1.0
0.29,1.0
0.3,1.0
0.31,1.0
0.32,1.0
0.33,1.0
0.34,1.0
0.35,1.0
0.36,1.0
0.37,1.0
0.38,1.0
0.39,1.0
0.4,1.0
0.41,1.0
0.42,1.0
0.43,1.0
0.44,1.0
0.45,1.0
0.46,1.0
0.47,1.0
0.48,1.0
0.49,1.0
0.5,1.0
0.51,1.0
0.52,1.0
0.53,1.0
0.54,1.0
0.55,0.9821428571428571
0.56,0.9333333333333333
0.57,0.9344262295081968
0.58,0.9354838709677419
0.59,0.9365079365079365
0.6,0.9375
0.61,0.9384615384615385
0.62,0.9393939393939394
0.63,0.9402985074626866
0.64,0.927536231884058
0.65,0.9285714285714286
0.66,0.9166666666666666
0.67,0.9054054054054054
0.68,0.9066666666666666
0.69,0.9078947368421053
0.7,0.8860759493670886
0.71,0.8554216867469879
0.72,0.8571428571428571
0.73,0.8111111111111111
0.74,0.7789473684210526
0.75,0.78125
0.76,0.7676767676767676
0.77,0.77
0.78,0.7428571428571429
0.79,0.7452830188679245
0.8,0.7476635514018691
0.81,0.7363636363636363
0.82,0.7321428571428571
0.83,0.7345132743362832
0.84,0.7304347826086957
0.85,0.7264957264957265
0.86,0.6991869918699187
0.87,0.6904761904761905
0.88,0.6929133858267716
0.89,0.5933333333333334
0.9,0.5454545454545454
0.91,0.47150259067357514
0.92,0.46938775510204084
0.93,0.3576923076923077
0.94,0.27976190476190477
0.95,0.2761627906976744
0.96,0.2704225352112676
0.97,0.24494949494949494
0.98,0.245
0.99,0.21428571428571427
1.0,0.20833333333333334
