recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,1.0
0.2,1.0
0.21,0.9130434782608695
0.22,0.9166666666666666
0.23,0.92
0.24,0.9230769230769231
0.25,0.9259259259259259
0.26,0.9285714285714286
0.27,0.9310344827586207
0.28,0.9032258064516129
0.29,0.90625
0.3,0.9090909090909091
0.31,0.9117647058823529
0.32,0.9142857142857143
0.33,0.8918918918918919
0.34,0.8947368421052632
0.35,0.8536585365853658
0.36,0.8571428571428571
0.37,0.8409090909090909
0.38,0.8444444444444444
0.39,0.8478260869565217
0.4,0.851063829787234
0.41,0.8367346938775511
0.42,0.84
0.43,0.8431372549019608
0.44,0.8461538461538461
0.45,0.8490566037735849
0.46,0.8070175438596491
0.47,0.7966101694915254
0.48,0.7058823529411765
0.49,0.7
0.5,0.6944444444444444
0.51,0.6986301369863014
0.52,0.6933333333333334
0.53,0.6973684210526315
0.54,0.6835443037974683
0.55,0.6875
0.56,0.6666666666666666
0.57,0.6705882352941176
0.58,0.6590909090909091
0.59,0.6276595744680851
0.6,0.6185567010309279
0.61,0.6161616161616161
0.62,0.6019417475728155
0.63,0.6
0.64,0.6037735849056604
0.65,0.5963302752293578
0.66,0.5546218487394958
0.67,0.5537190082644629
0.68,0.544
0.69,0.5307692307692308
0.7,0.5303030303030303
0.71,0.5298507462686567
0.72,0.5333333333333333
0.73,0.5367647058823529
0.74,0.5362318840579711
0.75,0.5357142857142857
0.76,0.5277777777777778
0.77,0.5273972602739726
0.78,0.5234899328859061
0.79,0.4968553459119497
0.8,0.4968944099378882
0.81,0.4879518072289157
0.82,0.49101796407185627
0.83,0.48823529411764705
0.84,0.4883720930232558
0.85,0.4913294797687861
0.86,0.450261780104712
0.87,0.41232227488151657
0.88,0.411214953271028
0.89,0.388646288209607
0.9,0.391304347826087
0.91,0.35135135135135137
0.92,0.3471698113207547
0.93,0.34317343173431736
0.94,0.3443223443223443
0.95,0.3275862068965517
0.96,0.3287671232876712
0.97,0.32441471571906355
0.98,0.2890855457227139
0.99,0.26975476839237056
1.0,0.24630541871921183
