recall,precision
0.0,0.0
0.04,0.2
0.08,0.2857142857142857
0.12,0.375
0.16,0.2222222222222222
0.2,0.23809523809523808
0.24,0.25
0.28,0.28
0.32,0.3076923076923077
0.36,0.3103448275862069
0.4,0.3333333333333333
0.44,0.2972972972972973
0.48,0.2926829268292683
0.52,0.28888888888888886
0.56,0.2916666666666667
0.6,0.29411764705882354
0.64,0.21333333333333335
0.68,0.2236842105263158
0.72,0.23076923076923078
0.76,0.2289156626506024
0.8,0.2247191011235955
0.84,0.19811320754716982
0.88,0.19130434782608696
0.92,0.19166666666666668
0.96,0.1935483870967742
1.0,0.1953125
