recall,precision
0.0,0.0
0.04,0.0625
0.08,0.1111111111111111
0.12,0.125
0.16,0.125
0.2,0.13513513513513514
0.24,0.15789473684210525
0.28,0.15555555555555556
0.32,0.17391304347826086
0.36,0.16071428571428573
0.4,0.1724137931034483
0.44,0.1864406779661017
0.48,0.19672131147540983
0.52,0.20967741935483872
0.56,0.21212121212121213
0.6,0.22388059701492538
0.64,0.23529411764705882
0.68,0.2328767123287671
0.72,0.23376623376623376
0.76,0.2261904761904762
0.8,0.23255813953488372
0.84,0.23595505617977527
0.88,0.23157894736842105
0.92,0.21495327102803738
0.96,0.21621621621621623
1.0,0.20491803278688525
