recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,1.0
0.2,1.0
0.21,1.0
0.22,1.0
0.23,1.0
0.24,1.0
0.25,1.0
0.26,1.0
0.27,1.0
0.28,1.0
0.29,1.0
0.3,1.0
0.31,1.0
0.32,1.0
0.33,1.0
0.34,1.0
0.35,1.0
0.36,1.0
0.37,1.0
0.38,1.0
0.39,1.0
0.4,1.0
0.41,1.0
0.42,1.0
0.43,1.0
0.44,1.0
0.45,1.0
0.46,1.0
0.47,1.0
0.48,1.0
0.49,1.0
0.5,1.0
0.51,1.0
0.52,1.0
0.53,1.0
0.54,1.0
0.55,1.0
0.56,1.0
0.57,1.0
0.58,1.0
0.59,1.0
0.6,1.0
0.61,1.0
0.62,1.0
0.63,1.0
0.64,1.0
0.65,1.0
0.66,1.0
0.67,1.0
0.68,0.9855072463768116
0.69,0.971830985915493
0.7,0.9722222222222222
0.71,0.9594594594594594
0.72,0.96
0.73,0.948051948051948
0.74,0.9487179487179487
0.75,0.9259259259259259
0.76,0.926829268292683
0.77,0.9166666666666666
0.78,0.9176470588235294
0.79,0.9186046511627907
0.8,0.898876404494382
0.81,0.8709677419354839
0.82,0.8723404255319149
0.83,0.8736842105263158
0.84,0.8484848484848485
0.85,0.8415841584158416
0.86,0.8349514563106796
0.87,0.8130841121495327
0.88,0.7857142857142857
0.89,0.7876106194690266
0.9,0.7758620689655172
0.91,0.7520661157024794
0.92,0.7419354838709677
0.93,0.7265625
0.94,0.7230769230769231
0.95,0.6129032258064516
0.96,0.5303867403314917
0.97,0.5078534031413613
0.98,0.36162361623616235
0.99,0.2990936555891239
1.0,0.2949852507374631
