recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,1.0
0.2,1.0
0.21,1.0
0.22,1.0
0.23,1.0
0.24,1.0
0.25,1.0
0.26,1.0
0.27,1.0
0.28,1.0
0.29,1.0
0.3,1.0
0.31,1.0
0.32,1.0
0.33,1.0
0.34,1.0
0.35,1.0
0.36,1.0
0.37,1.0
0.38,1.0
0.39,1.0
0.4,1.0
0.41,1.0
0.42,1.0
0.43,1.0
0.44,1.0
0.45,1.0
0.46,1.0
0.47,1.0
0.48,1.0
0.49,1.0
0.5,1.0
0.51,1.0
0.52,1.0
0.53,1.0
0.54,1.0
0.55,1.0
0.56,1.0
0.57,1.0
0.58,1.0
0.59,1.0
0.6,1.0
0.61,1.0
0.62,0.9841269841269841
0.63,0.984375
0.64,0.9696969696969697
0.65,0.9701492537313433
0.66,0.9705882352941176
0.67,0.9710144927536232
0.68,0.9714285714285714
0.69,0.9324324324324325
0.7,0.9333333333333333
0.71,0.922077922077922
0.72,0.9
0.73,0.9012345679012346
0.74,0.9024390243902439
0.75,0.8823529411764706
0.76,0.8735632183908046
0.77,0.875
0.78,0.8666666666666667
0.79,0.8586956521739131
0.8,0.8602150537634409
0.81,0.826530612244898
0.82,0.8282828282828283
0.83,0.7904761904761904
0.84,0.711864406779661
0.85,0.6746031746031746
0.86,0.581081081081081
0.87,0.5723684210526315
0.88,0.5605095541401274
0.89,0.55625
0.9,0.5421686746987951
0.91,0.5416666666666666
0.92,0.5411764705882353
0.93,0.543859649122807
0.94,0.5081081081081081
0.95,0.4260089686098655
0.96,0.36363636363636365
0.97,0.3190789473684211
0.98,0.2978723404255319
0.99,0.21615720524017468
1.0,0.20366598778004075
