recall,precision
0.01,1.0
0.02,1.0
0.03,1.0
0.04,1.0
0.05,1.0
0.06,1.0
0.07,1.0
0.08,1.0
0.09,1.0
0.1,1.0
0.11,1.0
0.12,1.0
0.13,1.0
0.14,1.0
0.15,1.0
0.16,1.0
0.17,1.0
0.18,1.0
0.19,1.0
0.2,1.0
0.21,1.0
0.22,1.0
0.23,1.0
0.24,1.0
0.25,1.0
0.26,1.0
0.27,1.0
0.28,1.0
0.29,1.0
0.3,1.0
0.31,1.0
0.32,1.0
0.33,1.0
0.34,1.0
0.35,1.0
0.36,1.0
0.37,1.0
0.38,1.0
0.39,1.0
0.4,1.0
0.41,1.0
0.42,1.0
0.43,1.0
0.44,1.0
0.45,1.0
0.46,1.0
0.47,1.0
0.48,1.0
0.49,1.0
0.5,1.0
0.51,1.0
0.52,1.0
0.53,1.0
0.54,1.0
0.55,1.0
0.56,1.0
0.57,1.0
0.58,1.0
0.59,1.0
0.6,1.0
0.61,1.0
0.62,1.0
0.63,1.0
0.64,1.0
0.65,1.0
0.66,1.0
0.67,1.0
0.68,1.0
0.69,1.0
0.7,1.0
0.71,1.0
0.72,1.0
0.73,1.0
0.74,1.0
0.75,0.9868421052631579
0.76,0.9743589743589743
0.77,0.9746835443037974
0.78,0.975
0.79,0.9753086419753086
0.8,0.963855421686747
0.81,0.9642857142857143
0.82,0.9534883720930233
0.83,0.9540229885057471
0.84,0.9230769230769231
0.85,0.9239130434782609
0.86,0.9247311827956989
0.87,0.925531914893617
0.88,0.8627450980392157
0.89,0.8476190476190476
0.9,0.6521739130434783
0.91,0.6546762589928058
0.92,0.6133333333333333
0.93,0.5054347826086957
0.94,0.48704663212435234
0.95,0.4634146341463415
0.96,0.3076923076923077
0.97,0.260752688172043
0.98,0.24561403508771928
0.99,0.23349056603773585
1.0,0.2028397565922921
