num_removed,accuracy
0,0.849
1,0.849
2,0.8495
3,0.8495
4,0.8495
5,0.849
6,0.849
7,0.8495
8,0.8495
9,0.8495
10,0.8495
11,0.849
12,0.8495
13,0.8495
14,0.85
15,0.85
16,0.85
17,0.8495
18,0.85
19,0.849
20,0.8495
21,0.849
22,0.85
23,0.8495
24,0.8465
25,0.847
26,0.847
27,0.847
28,0.848
29,0.848
30,0.848
31,0.8445
32,0.8445
33,0.843
34,0.8425
35,0.8405
36,0.8405
37,0.841
38,0.841
39,0.8415
40,0.8435
41,0.8435
42,0.843
43,0.843
44,0.843
45,0.843
46,0.843
47,0.8435
48,0.8435
49,0.841
50,0.8415
51,0.8415
52,0.8415
53,0.8415
54,0.8415
55,0.8425
56,0.843
57,0.843
58,0.8435
59,0.839
60,0.8395
61,0.841
62,0.841
63,0.841
64,0.841
65,0.8395
66,0.8395
67,0.838
68,0.838
69,0.8375
70,0.8375
71,0.8365
72,0.8365
73,0.8365
74,0.836
75,0.8355
76,0.836
77,0.8365
78,0.8375
79,0.8355
80,0.8355
81,0.8345
82,0.8345
83,0.8355
84,0.8355
85,0.836
86,0.836
87,0.8365
88,0.836
89,0.8355
90,0.836
91,0.8355
92,0.8355
93,0.836
94,0.8355
95,0.836
96,0.835
97,0.8355
98,0.8355
99,0.835
100,0.8345
101,0.835
102,0.8355
103,0.8355
104,0.836
105,0.835
106,0.835
107,0.8335
108,0.8335
109,0.8335
110,0.8335
111,0.834
112,0.8315
113,0.8315
114,0.8345
115,0.832
116,0.8325
117,0.8305
118,0.831
119,0.8315
120,0.8315
121,0.8315
122,0.832
123,0.832
124,0.8315
125,0.8315
126,0.831
127,0.829
128,0.831
129,0.8325
130,0.832
131,0.832
132,0.8315
133,0.8325
134,0.8355
135,0.835
136,0.8345
137,0.8365
138,0.836
139,0.835
140,0.834
141,0.8345
142,0.8335
143,0.8355
144,0.837
145,0.8345
146,0.834
147,0.8345
148,0.8315
149,0.8325
150,0.8325
151,0.832
152,0.832
153,0.829
154,0.8295
155,0.8295
156,0.83
157,0.829
158,0.8305
159,0.8295
160,0.8305
161,0.831
162,0.829
163,0.8295
164,0.8295
165,0.831
166,0.8305
167,0.831
168,0.83
169,0.8275
170,0.827
171,0.83
172,0.8295
173,0.832
174,0.8315
175,0.8315
176,0.831
177,0.83
178,0.83
179,0.829
180,0.832
181,0.8275
182,0.8275
183,0.8295
184,0.8295
185,0.8275
186,0.8285
187,0.829
188,0.8215
189,0.8225
190,0.82
191,0.8205
192,0.8195
193,0.82
194,0.82
195,0.82
196,0.82
197,0.8185
198,0.8185
199,0.821
200,0.8215
201,0.8195
202,0.819
203,0.821
204,0.82
205,0.82
206,0.82
207,0.8205
208,0.8195
209,0.8195
210,0.8195
211,0.8195
212,0.82
213,0.8205
214,0.821
215,0.821
216,0.824
217,0.8245
218,0.824
219,0.8205
220,0.8195
221,0.8195
222,0.8195
223,0.819
224,0.8185
225,0.82
226,0.8155
227,0.816
228,0.817
229,0.8115
230,0.8115
231,0.8055
232,0.806
233,0.8075
234,0.807
235,0.808
236,0.809
237,0.8085
238,0.812
239,0.8085
240,0.8085
241,0.8085
242,0.806
243,0.806
244,0.8075
245,0.8065
246,0.8065
247,0.805
248,0.805
249,0.805
250,0.8045
251,0.8035
252,0.8035
253,0.804
254,0.8055
255,0.8055
256,0.8045
257,0.8045
258,0.804
259,0.805
260,0.8065
261,0.8075
262,0.8065
263,0.8055
264,0.8055
265,0.807
266,0.8065
267,0.807
268,0.8075
269,0.8065
270,0.8065
271,0.806
272,0.806
273,0.8085
274,0.8065
275,0.8085
276,0.806
277,0.806
278,0.806
279,0.8095
280,0.8105
281,0.8085
282,0.8085
283,0.8075
284,0.8085
285,0.809
286,0.8085
287,0.8085
288,0.808
289,0.8055
290,0.806
291,0.8065
292,0.806
293,0.8085
294,0.807
295,0.8045
296,0.8065
297,0.806
298,0.806
299,0.8065
300,0.805
301,0.8075
302,0.808
303,0.8055
304,0.806
305,0.8065
306,0.807
307,0.803
308,0.803
309,0.8025
310,0.803
311,0.8025
312,0.802
313,0.802
314,0.802
315,0.797
316,0.7955
317,0.7955
318,0.798
319,0.7975
320,0.793
321,0.791
322,0.7905
323,0.7915
324,0.7915
325,0.7915
326,0.7885
327,0.79
328,0.79
329,0.789
330,0.7865
331,0.788
