num_removed,accuracy
0,0.849
1,0.849
2,0.8435
3,0.8415
4,0.8395
5,0.837
6,0.8355
7,0.837
8,0.8375
9,0.836
10,0.8395
11,0.837
12,0.8375
13,0.836
14,0.836
15,0.834
16,0.834
17,0.834
18,0.833
19,0.833
20,0.833
21,0.833
22,0.832
23,0.8315
24,0.829
25,0.826
26,0.826
27,0.8255
28,0.824
29,0.828
30,0.8255
31,0.826
32,0.826
33,0.825
34,0.8255
35,0.8255
36,0.826
37,0.821
38,0.823
39,0.8205
40,0.8195
41,0.8195
42,0.8215
43,0.8205
44,0.8205
45,0.8205
46,0.821
47,0.8175
48,0.8195
49,0.8145
50,0.815
51,0.815
52,0.8155
53,0.811
54,0.8115
55,0.8095
56,0.81
57,0.809
58,0.808
59,0.808
60,0.808
61,0.807
62,0.807
63,0.805
64,0.8065
65,0.806
66,0.807
67,0.8015
68,0.801
69,0.799
70,0.798
71,0.7995
72,0.8035
73,0.803
74,0.803
75,0.802
76,0.803
77,0.8025
78,0.803
79,0.803
80,0.8035
81,0.8015
82,0.8015
83,0.8
84,0.795
85,0.7955
86,0.7935
87,0.793
88,0.794
89,0.7915
90,0.792
91,0.7925
92,0.792
93,0.7885
94,0.786
95,0.7855
96,0.7845
97,0.785
98,0.784
99,0.7855
100,0.783
101,0.786
102,0.7855
103,0.7835
104,0.783
105,0.7825
106,0.783
107,0.782
108,0.785
109,0.7845
110,0.784
111,0.785
112,0.785
113,0.785
114,0.785
115,0.7865
116,0.786
117,0.785
118,0.7855
119,0.775
120,0.7755
121,0.7755
122,0.7755
123,0.774
124,0.7745
125,0.775
126,0.7735
127,0.774
128,0.7725
129,0.7715
130,0.7725
131,0.768
132,0.7685
133,0.7695
134,0.7685
135,0.769
136,0.769
137,0.769
138,0.767
139,0.767
140,0.7635
141,0.763
142,0.763
143,0.763
144,0.763
145,0.7625
146,0.761
147,0.762
148,0.762
149,0.7615
150,0.762
151,0.762
152,0.7625
153,0.762
154,0.7615
155,0.76
156,0.758
157,0.759
158,0.758
159,0.7525
160,0.7525
161,0.7525
162,0.7505
163,0.7485
164,0.7485
165,0.751
166,0.7515
167,0.752
168,0.7515
169,0.7495
170,0.7475
171,0.7455
172,0.746
173,0.7475
174,0.7445
175,0.7445
176,0.7455
177,0.744
178,0.744
179,0.745
180,0.745
181,0.7435
182,0.743
183,0.743
184,0.745
185,0.744
186,0.74
187,0.737
188,0.7345
189,0.7345
190,0.7325
191,0.733
192,0.7335
193,0.7325
194,0.7325
195,0.734
196,0.734
197,0.7355
198,0.7325
199,0.729
200,0.7295
201,0.728
202,0.7215
203,0.7215
204,0.722
205,0.7215
206,0.7215
207,0.723
208,0.722
209,0.718
210,0.719
211,0.7195
212,0.719
213,0.7215
214,0.721
215,0.721
216,0.721
217,0.718
218,0.718
219,0.7195
220,0.7195
221,0.72
222,0.7195
223,0.7185
224,0.717
225,0.7165
226,0.7165
227,0.7165
228,0.7165
229,0.7155
230,0.716
231,0.714
232,0.713
233,0.716
234,0.716
235,0.7145
236,0.714
237,0.7145
238,0.7145
239,0.712
240,0.7115
241,0.711
242,0.7065
243,0.7065
244,0.707
245,0.707
246,0.709
247,0.7085
248,0.7085
249,0.7085
250,0.7025
251,0.703
252,0.703
253,0.6945
254,0.694
255,0.6945
256,0.689
257,0.688
258,0.685
259,0.685
260,0.686
261,0.6865
262,0.6865
263,0.687
264,0.6865
265,0.6865
266,0.687
267,0.687
268,0.687
269,0.6865
270,0.6865
271,0.686
272,0.688
273,0.6875
274,0.6865
275,0.687
276,0.6875
277,0.6855
278,0.6865
279,0.682
280,0.6815
281,0.6815
282,0.682
283,0.686
284,0.685
285,0.6885
286,0.688
287,0.688
288,0.688
289,0.6855
290,0.6855
291,0.6855
292,0.6855
293,0.686
294,0.687
295,0.6815
296,0.6825
297,0.6835
298,0.6835
299,0.6835
300,0.6835
301,0.68
302,0.68
303,0.6795
304,0.679
305,0.67
306,0.667
307,0.6675
308,0.6665
309,0.6685
310,0.666
311,0.6575
312,0.647
313,0.647
314,0.647
315,0.647
316,0.645
317,0.6445
318,0.64
319,0.642
320,0.642
321,0.644
322,0.6435
323,0.643
324,0.643
325,0.642
326,0.644
327,0.643
328,0.6265
329,0.6275
330,0.627
331,0.6265
332,0.6265
333,0.6265
334,0.6265
335,0.6285
