num_removed,accuracy
0,0.849
1,0.85
2,0.8545
3,0.855
4,0.8575
5,0.858
6,0.8595
7,0.851
8,0.8545
9,0.856
10,0.8525
11,0.8525
12,0.8505
13,0.853
14,0.855
15,0.8555
16,0.8545
17,0.854
18,0.854
19,0.855
20,0.855
21,0.8565
22,0.8565
23,0.857
24,0.8555
25,0.853
26,0.8545
27,0.855
28,0.856
29,0.85
30,0.8505
31,0.8505
32,0.85
33,0.85
34,0.85
35,0.856
36,0.8555
37,0.854
38,0.854
39,0.855
40,0.855
41,0.8545
42,0.856
43,0.856
44,0.856
45,0.8545
46,0.8545
47,0.8545
48,0.8545
49,0.8545
50,0.8545
51,0.8545
52,0.8545
53,0.8545
54,0.8545
55,0.8545
56,0.8545
57,0.854
58,0.854
59,0.8535
60,0.8535
61,0.854
62,0.854
63,0.854
64,0.855
65,0.855
66,0.8545
67,0.8535
68,0.854
69,0.8535
70,0.8535
71,0.8575
72,0.858
73,0.8555
74,0.8555
75,0.8555
76,0.857
77,0.857
78,0.852
79,0.8535
80,0.853
81,0.853
82,0.8545
83,0.855
84,0.853
85,0.853
86,0.852
87,0.852
88,0.8525
89,0.8525
90,0.851
91,0.8515
92,0.852
93,0.8505
94,0.8505
95,0.8505
96,0.85
97,0.8505
98,0.8505
99,0.8495
100,0.8495
101,0.8495
102,0.8505
103,0.851
104,0.85
105,0.85
106,0.8495
107,0.8485
108,0.8485
109,0.8485
110,0.8465
111,0.847
112,0.848
113,0.8475
114,0.849
115,0.849
116,0.849
117,0.8495
118,0.8495
119,0.8495
120,0.8495
121,0.848
122,0.8475
123,0.848
124,0.848
125,0.848
126,0.8475
127,0.8475
128,0.8485
129,0.849
130,0.849
131,0.848
132,0.848
133,0.8485
134,0.85
135,0.851
136,0.8515
137,0.8475
138,0.8485
139,0.848
140,0.8485
141,0.85
142,0.85
143,0.8505
144,0.846
145,0.846
146,0.8495
147,0.851
148,0.8505
149,0.8505
150,0.8505
151,0.8505
152,0.851
153,0.85
154,0.851
155,0.8535
156,0.8535
157,0.8545
158,0.8545
159,0.854
160,0.8495
161,0.8495
162,0.848
163,0.848
164,0.8475
165,0.8475
166,0.849
167,0.848
168,0.8475
169,0.8495
170,0.84
171,0.8435
172,0.843
173,0.8425
174,0.841
175,0.838
176,0.8375
177,0.8395
178,0.838
179,0.8355
180,0.8365
181,0.833
182,0.831
183,0.8345
184,0.834
185,0.834
186,0.834
187,0.832
188,0.832
189,0.8315
190,0.8305
191,0.83
192,0.8315
193,0.83
194,0.83
195,0.83
196,0.8295
197,0.83
198,0.831
199,0.831
200,0.831
201,0.8265
202,0.8265
203,0.8245
204,0.8185
205,0.819
206,0.817
207,0.8095
208,0.8085
209,0.8085
210,0.8085
211,0.8085
212,0.8055
213,0.804
214,0.801
215,0.801
216,0.8015
217,0.794
218,0.791
219,0.7915
220,0.791
221,0.7895
222,0.7885
223,0.7765
224,0.7765
225,0.7695
226,0.7595
227,0.756
228,0.7505
229,0.752
230,0.7435
231,0.7415
232,0.7375
233,0.738
234,0.7385
235,0.7325
236,0.7295
237,0.728
238,0.719
239,0.6975
240,0.693
241,0.675
242,0.6715
243,0.6675
244,0.661
245,0.652
246,0.6515
247,0.651
248,0.652
249,0.6515
250,0.6505
251,0.6505
252,0.652
253,0.651
254,0.6515
255,0.6515
256,0.6515
257,0.6515
258,0.6515
259,0.653
260,0.653
261,0.6515
262,0.652
263,0.6515
264,0.654
265,0.6525
266,0.6525
267,0.652
268,0.653
269,0.6535
270,0.6535
271,0.654
272,0.654
273,0.653
274,0.654
275,0.654
276,0.6545
277,0.6525
278,0.653
279,0.653
280,0.6535
281,0.6535
282,0.653
283,0.6575
284,0.6575
285,0.656
286,0.656
287,0.656
288,0.6555
289,0.654
290,0.654
291,0.6605
292,0.6585
293,0.6585
294,0.66
295,0.659
296,0.659
297,0.663
298,0.663
299,0.6615
300,0.6625
301,0.6725
302,0.6735
303,0.673
304,0.673
305,0.676
306,0.677
307,0.6765
308,0.6765
309,0.6745
310,0.676
311,0.677
312,0.678
313,0.6765
314,0.6755
315,0.6725
316,0.673
317,0.673
318,0.6725
319,0.673
320,0.673
321,0.673
322,0.676
323,0.6775
324,0.676
325,0.6665
326,0.6665
327,0.667
328,0.6665
329,0.6665
330,0.667
331,0.6665
332,0.674
333,0.6735
334,0.674
335,0.6745
336,0.6775
337,0.6765
338,0.6785
339,0.675
340,0.676
341,0.6745
342,0.675
343,0.6745
344,0.6745
345,0.675
346,0.6745
347,0.675
348,0.675
349,0.676
350,0.6725
351,0.679
352,0.68
353,0.68
354,0.68
355,0.68
356,0.675
357,0.681
358,0.687
359,0.688
360,0.688
361,0.6865
362,0.6865
363,0.687
364,0.687
365,0.6885
366,0.69
367,0.6895
368,0.6915
369,0.686
370,0.686
371,0.689
372,0.689
373,0.689
374,0.694
375,0.694
376,0.696
377,0.6955
378,0.6895
379,0.687
380,0.6875
381,0.687
382,0.687
