num_removed,accuracy
0,0.836
1,0.8355
2,0.8355
3,0.834
4,0.836
5,0.8355
6,0.837
7,0.834
8,0.833
9,0.834
10,0.834
11,0.834
12,0.834
13,0.8345
14,0.828
15,0.828
16,0.827
17,0.828
18,0.828
19,0.828
20,0.8265
21,0.8285
22,0.8305
23,0.829
24,0.8295
25,0.8295
26,0.8295
27,0.829
28,0.829
29,0.826
30,0.826
31,0.826
32,0.826
33,0.826
34,0.8265
35,0.825
36,0.827
37,0.827
38,0.8295
39,0.8295
40,0.829
41,0.829
42,0.829
43,0.829
44,0.8295
45,0.8305
46,0.8305
47,0.8325
48,0.828
49,0.829
50,0.829
51,0.832
52,0.8335
53,0.8335
54,0.8325
55,0.8315
56,0.8315
57,0.8305
58,0.8305
59,0.8305
60,0.831
61,0.831
62,0.831
63,0.8315
64,0.831
65,0.831
66,0.831
67,0.831
68,0.8305
69,0.831
70,0.83
71,0.8315
72,0.8325
73,0.8325
74,0.8315
75,0.832
76,0.832
77,0.8315
78,0.829
79,0.829
80,0.83
81,0.828
82,0.828
83,0.828
84,0.828
85,0.827
86,0.826
87,0.826
88,0.826
89,0.826
90,0.8255
91,0.8225
92,0.822
93,0.822
94,0.8215
95,0.8215
96,0.821
97,0.821
98,0.821
99,0.821
100,0.8225
101,0.825
102,0.823
103,0.823
104,0.8225
105,0.8225
106,0.823
107,0.823
108,0.822
109,0.822
110,0.8225
111,0.822
112,0.8215
113,0.8215
114,0.8215
115,0.821
116,0.821
117,0.8215
118,0.8215
119,0.8215
120,0.8215
121,0.8215
122,0.8225
123,0.8225
124,0.822
125,0.8225
126,0.8225
127,0.8225
128,0.8225
129,0.8225
130,0.8225
131,0.8235
132,0.825
133,0.8265
134,0.826
135,0.8265
136,0.8265
137,0.8245
138,0.832
139,0.8295
140,0.8295
141,0.8365
142,0.8375
143,0.8375
144,0.8315
145,0.8315
146,0.8315
147,0.831
148,0.831
149,0.831
150,0.831
151,0.831
152,0.831
153,0.831
154,0.831
155,0.831
156,0.831
157,0.83
158,0.83
159,0.83
160,0.83
161,0.832
162,0.831
163,0.8305
164,0.832
165,0.832
166,0.832
167,0.828
168,0.828
169,0.8285
170,0.828
171,0.828
172,0.8285
173,0.8295
174,0.8315
175,0.833
176,0.832
177,0.834
178,0.833
179,0.8325
180,0.831
181,0.831
182,0.831
183,0.8295
184,0.83
185,0.831
186,0.831
187,0.8315
188,0.831
189,0.8315
190,0.8315
191,0.838
192,0.8365
193,0.8365
194,0.8365
195,0.8365
196,0.834
197,0.834
198,0.834
199,0.8345
200,0.833
201,0.833
202,0.833
203,0.833
204,0.8345
205,0.833
206,0.833
207,0.8335
208,0.833
209,0.8345
210,0.835
211,0.834
212,0.8345
213,0.8355
214,0.8345
215,0.8355
216,0.835
217,0.835
218,0.8355
219,0.8345
220,0.8345
221,0.8345
222,0.836
223,0.837
224,0.8365
225,0.836
226,0.8345
227,0.8345
228,0.8345
229,0.835
230,0.8355
231,0.8355
232,0.8355
233,0.837
234,0.837
235,0.8355
236,0.835
237,0.835
238,0.8335
239,0.834
240,0.836
241,0.8355
242,0.8355
243,0.835
244,0.837
245,0.837
246,0.837
247,0.8355
248,0.836
249,0.8355
250,0.835
251,0.8365
252,0.836
253,0.8355
254,0.8355
255,0.837
256,0.841
257,0.838
258,0.838
259,0.838
260,0.838
261,0.839
262,0.839
263,0.839
264,0.8395
265,0.839
266,0.8385
267,0.8395
268,0.8385
269,0.839
270,0.8385
271,0.84
272,0.8395
273,0.838
274,0.838
275,0.8375
276,0.838
277,0.839
278,0.839
279,0.8395
280,0.8375
281,0.8375
282,0.837
283,0.8385
284,0.8385
285,0.8385
286,0.8385
287,0.837
288,0.837
289,0.8345
290,0.835
291,0.8325
292,0.833
293,0.834
294,0.834
295,0.834
296,0.834
297,0.834
298,0.834
299,0.8345
300,0.8345
301,0.8365
302,0.837
303,0.8355
304,0.8355
305,0.8355
306,0.836
307,0.836
308,0.8355
309,0.8355
310,0.835
311,0.8345
312,0.834
313,0.8345
314,0.8355
315,0.8305
316,0.8305
317,0.8305
318,0.831
319,0.8305
320,0.8305
321,0.8325
322,0.8325
323,0.8315
324,0.834
325,0.8335
326,0.834
327,0.834
328,0.834
329,0.834
330,0.831
331,0.831
332,0.8315
333,0.83
334,0.8295
335,0.83
336,0.8295
337,0.83
338,0.83
339,0.8285
340,0.824
341,0.8245
342,0.8265
343,0.826
344,0.83
345,0.829
346,0.823
347,0.823
348,0.8225
349,0.824
350,0.824
351,0.824
352,0.8235
353,0.821
354,0.821
355,0.822
356,0.8135
357,0.814
358,0.8135
359,0.815
360,0.8145
361,0.8135
362,0.811
363,0.811
364,0.808
365,0.812
366,0.811
367,0.8095
368,0.8085
369,0.8065
370,0.8065
371,0.8035
372,0.8075
373,0.808
374,0.806
375,0.8055
376,0.8065
377,0.8085
378,0.8085
379,0.8055
380,0.8055
381,0.8095
382,0.8095
383,0.8055
384,0.8095
385,0.8095
386,0.81
387,0.8085
388,0.808
389,0.808
390,0.808
391,0.8095
392,0.8095
393,0.811
394,0.8115
395,0.812
396,0.8095
397,0.806
398,0.799
399,0.791
400,0.789
401,0.7875
402,0.7875
403,0.788
404,0.7865
405,0.7865
406,0.788
407,0.788
408,0.787
409,0.787
410,0.788
411,0.7845
412,0.786
413,0.79
414,0.7765
415,0.777
416,0.776
417,0.778
418,0.777
419,0.7735
420,0.7745
421,0.7735
422,0.7715
423,0.7785
424,0.777
425,0.7765
426,0.777
427,0.776
428,0.779
429,0.766
430,0.7595
431,0.7585
432,0.7655
433,0.7565
434,0.756
435,0.7555
436,0.7645
437,0.765
438,0.766
439,0.7635
440,0.759
441,0.765
442,0.7585
443,0.767
444,0.746
445,0.7425
446,0.7295
447,0.728
448,0.7305
449,0.7395
450,0.7305
451,0.7325
452,0.7305
453,0.7395
454,0.74
455,0.74
456,0.7385
457,0.7375
458,0.744
459,0.7315
460,0.73
461,0.725
462,0.7325
463,0.7345
464,0.7135
465,0.7115
466,0.717
467,0.7155
468,0.7125
469,0.713
470,0.714
471,0.722
472,0.748
473,0.735
474,0.7355
475,0.736
476,0.714
477,0.711
478,0.713
479,0.7065
480,0.6925
481,0.689
482,0.688
483,0.6995
484,0.7195
485,0.615
486,0.637
487,0.6385
488,0.637
489,0.6205
490,0.64
491,0.658
492,0.6635
493,0.6525
494,0.6415
495,0.5565
496,0.549
497,0.551
498,0.5
499,0.5
