num_removed,accuracy
0,0.836
1,0.836
2,0.834
3,0.834
4,0.835
5,0.835
6,0.835
7,0.835
8,0.8345
9,0.833
10,0.833
11,0.835
12,0.834
13,0.8345
14,0.834
15,0.834
16,0.8325
17,0.8325
18,0.8325
19,0.8325
20,0.8325
21,0.8325
22,0.833
23,0.8335
24,0.8325
25,0.8325
26,0.8335
27,0.8345
28,0.8355
29,0.8355
30,0.8355
31,0.8355
32,0.8365
33,0.8335
34,0.833
35,0.8325
36,0.833
37,0.8325
38,0.8325
39,0.833
40,0.8335
41,0.8335
42,0.835
43,0.835
44,0.8335
45,0.832
46,0.8325
47,0.8315
48,0.8325
49,0.8325
50,0.8335
51,0.834
52,0.833
53,0.833
54,0.835
55,0.835
56,0.835
57,0.8345
58,0.834
59,0.834
60,0.835
61,0.8345
62,0.8365
63,0.838
64,0.838
65,0.8375
66,0.836
67,0.8375
68,0.837
69,0.836
70,0.836
71,0.836
72,0.837
73,0.837
74,0.837
75,0.837
76,0.8375
77,0.8375
78,0.837
79,0.837
80,0.836
81,0.8355
82,0.8355
83,0.8355
84,0.835
85,0.834
86,0.8345
87,0.8345
88,0.8305
89,0.8305
90,0.831
91,0.831
92,0.831
93,0.8295
94,0.831
95,0.831
96,0.831
97,0.83
98,0.833
99,0.833
100,0.835
101,0.8355
102,0.835
103,0.8355
104,0.8375
105,0.838
106,0.8375
107,0.8375
108,0.837
109,0.835
110,0.836
111,0.836
112,0.836
113,0.8375
114,0.8365
115,0.836
116,0.8365
117,0.8375
118,0.8375
119,0.837
120,0.8405
121,0.838
122,0.838
123,0.838
124,0.838
125,0.8375
126,0.8375
127,0.8375
128,0.837
129,0.837
130,0.8375
131,0.836
132,0.8365
133,0.836
134,0.8365
135,0.8355
136,0.835
137,0.8355
138,0.833
139,0.832
140,0.8325
141,0.832
142,0.832
143,0.8405
144,0.8405
145,0.842
146,0.8405
147,0.841
148,0.8415
149,0.839
150,0.8375
151,0.838
152,0.838
153,0.838
154,0.8385
155,0.839
156,0.838
157,0.838
158,0.838
159,0.8385
160,0.839
161,0.8375
162,0.838
163,0.8385
164,0.838
165,0.8385
166,0.8385
167,0.839
168,0.839
169,0.84
170,0.84
171,0.838
172,0.839
173,0.8405
174,0.8395
175,0.8395
176,0.8395
177,0.8395
178,0.84
179,0.84
180,0.839
181,0.839
182,0.8395
183,0.84
184,0.8405
185,0.8385
186,0.84
187,0.8405
188,0.8385
189,0.839
190,0.8395
191,0.8395
192,0.8385
193,0.8385
194,0.8385
195,0.8385
196,0.8385
197,0.836
198,0.836
199,0.8355
200,0.8355
201,0.8355
202,0.835
203,0.8365
204,0.8355
205,0.831
206,0.8285
207,0.8295
208,0.8325
209,0.8325
210,0.8325
211,0.8355
212,0.8355
213,0.836
214,0.835
215,0.8355
216,0.836
217,0.836
218,0.8355
219,0.8355
220,0.8355
221,0.8355
222,0.835
223,0.835
224,0.8345
225,0.835
226,0.8225
227,0.8235
228,0.8235
229,0.8245
230,0.8245
231,0.8255
232,0.8255
233,0.8225
234,0.8225
235,0.8225
236,0.8205
237,0.8205
238,0.8205
239,0.8205
240,0.82
241,0.82
242,0.8245
243,0.8245
244,0.821
245,0.8185
246,0.8185
247,0.827
248,0.827
249,0.827
250,0.8285
251,0.8235
252,0.823
253,0.823
254,0.8235
255,0.8235
256,0.823
257,0.8255
258,0.825
259,0.826
260,0.8265
261,0.827
262,0.8265
263,0.8265
264,0.8275
265,0.826
266,0.823
267,0.826
268,0.8245
269,0.825
270,0.8235
271,0.8235
272,0.8235
273,0.8235
274,0.8235
275,0.8235
276,0.827
277,0.826
278,0.827
279,0.8265
280,0.8275
281,0.8275
282,0.822
283,0.822
284,0.8215
285,0.822
286,0.8225
287,0.8225
288,0.8215
289,0.8235
290,0.8245
291,0.825
292,0.825
293,0.823
294,0.822
295,0.8255
296,0.825
297,0.819
298,0.819
299,0.82
300,0.821
301,0.818
302,0.818
303,0.818
304,0.818
305,0.821
306,0.8205
307,0.821
308,0.8205
309,0.821
310,0.8215
311,0.822
312,0.823
313,0.822
314,0.8225
315,0.8225
316,0.816
317,0.814
318,0.8175
319,0.8175
320,0.8185
321,0.8185
322,0.8185
323,0.8185
324,0.806
325,0.8055
326,0.8055
327,0.8085
328,0.8055
329,0.8055
330,0.808
331,0.808
332,0.8075
333,0.807
334,0.8075
335,0.8075
336,0.8125
337,0.814
338,0.8145
339,0.8145
340,0.814
341,0.8145
342,0.8145
343,0.815
344,0.814
345,0.814
346,0.813
347,0.815
348,0.816
349,0.8125
350,0.8115
351,0.811
352,0.812
353,0.8125
354,0.7995
355,0.7995
356,0.803
357,0.8035
358,0.8035
359,0.8025
360,0.807
361,0.807
362,0.8055
363,0.8045
364,0.804
365,0.8025
366,0.8035
367,0.803
368,0.8085
369,0.81
370,0.8095
371,0.8095
372,0.808
373,0.808
374,0.808
375,0.808
376,0.809
377,0.809
378,0.8095
379,0.807
380,0.8065
381,0.7995
382,0.801
383,0.7865
384,0.786
385,0.788
386,0.787
387,0.788
388,0.79
389,0.79
390,0.7995
391,0.788
392,0.7885
393,0.796
394,0.796
395,0.795
396,0.7945
397,0.7925
398,0.7915
399,0.7925
400,0.792
401,0.7905
402,0.7905
403,0.79
404,0.797
405,0.7975
406,0.8
407,0.8005
408,0.796
409,0.7925
410,0.7925
411,0.7905
412,0.7795
413,0.7865
414,0.782
415,0.7885
416,0.7825
417,0.7905
418,0.7905
419,0.7915
420,0.792
421,0.7835
422,0.7855
423,0.786
424,0.789
425,0.7735
426,0.7755
427,0.7645
428,0.762
429,0.7635
430,0.768
431,0.771
432,0.7725
433,0.77
434,0.772
435,0.774
436,0.7705
437,0.7725
438,0.772
439,0.774
440,0.774
441,0.7725
442,0.7735
443,0.773
444,0.776
445,0.774
446,0.775
447,0.78
448,0.7825
449,0.781
450,0.7775
451,0.7785
452,0.7715
453,0.7625
454,0.7605
455,0.7475
456,0.741
457,0.7385
458,0.733
459,0.7355
460,0.7305
461,0.728
462,0.7185
463,0.722
464,0.717
465,0.7215
466,0.714
467,0.713
468,0.718
469,0.715
470,0.7135
471,0.7145
472,0.706
473,0.7165
474,0.709
475,0.707
476,0.697
477,0.6825
478,0.6875
479,0.683
480,0.668
481,0.674
482,0.67
483,0.651
484,0.658
485,0.656
486,0.654
487,0.6265
488,0.6405
489,0.621
490,0.6715
491,0.6475
492,0.5985
493,0.5685
494,0.537
495,0.5395
496,0.5345
497,0.4815
498,0.5
499,0.5
