num_removed,accuracy
0,0.864
1,0.8665
2,0.871
3,0.8655
4,0.867
5,0.868
6,0.8685
7,0.868
8,0.8665
9,0.867
10,0.867
11,0.866
12,0.8675
13,0.8655
14,0.868
15,0.866
16,0.8645
17,0.8605
18,0.862
19,0.8615
20,0.861
21,0.8635
22,0.861
23,0.861
24,0.861
25,0.859
26,0.8605
27,0.858
28,0.8575
29,0.861
30,0.861
31,0.8625
32,0.8625
33,0.8595
34,0.8595
35,0.859
36,0.8585
37,0.8585
38,0.8585
39,0.8585
40,0.8605
41,0.8585
42,0.8585
43,0.8585
44,0.8585
45,0.86
46,0.861
47,0.861
48,0.861
49,0.861
50,0.8615
51,0.86
52,0.863
53,0.8625
54,0.859
55,0.859
56,0.8625
57,0.8625
58,0.862
59,0.8615
60,0.8645
61,0.865
62,0.865
63,0.8645
64,0.8645
65,0.8645
66,0.8645
67,0.8645
68,0.8645
69,0.8645
70,0.864
71,0.864
72,0.8655
73,0.865
74,0.865
75,0.8635
76,0.8635
77,0.8635
78,0.8635
79,0.864
80,0.8645
81,0.8645
82,0.8645
83,0.864
84,0.864
85,0.864
86,0.863
87,0.8625
88,0.8625
89,0.8625
90,0.8625
91,0.863
92,0.863
93,0.8625
94,0.867
95,0.867
96,0.867
97,0.867
98,0.8665
99,0.8665
100,0.8635
101,0.8645
102,0.864
103,0.8615
104,0.8615
105,0.8615
106,0.862
107,0.862
108,0.862
109,0.862
110,0.862
111,0.858
112,0.858
113,0.858
114,0.858
115,0.857
116,0.857
117,0.858
118,0.86
119,0.86
120,0.86
121,0.861
122,0.86
123,0.86
124,0.86
125,0.8575
126,0.858
127,0.857
128,0.856
129,0.857
130,0.857
131,0.857
132,0.8575
133,0.859
134,0.858
135,0.859
136,0.8585
137,0.8575
138,0.858
139,0.854
140,0.854
141,0.854
142,0.855
143,0.8535
144,0.8535
145,0.8555
146,0.8555
147,0.853
148,0.853
149,0.853
150,0.852
151,0.852
152,0.852
153,0.852
154,0.852
155,0.852
156,0.852
157,0.8525
158,0.8545
159,0.8535
160,0.8535
161,0.854
162,0.8545
163,0.8535
164,0.8535
165,0.8535
166,0.853
167,0.852
168,0.852
169,0.853
170,0.852
