num_removed,accuracy
0,0.864
1,0.8665
2,0.871
3,0.87
4,0.867
5,0.867
6,0.8655
7,0.8655
8,0.8655
9,0.869
10,0.867
11,0.867
12,0.8675
13,0.8705
14,0.8695
15,0.867
16,0.868
17,0.867
18,0.8675
19,0.866
20,0.865
21,0.864
22,0.8645
23,0.864
24,0.864
25,0.869
26,0.869
27,0.8685
28,0.8725
29,0.8695
30,0.869
31,0.8685
32,0.8685
33,0.8685
34,0.868
35,0.8685
36,0.8685
37,0.866
38,0.866
39,0.8675
40,0.8675
41,0.869
42,0.865
43,0.866
44,0.866
45,0.8665
46,0.866
47,0.871
48,0.869
49,0.866
50,0.865
51,0.865
52,0.865
53,0.865
54,0.865
55,0.867
56,0.8665
57,0.867
58,0.867
59,0.869
60,0.869
61,0.869
62,0.8675
63,0.8675
64,0.868
65,0.8645
66,0.8665
67,0.8655
68,0.865
69,0.865
70,0.865
71,0.865
72,0.865
73,0.865
74,0.867
75,0.867
76,0.867
77,0.8665
78,0.8665
79,0.867
80,0.867
81,0.867
82,0.867
83,0.8665
84,0.8665
85,0.8665
86,0.8635
87,0.8635
88,0.8635
89,0.8635
90,0.8635
91,0.8635
92,0.8635
93,0.864
94,0.864
95,0.8635
96,0.8635
97,0.8665
98,0.8665
99,0.866
100,0.866
101,0.866
102,0.866
103,0.867
104,0.867
105,0.867
106,0.8645
107,0.865
108,0.869
109,0.869
110,0.869
111,0.867
112,0.8675
113,0.866
114,0.865
115,0.8655
116,0.865
117,0.8655
118,0.8645
119,0.865
120,0.8655
121,0.865
122,0.8675
123,0.867
124,0.867
125,0.8665
126,0.8665
127,0.8665
128,0.8675
129,0.867
130,0.868
131,0.859
132,0.859
133,0.8595
134,0.859
135,0.859
136,0.8585
137,0.8585
138,0.8545
139,0.854
140,0.853
141,0.857
142,0.857
143,0.857
144,0.858
145,0.858
146,0.858
147,0.858
148,0.854
149,0.856
150,0.8555
151,0.856
152,0.8545
153,0.8545
154,0.8545
155,0.8545
156,0.852
157,0.852
158,0.852
159,0.852
160,0.852
161,0.8525
162,0.8505
163,0.8505
164,0.8505
165,0.8505
166,0.8505
167,0.8505
168,0.8505
169,0.8495
170,0.85
171,0.8515
