num_removed,accuracy
0,0.85
1,0.8515
2,0.851
3,0.8535
4,0.8535
5,0.8555
6,0.8545
7,0.853
8,0.853
9,0.8515
10,0.849
11,0.849
12,0.8475
13,0.847
14,0.8445
15,0.844
16,0.8435
17,0.8445
18,0.843
19,0.8445
20,0.8415
21,0.841
22,0.8365
23,0.8335
24,0.8375
25,0.835
26,0.8335
27,0.8345
28,0.833
29,0.832
30,0.8335
31,0.834
32,0.8345
33,0.832
34,0.8335
35,0.8335
36,0.8335
37,0.8335
38,0.8335
39,0.8335
40,0.8335
41,0.8315
42,0.8335
43,0.8335
44,0.8345
45,0.834
46,0.834
47,0.8335
48,0.833
49,0.8335
50,0.827
51,0.827
52,0.827
53,0.827
54,0.8265
55,0.826
56,0.826
57,0.826
58,0.8255
59,0.8255
60,0.8255
61,0.8255
62,0.8255
63,0.825
64,0.8255
65,0.8255
66,0.8255
67,0.8255
68,0.827
69,0.827
70,0.8245
71,0.8245
72,0.8245
73,0.8245
74,0.8245
75,0.8245
76,0.8245
77,0.8245
78,0.825
79,0.825
80,0.825
81,0.8245
82,0.825
83,0.824
84,0.824
85,0.824
86,0.824
87,0.824
88,0.8245
89,0.8245
90,0.8245
91,0.8245
92,0.8245
93,0.825
94,0.825
95,0.825
96,0.8245
97,0.8235
98,0.824
99,0.824
100,0.8235
101,0.824
102,0.824
103,0.8235
104,0.824
105,0.8235
106,0.8225
107,0.8225
108,0.818
109,0.8185
110,0.819
111,0.819
112,0.819
113,0.8175
114,0.8175
115,0.8185
116,0.8185
117,0.8185
118,0.8185
119,0.8185
120,0.8185
121,0.8185
122,0.8185
123,0.819
124,0.8185
125,0.8185
126,0.8185
127,0.816
128,0.818
129,0.818
130,0.8175
131,0.8175
132,0.818
133,0.818
134,0.818
135,0.818
136,0.818
137,0.816
138,0.816
139,0.816
140,0.816
141,0.816
142,0.816
143,0.816
144,0.816
145,0.816
146,0.8165
147,0.8145
148,0.815
149,0.815
150,0.815
151,0.814
152,0.8145
153,0.8145
154,0.8145
155,0.8145
156,0.815
157,0.8145
158,0.8145
159,0.8145
160,0.8145
161,0.8145
162,0.8135
163,0.814
164,0.8135
165,0.8155
166,0.8155
167,0.8155
168,0.815
169,0.815
170,0.815
171,0.814
172,0.814
173,0.814
174,0.814
175,0.814
176,0.814
177,0.8135
178,0.8125
179,0.8125
180,0.8115
181,0.8115
182,0.81
183,0.81
184,0.8105
185,0.8105
186,0.8105
187,0.81
188,0.8095
189,0.8095
190,0.81
191,0.81
192,0.811
193,0.8105
194,0.811
195,0.811
196,0.8125
197,0.809
198,0.8095
199,0.8095
200,0.809
201,0.8095
202,0.8095
203,0.8095
204,0.8025
205,0.804
206,0.804
207,0.8035
208,0.801
209,0.801
210,0.801
211,0.8015
212,0.8015
213,0.8015
214,0.8015
215,0.801
216,0.8015
217,0.8025
218,0.802
219,0.8025
220,0.8025
221,0.8015
222,0.8015
223,0.8015
224,0.801
225,0.801
226,0.801
227,0.801
228,0.7995
229,0.8
230,0.7995
231,0.8005
232,0.8005
233,0.8005
234,0.8005
235,0.8005
236,0.7995
237,0.8005
238,0.8005
239,0.8
240,0.8
241,0.798
242,0.794
243,0.795
244,0.7965
245,0.7955
246,0.7955
247,0.7945
248,0.7945
249,0.7935
250,0.7935
251,0.7955
252,0.796
253,0.796
254,0.7985
255,0.797
256,0.797
257,0.7965
258,0.797
259,0.797
260,0.797
261,0.797
262,0.797
263,0.797
264,0.797
265,0.7985
266,0.7985
267,0.7985
268,0.7985
269,0.798
270,0.7975
271,0.798
272,0.8
273,0.8
274,0.8005
275,0.8005
276,0.7995
277,0.7995
278,0.7955
279,0.7935
280,0.795
281,0.7965
282,0.7965
283,0.7935
284,0.7945
285,0.793
286,0.7935
287,0.7935
288,0.7935
289,0.7935
290,0.7895
291,0.785
292,0.785
293,0.783
294,0.781
295,0.783
296,0.7835
297,0.7845
298,0.7845
299,0.7835
300,0.783
301,0.7825
302,0.784
303,0.7825
304,0.782
305,0.7815
306,0.7815
307,0.7815
308,0.7815
309,0.7755
310,0.7725
311,0.773
312,0.7735
313,0.773
314,0.7725
315,0.7675
316,0.7655
317,0.7655
318,0.7655
319,0.7655
320,0.7655
321,0.7655
322,0.7615
323,0.761
324,0.761
325,0.761
326,0.761
327,0.7605
328,0.76
329,0.761
330,0.76
331,0.76
332,0.7585
333,0.757
334,0.7545
335,0.753
336,0.749
337,0.7435
338,0.743
339,0.743
340,0.7435
341,0.7435
342,0.743
343,0.7405
344,0.74
345,0.7405
346,0.7365
347,0.7345
348,0.7345
349,0.731
350,0.7305
351,0.7305
352,0.72
353,0.7195
354,0.7125
355,0.7045
356,0.7025
357,0.71
358,0.7115
359,0.711
360,0.7075
361,0.7075
362,0.705
363,0.691
364,0.692
365,0.696
366,0.695
367,0.696
368,0.696
369,0.694
370,0.7015
371,0.7025
372,0.695
373,0.6915
374,0.6875
375,0.6875
376,0.687
377,0.687
378,0.6815
379,0.662
380,0.6615
381,0.6635
382,0.6625
383,0.663
384,0.6625
385,0.6555
386,0.6605
387,0.648
388,0.65
389,0.6465
390,0.638
391,0.644
392,0.644
393,0.629
394,0.629
395,0.63
396,0.63
397,0.6265
398,0.628
399,0.6235
400,0.625
401,0.624
402,0.623
403,0.62
404,0.6165
405,0.6205
406,0.622
407,0.604
408,0.599
409,0.597
410,0.595
411,0.5965
412,0.596
413,0.5955
414,0.5885
415,0.571
416,0.5855
417,0.576
418,0.572
419,0.571
420,0.5705
421,0.554
422,0.539
423,0.5385
424,0.5405
425,0.534
426,0.535
427,0.5305
428,0.523
429,0.526
430,0.525
431,0.5195
432,0.5165
433,0.5125
434,0.511
435,0.5095
436,0.497
437,0.496
438,0.4925
439,0.4825
440,0.478
441,0.4825
442,0.485
443,0.479
444,0.4815
445,0.4825
446,0.4775
447,0.488
448,0.4735
449,0.4635
450,0.461
451,0.4605
452,0.4645
453,0.461
454,0.465
455,0.465
456,0.4535
457,0.451
458,0.4495
459,0.451
460,0.444
461,0.442
462,0.445
463,0.443
464,0.446
465,0.4405
466,0.44
467,0.44
468,0.4375
469,0.4365
470,0.4455
471,0.4295
472,0.4805
473,0.4805
474,0.477
475,0.4775
476,0.4585
477,0.4665
478,0.465
479,0.4785
480,0.492
481,0.463
482,0.4725
483,0.462
484,0.451
485,0.4485
