num_removed,accuracy
0,0.85
1,0.8495
2,0.8495
3,0.849
4,0.8475
5,0.8475
6,0.849
7,0.8505
8,0.85
9,0.848
10,0.8495
11,0.8495
12,0.8495
13,0.8495
14,0.848
15,0.8485
16,0.8505
17,0.8485
18,0.849
19,0.85
20,0.85
21,0.8485
22,0.8485
23,0.848
24,0.8455
25,0.8455
26,0.8455
27,0.845
28,0.8445
29,0.8445
30,0.844
31,0.845
32,0.8485
33,0.8485
34,0.8485
35,0.8485
36,0.8485
37,0.8485
38,0.849
39,0.849
40,0.849
41,0.8495
42,0.8495
43,0.8495
44,0.8485
45,0.8485
46,0.8485
47,0.848
48,0.847
49,0.8475
50,0.8475
51,0.848
52,0.848
53,0.846
54,0.846
55,0.8455
56,0.8455
57,0.846
58,0.846
59,0.845
60,0.845
61,0.8445
62,0.8465
63,0.8475
64,0.849
65,0.8485
66,0.848
67,0.8485
68,0.8485
69,0.8495
70,0.8495
71,0.8495
72,0.8505
73,0.8505
74,0.8505
75,0.8505
76,0.848
77,0.848
78,0.848
79,0.848
80,0.848
81,0.8485
82,0.8505
83,0.8495
84,0.8495
85,0.8495
86,0.8515
87,0.8515
88,0.852
89,0.852
90,0.8515
91,0.851
92,0.8505
93,0.849
94,0.8495
95,0.8495
96,0.85
97,0.8505
98,0.85
99,0.85
100,0.849
101,0.849
102,0.8495
103,0.848
104,0.848
105,0.8485
106,0.8485
107,0.848
108,0.848
109,0.848
110,0.848
111,0.848
112,0.848
113,0.849
114,0.848
115,0.848
116,0.849
117,0.849
118,0.8475
119,0.8475
120,0.848
121,0.8475
122,0.848
123,0.849
124,0.849
125,0.848
126,0.848
127,0.8485
128,0.849
129,0.849
130,0.849
131,0.85
132,0.8475
133,0.8455
134,0.8455
135,0.8455
136,0.8455
137,0.8465
138,0.846
139,0.847
140,0.846
141,0.847
142,0.8465
143,0.8415
144,0.8425
145,0.8425
146,0.8425
147,0.842
148,0.8415
149,0.841
150,0.841
151,0.841
152,0.841
153,0.8405
154,0.84
155,0.84
156,0.8405
157,0.8425
158,0.843
159,0.843
160,0.843
161,0.8425
162,0.8395
163,0.8395
164,0.838
165,0.838
166,0.838
167,0.8385
168,0.838
169,0.838
170,0.8385
171,0.8385
172,0.8385
173,0.839
174,0.8375
175,0.8385
176,0.8385
177,0.8385
178,0.838
179,0.838
180,0.8385
181,0.8385
182,0.839
183,0.839
184,0.839
185,0.835
186,0.8355
187,0.837
188,0.8375
189,0.8375
190,0.8395
191,0.837
192,0.837
193,0.8365
194,0.8355
195,0.8355
196,0.8355
197,0.8355
198,0.8355
199,0.8355
200,0.8355
201,0.8355
202,0.844
203,0.8435
204,0.842
205,0.842
206,0.842
207,0.8415
208,0.842
209,0.842
210,0.842
211,0.841
212,0.8385
213,0.838
214,0.8375
215,0.8375
216,0.839
217,0.839
218,0.8405
219,0.839
220,0.8375
221,0.838
222,0.8385
223,0.8385
224,0.841
225,0.8345
226,0.835
227,0.8405
228,0.8405
229,0.841
230,0.8405
231,0.8405
232,0.839
233,0.842
234,0.84
235,0.84
236,0.8405
237,0.8385
238,0.8385
239,0.838
240,0.838
241,0.8385
242,0.8385
243,0.838
244,0.837
245,0.838
246,0.8375
247,0.8375
248,0.8355
249,0.838
250,0.8385
251,0.8365
252,0.837
253,0.8365
254,0.837
255,0.8345
256,0.8335
257,0.8335
258,0.8345
259,0.833
260,0.833
261,0.836
262,0.83
263,0.83
264,0.8305
265,0.83
266,0.8305
267,0.8305
268,0.83
269,0.83
270,0.83
271,0.8285
272,0.8315
273,0.8305
274,0.8225
275,0.823
276,0.8255
277,0.828
278,0.828
279,0.8275
280,0.827
281,0.8275
282,0.8285
283,0.829
284,0.8285
285,0.827
286,0.827
287,0.8265
288,0.8265
289,0.8295
290,0.8325
291,0.8295
292,0.829
293,0.8255
294,0.826
295,0.825
296,0.8255
297,0.8245
298,0.832
299,0.832
300,0.83
301,0.8305
302,0.8305
303,0.83
304,0.824
305,0.82
306,0.819
307,0.819
308,0.817
309,0.8195
310,0.8185
311,0.821
312,0.8205
313,0.8205
314,0.8075
315,0.8065
316,0.813
317,0.8135
318,0.8125
319,0.81
320,0.81
321,0.811
322,0.803
323,0.803
324,0.803
325,0.802
326,0.7995
327,0.7985
328,0.7965
329,0.8005
330,0.8005
331,0.8
332,0.7995
333,0.799
334,0.799
335,0.8015
336,0.801
337,0.802
338,0.798
339,0.7985
340,0.797
341,0.797
342,0.797
343,0.7995
344,0.7965
345,0.8045
346,0.8025
347,0.804
348,0.8035
349,0.8035
350,0.8025
351,0.799
352,0.8005
353,0.802
354,0.8025
355,0.7985
356,0.799
357,0.8015
358,0.803
359,0.8035
360,0.8045
361,0.805
362,0.8045
363,0.801
364,0.803
365,0.8025
366,0.8035
367,0.8035
368,0.8025
369,0.8005
370,0.802
371,0.801
372,0.801
373,0.801
374,0.8015
375,0.8005
376,0.7915
377,0.7925
378,0.792
379,0.7925
380,0.794
381,0.8
382,0.801
383,0.7975
384,0.8
385,0.7995
386,0.8005
387,0.7995
388,0.7945
389,0.7955
390,0.7885
391,0.7795
392,0.7795
393,0.776
394,0.777
395,0.771
396,0.77
397,0.771
398,0.7695
399,0.7665
400,0.7625
401,0.7665
402,0.765
403,0.7755
404,0.776
405,0.775
406,0.7775
407,0.772
408,0.77
409,0.7735
410,0.774
411,0.746
412,0.742
413,0.742
414,0.741
415,0.738
416,0.738
417,0.7665
418,0.7675
419,0.7645
420,0.7655
421,0.7645
422,0.77
423,0.7685
424,0.7685
425,0.773
426,0.77
427,0.762
428,0.762
429,0.764
430,0.7655
431,0.771
432,0.7715
433,0.7705
434,0.772
435,0.7815
436,0.783
437,0.779
438,0.773
439,0.773
440,0.774
441,0.7605
442,0.755
443,0.756
444,0.7485
445,0.7485
446,0.7495
447,0.7525
448,0.756
449,0.7675
450,0.7655
451,0.7725
452,0.7675
453,0.7665
454,0.7525
455,0.755
456,0.7525
457,0.7505
458,0.749
459,0.7425
460,0.7505
461,0.7375
462,0.738
463,0.7345
464,0.7425
465,0.7385
466,0.7145
467,0.712
468,0.7125
469,0.7045
470,0.7045
471,0.6945
472,0.701
473,0.6985
474,0.687
475,0.6645
476,0.657
477,0.665
478,0.643
479,0.646
480,0.6375
481,0.643
482,0.6375
483,0.6425
484,0.6495
485,0.6555
486,0.647
487,0.6065
488,0.61
489,0.5955
490,0.56
491,0.546
492,0.557
493,0.5425
494,0.4735
495,0.4665
496,0.496
497,0.519
498,0.5155
499,0.5
