num_removed,accuracy
0,0.85
1,0.85
2,0.8485
3,0.8485
4,0.848
5,0.848
6,0.8475
7,0.847
8,0.8475
9,0.8475
10,0.8475
11,0.8465
12,0.8465
13,0.846
14,0.846
15,0.846
16,0.8455
17,0.8445
18,0.846
19,0.8465
20,0.846
21,0.846
22,0.844
23,0.8455
24,0.846
25,0.846
26,0.846
27,0.842
28,0.842
29,0.842
30,0.842
31,0.842
32,0.842
33,0.8405
34,0.8405
35,0.8405
36,0.8405
37,0.843
38,0.843
39,0.842
40,0.8425
41,0.8415
42,0.8435
43,0.8435
44,0.8435
45,0.8435
46,0.842
47,0.8435
48,0.84
49,0.84
50,0.8415
51,0.8415
52,0.841
53,0.8415
54,0.8425
55,0.841
56,0.84
57,0.84
58,0.84
59,0.84
60,0.8395
61,0.839
62,0.8395
63,0.8395
64,0.8405
65,0.8405
66,0.8405
67,0.8395
68,0.8385
69,0.839
70,0.839
71,0.84
72,0.84
73,0.839
74,0.839
75,0.84
76,0.8405
77,0.8405
78,0.8405
79,0.839
80,0.838
81,0.838
82,0.838
83,0.8405
84,0.8415
85,0.8415
86,0.8415
87,0.8415
88,0.8415
89,0.8425
90,0.8425
91,0.8425
92,0.842
93,0.8425
94,0.8425
95,0.8425
96,0.843
97,0.842
98,0.842
99,0.842
100,0.842
101,0.8415
102,0.839
103,0.8395
104,0.839
105,0.8405
106,0.8405
107,0.8405
108,0.8405
109,0.8405
110,0.84
111,0.839
112,0.8385
113,0.838
114,0.838
115,0.8385
116,0.8405
117,0.841
118,0.8405
119,0.8395
120,0.84
121,0.8395
122,0.8395
123,0.8395
124,0.8415
125,0.8415
126,0.8425
127,0.842
128,0.842
129,0.842
130,0.843
131,0.8405
132,0.837
133,0.8375
134,0.8355
135,0.836
136,0.835
137,0.8355
138,0.8365
139,0.8365
140,0.836
141,0.8355
142,0.837
143,0.8345
144,0.8365
145,0.836
146,0.836
147,0.838
148,0.839
149,0.8355
150,0.835
151,0.834
152,0.833
153,0.8345
154,0.834
155,0.8345
156,0.8315
157,0.8315
158,0.8315
159,0.832
160,0.8315
161,0.831
162,0.8305
163,0.83
164,0.832
165,0.8285
166,0.829
167,0.829
168,0.8295
169,0.829
170,0.828
171,0.8285
172,0.8265
173,0.8275
174,0.827
175,0.8255
176,0.8175
177,0.8165
178,0.8165
179,0.8165
180,0.8175
181,0.8175
182,0.817
183,0.817
184,0.8195
185,0.8175
186,0.817
187,0.8165
188,0.817
189,0.8155
190,0.815
191,0.814
192,0.8145
193,0.814
194,0.8145
195,0.814
196,0.813
197,0.814
198,0.814
199,0.8105
200,0.809
201,0.808
202,0.808
203,0.808
204,0.799
205,0.799
206,0.798
207,0.7975
208,0.7975
209,0.7975
210,0.797
211,0.7965
212,0.796
213,0.7915
214,0.789
215,0.789
216,0.79
217,0.7895
218,0.7905
219,0.7905
220,0.7905
221,0.7895
222,0.7895
223,0.789
224,0.7875
225,0.7885
226,0.7885
227,0.7875
228,0.786
229,0.787
230,0.7865
231,0.7835
232,0.781
233,0.783
234,0.7825
235,0.7805
236,0.778
237,0.778
238,0.779
239,0.7785
240,0.7805
241,0.781
242,0.777
243,0.776
244,0.776
245,0.7785
246,0.775
247,0.775
248,0.774
249,0.774
250,0.774
251,0.775
252,0.7725
253,0.772
254,0.7715
255,0.773
256,0.7715
257,0.7715
258,0.771
259,0.771
260,0.772
261,0.766
262,0.7665
263,0.768
264,0.7675
265,0.7655
266,0.7655
267,0.764
268,0.7645
269,0.7645
270,0.7635
271,0.766
272,0.753
273,0.753
274,0.7525
275,0.7555
276,0.755
277,0.7555
278,0.755
279,0.7525
280,0.7515
281,0.747
282,0.746
283,0.7365
284,0.7365
285,0.7365
286,0.7355
287,0.7365
288,0.7305
289,0.731
290,0.7305
291,0.7285
292,0.7275
293,0.727
294,0.7275
295,0.728
296,0.727
297,0.728
298,0.728
299,0.7275
300,0.726
301,0.7225
302,0.7225
303,0.7225
304,0.721
305,0.7195
306,0.7215
307,0.716
308,0.713
309,0.713
310,0.7125
311,0.714
312,0.714
313,0.7135
314,0.7155
315,0.716
316,0.7125
317,0.712
318,0.711
319,0.7105
320,0.7085
321,0.715
322,0.716
323,0.7135
324,0.7145
