num_removed,accuracy
0,0.85
1,0.8495
2,0.8505
3,0.8495
4,0.852
5,0.8525
6,0.853
7,0.853
8,0.8545
9,0.8545
10,0.853
11,0.8525
12,0.852
13,0.851
14,0.852
15,0.8505
16,0.8495
17,0.8495
18,0.853
19,0.8575
20,0.858
21,0.855
22,0.853
23,0.8515
24,0.8515
25,0.8535
26,0.854
27,0.855
28,0.8565
29,0.8605
30,0.862
31,0.863
32,0.86
33,0.8615
34,0.861
35,0.86
36,0.86
37,0.8605
38,0.858
39,0.861
40,0.863
41,0.86
42,0.861
43,0.86
44,0.8585
45,0.858
46,0.861
47,0.86
48,0.8605
49,0.86
50,0.86
51,0.8575
52,0.8575
53,0.8615
54,0.86
55,0.862
56,0.8605
57,0.8615
58,0.8615
59,0.8615
60,0.862
61,0.863
62,0.862
63,0.8615
64,0.8615
65,0.8605
66,0.862
67,0.861
68,0.861
69,0.864
70,0.8625
71,0.863
72,0.8635
73,0.8645
74,0.8645
75,0.861
76,0.8605
77,0.861
78,0.862
79,0.862
80,0.86
81,0.86
82,0.8625
83,0.863
84,0.863
85,0.863
86,0.864
87,0.864
88,0.864
89,0.862
90,0.859
91,0.8595
92,0.8595
93,0.861
94,0.8595
95,0.8595
96,0.8595
97,0.8595
98,0.862
99,0.8595
100,0.8595
101,0.859
102,0.86
103,0.859
104,0.859
105,0.857
106,0.857
107,0.857
108,0.8585
109,0.8585
110,0.859
111,0.8595
112,0.8595
113,0.856
114,0.8555
115,0.857
116,0.857
117,0.857
118,0.857
119,0.857
120,0.8605
121,0.8595
122,0.86
123,0.8605
124,0.86
125,0.8575
126,0.8575
127,0.8585
128,0.8585
129,0.858
130,0.858
131,0.858
132,0.8585
133,0.8585
134,0.858
135,0.8575
136,0.8585
137,0.8575
138,0.86
139,0.8605
140,0.861
141,0.861
142,0.861
143,0.861
144,0.861
145,0.861
146,0.861
147,0.861
148,0.861
149,0.8605
150,0.8605
151,0.86
152,0.86
153,0.86
154,0.8595
155,0.8595
156,0.8595
157,0.8595
158,0.8595
159,0.8595
160,0.859
161,0.8585
162,0.8585
163,0.8585
164,0.8585
165,0.858
166,0.856
167,0.856
168,0.856
169,0.8585
170,0.857
171,0.857
172,0.8585
173,0.8585
174,0.858
175,0.8585
176,0.8585
177,0.8575
178,0.8575
179,0.8595
180,0.856
181,0.8555
182,0.857
183,0.857
184,0.8565
185,0.856
186,0.8545
187,0.856
188,0.856
189,0.856
190,0.856
191,0.854
192,0.8545
193,0.854
194,0.85
195,0.852
196,0.8515
197,0.85
198,0.85
199,0.85
200,0.85
201,0.85
202,0.851
203,0.8505
204,0.849
205,0.8505
206,0.851
207,0.8505
208,0.851
209,0.8475
210,0.8475
211,0.8485
212,0.8505
213,0.844
214,0.8445
215,0.8445
216,0.845
217,0.8435
218,0.8435
219,0.8435
220,0.8415
221,0.8415
222,0.8415
223,0.8415
224,0.8415
225,0.8415
226,0.8415
227,0.8415
228,0.8415
229,0.8415
230,0.842
231,0.8425
232,0.8425
233,0.8425
234,0.842
235,0.842
236,0.8425
237,0.8425
238,0.8425
239,0.8395
240,0.839
241,0.8385
242,0.8375
243,0.8375
244,0.838
245,0.839
246,0.8385
247,0.839
248,0.837
249,0.8365
250,0.8365
251,0.8365
252,0.8345
253,0.8345
254,0.8365
255,0.8365
256,0.8365
257,0.8365
258,0.8375
259,0.8335
260,0.834
261,0.835
262,0.835
263,0.835
264,0.8345
265,0.834
266,0.834
267,0.8305
268,0.8295
269,0.8295
270,0.83
271,0.83
272,0.832
273,0.832
274,0.8325
275,0.8325
276,0.834
277,0.834
278,0.834
279,0.8335
280,0.834
281,0.8345
282,0.8345
283,0.8345
284,0.8345
285,0.835
286,0.8385
287,0.838
288,0.838
289,0.8385
290,0.8345
291,0.835
292,0.8335
293,0.834
294,0.834
295,0.8345
296,0.834
297,0.832
298,0.832
299,0.833
300,0.838
301,0.8375
302,0.839
303,0.837
304,0.838
305,0.8405
306,0.8405
307,0.842
308,0.843
309,0.8435
310,0.8435
311,0.8435
312,0.8435
313,0.844
314,0.8425
315,0.8435
316,0.8435
317,0.843
318,0.844
319,0.844
320,0.843
321,0.8415
322,0.84
323,0.842
324,0.8425
325,0.84
326,0.838
327,0.8375
328,0.838
329,0.838
330,0.838
331,0.838
332,0.836
333,0.8325
334,0.834
335,0.833
336,0.8325
337,0.8335
338,0.8335
339,0.8335
340,0.832
341,0.832
342,0.8315
343,0.831
344,0.831
345,0.833
346,0.832
347,0.8305
348,0.8305
349,0.831
350,0.83
351,0.829
352,0.829
353,0.829
354,0.8305
355,0.83
356,0.8305
357,0.8305
358,0.8305
359,0.831
360,0.8305
361,0.831
362,0.8315
363,0.8295
364,0.83
365,0.8295
366,0.8295
367,0.8305
368,0.828
369,0.8285
370,0.8375
371,0.8365
372,0.837
373,0.836
374,0.834
375,0.8345
376,0.834
377,0.8165
378,0.817
379,0.8175
380,0.8165
381,0.8195
382,0.818
383,0.819
384,0.8175
385,0.819
386,0.82
387,0.8195
388,0.8195
389,0.819
390,0.8215
391,0.819
392,0.818
393,0.8175
394,0.8155
395,0.815
396,0.8165
397,0.8155
398,0.8145
399,0.8205
400,0.821
401,0.8215
402,0.8195
403,0.8185
404,0.82
405,0.8225
406,0.823
407,0.822
408,0.8265
409,0.8275
410,0.828
411,0.8285
412,0.829
413,0.828
414,0.8265
415,0.8275
416,0.8275
417,0.829
418,0.8285
419,0.8285
420,0.83
421,0.829
422,0.8315
423,0.8245
424,0.821
425,0.812
426,0.8115
427,0.8115
428,0.8135
429,0.815
430,0.815
431,0.813
432,0.818
433,0.818
434,0.8165
435,0.815
436,0.8155
437,0.81
438,0.8065
439,0.807
440,0.8
441,0.8015
442,0.8025
443,0.8035
444,0.804
445,0.8045
446,0.8065
447,0.811
448,0.7925
449,0.794
450,0.782
451,0.779
452,0.7795
453,0.7945
454,0.798
455,0.794
456,0.791
457,0.791
458,0.7965
459,0.806
460,0.8065
461,0.808
462,0.7975
463,0.801
464,0.8025
465,0.8015
466,0.7985
467,0.7975
468,0.798
469,0.8005
470,0.787
471,0.7875
472,0.7895
473,0.786
474,0.792
475,0.792
476,0.7975
477,0.7895
478,0.774
479,0.77
480,0.763
481,0.7715
482,0.6995
483,0.715
484,0.7
485,0.71
486,0.6955
487,0.6845
488,0.6885
489,0.6395
490,0.6385
491,0.647
492,0.6125
493,0.627
494,0.6495
495,0.5305
496,0.505
497,0.5125
498,0.5865
499,0.5
