num_removed,accuracy
0,0.9545
1,0.9545
2,0.9545
3,0.9545
4,0.9545
5,0.9545
6,0.9545
7,0.9545
8,0.954
9,0.954
10,0.954
11,0.954
12,0.954
13,0.954
14,0.9545
15,0.9545
16,0.954
17,0.954
18,0.954
19,0.954
20,0.954
21,0.954
22,0.954
23,0.954
24,0.954
25,0.954
26,0.954
27,0.954
28,0.954
29,0.954
30,0.954
31,0.954
32,0.954
33,0.954
34,0.954
35,0.954
36,0.954
37,0.954
38,0.954
39,0.954
40,0.954
41,0.954
42,0.954
43,0.954
44,0.954
45,0.954
46,0.954
47,0.954
48,0.954
49,0.954
50,0.9535
51,0.9535
52,0.9535
53,0.9535
54,0.9535
55,0.9535
56,0.9535
57,0.9535
58,0.9535
59,0.9535
60,0.9535
61,0.9535
62,0.9535
63,0.9535
64,0.9535
65,0.9535
66,0.9535
67,0.9535
68,0.9535
69,0.9535
70,0.9535
71,0.9535
72,0.9535
73,0.9535
74,0.9535
75,0.9535
76,0.9535
77,0.9535
78,0.9535
79,0.9535
80,0.9535
81,0.9535
82,0.9535
83,0.9535
84,0.9535
85,0.9535
86,0.9535
87,0.9535
88,0.9535
89,0.9535
90,0.9535
91,0.9535
92,0.9535
93,0.9535
94,0.9535
95,0.9535
96,0.9535
97,0.9535
98,0.9535
99,0.9535
100,0.9535
101,0.9535
102,0.9535
103,0.9535
104,0.9535
105,0.9535
106,0.9535
107,0.9535
108,0.9535
109,0.9535
110,0.9535
111,0.9535
112,0.9535
113,0.9535
114,0.9535
115,0.9535
116,0.9535
117,0.9535
118,0.9535
119,0.9535
120,0.9535
121,0.9535
122,0.9535
123,0.9535
124,0.9535
125,0.9535
126,0.9535
127,0.9535
128,0.9535
129,0.9535
130,0.9535
131,0.9535
132,0.9535
133,0.9535
134,0.9535
135,0.9535
136,0.9535
137,0.9535
138,0.9535
139,0.9535
140,0.9535
141,0.9535
142,0.9535
143,0.9535
144,0.9535
145,0.9535
146,0.9535
147,0.9535
148,0.9535
149,0.9535
150,0.9535
151,0.9535
152,0.9535
153,0.9535
154,0.9535
155,0.9535
156,0.9535
157,0.9535
158,0.953
159,0.953
160,0.953
161,0.953
162,0.953
163,0.953
164,0.953
165,0.953
166,0.953
167,0.953
168,0.953
169,0.9535
170,0.9535
171,0.9535
172,0.9535
173,0.9535
174,0.9535
175,0.9535
176,0.9535
177,0.9535
178,0.9535
179,0.9525
180,0.953
181,0.9525
182,0.953
183,0.9525
184,0.953
185,0.9525
186,0.9525
187,0.9525
188,0.9525
189,0.9525
190,0.952
191,0.952
192,0.952
193,0.9525
194,0.952
195,0.952
196,0.9525
197,0.9525
198,0.9525
199,0.9515
200,0.9515
201,0.9515
202,0.9515
203,0.9515
204,0.9515
205,0.9515
206,0.952
207,0.952
208,0.952
209,0.952
210,0.9525
211,0.9525
212,0.9525
213,0.9525
214,0.9525
215,0.9525
216,0.9525
217,0.9525
218,0.9525
219,0.9525
220,0.9525
221,0.9525
222,0.9525
223,0.9525
224,0.9525
225,0.952
226,0.952
227,0.9525
228,0.9525
229,0.9525
230,0.9525
231,0.9525
232,0.952
233,0.952
234,0.9525
235,0.9525
236,0.9525
237,0.9525
238,0.952
239,0.952
240,0.952
241,0.952
242,0.952
243,0.952
244,0.952
245,0.9525
246,0.9525
247,0.9525
248,0.9525
249,0.9525
250,0.9525
251,0.9525
252,0.952
253,0.952
254,0.952
255,0.952
256,0.952
257,0.952
258,0.952
259,0.952
260,0.952
261,0.9525
262,0.953
263,0.953
264,0.953
265,0.953
266,0.953
267,0.953
268,0.953
269,0.953
270,0.952
271,0.952
272,0.952
273,0.952
274,0.952
275,0.952
276,0.952
277,0.952
278,0.952
279,0.952
280,0.9515
281,0.952
282,0.952
283,0.9515
284,0.9515
285,0.9515
286,0.952
287,0.952
288,0.9525
289,0.9525
290,0.9525
291,0.9525
292,0.9525
293,0.9525
294,0.9525
295,0.9525
296,0.9525
297,0.9525
298,0.9525
299,0.9525
300,0.9525
301,0.952
302,0.9525
303,0.9525
304,0.9525
305,0.9525
306,0.9525
307,0.952
308,0.952
309,0.9525
310,0.952
311,0.9525
312,0.9525
313,0.9525
314,0.9525
315,0.9525
316,0.9525
317,0.9525
318,0.9525
319,0.952
320,0.952
321,0.952
322,0.9515
323,0.9515
324,0.952
325,0.9515
