num_removed,accuracy
0,0.6975
1,0.6965
2,0.697
3,0.698
4,0.698
5,0.6965
6,0.6985
7,0.6995
8,0.697
9,0.699
10,0.6985
11,0.6985
12,0.6985
13,0.6975
14,0.698
15,0.6975
16,0.6975
17,0.6985
18,0.7
19,0.698
20,0.699
21,0.699
22,0.6985
23,0.7
24,0.6995
25,0.7
26,0.7
27,0.6995
28,0.6995
29,0.6995
30,0.699
31,0.6985
32,0.7
33,0.698
34,0.6995
35,0.698
36,0.6945
37,0.6935
38,0.6925
39,0.695
40,0.697
41,0.696
42,0.6965
43,0.6975
44,0.696
45,0.695
46,0.695
47,0.6945
48,0.6935
49,0.694
50,0.6945
51,0.6945
52,0.6945
53,0.6925
54,0.6925
55,0.693
56,0.6905
57,0.69
58,0.6905
59,0.691
60,0.6925
61,0.692
62,0.69
63,0.6845
64,0.6855
65,0.6845
66,0.684
67,0.688
68,0.687
69,0.6875
70,0.6865
71,0.687
72,0.6865
73,0.685
74,0.6855
75,0.685
76,0.687
77,0.6875
78,0.6835
79,0.684
80,0.6835
81,0.685
82,0.685
83,0.6845
84,0.686
85,0.687
86,0.6855
87,0.6855
88,0.687
89,0.6855
90,0.6855
91,0.6845
92,0.6855
93,0.6855
94,0.6865
95,0.684
96,0.6825
97,0.683
98,0.6825
99,0.683
100,0.683
101,0.6815
102,0.683
103,0.681
104,0.6825
105,0.6815
106,0.681
107,0.679
108,0.6795
109,0.679
110,0.68
111,0.68
112,0.68
113,0.677
114,0.6765
115,0.677
116,0.677
117,0.678
118,0.678
119,0.678
120,0.6785
121,0.681
122,0.6785
123,0.679
124,0.679
125,0.679
126,0.68
127,0.6775
128,0.678
129,0.677
130,0.676
131,0.6765
132,0.68
133,0.679
134,0.679
135,0.68
136,0.6825
137,0.6785
138,0.68
139,0.6795
140,0.6805
141,0.681
142,0.6805
143,0.6805
144,0.6805
145,0.6825
146,0.682
147,0.682
148,0.681
149,0.68
150,0.679
151,0.681
152,0.681
153,0.681
154,0.6825
155,0.6825
156,0.682
157,0.6825
158,0.683
159,0.684
160,0.684
161,0.684
162,0.6845
163,0.68
164,0.6755
165,0.6755
166,0.6745
167,0.675
168,0.6745
169,0.6725
170,0.6775
171,0.6765
172,0.6775
173,0.6765
174,0.6765
175,0.679
176,0.679
177,0.679
178,0.681
179,0.6805
180,0.6795
181,0.679
182,0.678
183,0.678
184,0.6775
185,0.6765
186,0.6765
187,0.679
188,0.6785
189,0.6755
190,0.675
191,0.675
192,0.6745
193,0.674
194,0.6745
195,0.676
196,0.677
197,0.6765
198,0.678
199,0.6775
200,0.677
201,0.679
202,0.6755
203,0.676
204,0.674
205,0.6745
206,0.6745
207,0.675
208,0.674
209,0.6735
210,0.672
211,0.6725
212,0.6705
213,0.6745
214,0.675
215,0.6745
216,0.675
217,0.676
218,0.676
219,0.676
220,0.6775
221,0.6755
222,0.676
223,0.6745
224,0.6745
225,0.675
226,0.674
227,0.674
228,0.674
229,0.675
230,0.6755
231,0.6775
232,0.676
233,0.6785
234,0.6775
235,0.677
236,0.68
237,0.68
238,0.6785
239,0.68
240,0.678
241,0.6755
242,0.678
243,0.6785
244,0.6765
245,0.6785
246,0.676
247,0.6765
248,0.676
249,0.676
250,0.6765
251,0.675
252,0.6785
253,0.678
254,0.6775
255,0.679
256,0.679
257,0.679
258,0.679
259,0.675
260,0.6755
261,0.6755
262,0.675
263,0.671
264,0.671
265,0.6695
266,0.6715
267,0.671
268,0.6705
269,0.669
270,0.6705
271,0.67
272,0.669
273,0.669
274,0.6725
275,0.674
276,0.673
277,0.671
278,0.6715
279,0.671
280,0.676
281,0.671
282,0.672
283,0.6705
284,0.668
285,0.6655
286,0.6655
287,0.6675
288,0.665
289,0.664
290,0.6655
291,0.6635
292,0.663
293,0.669
294,0.6635
295,0.661
296,0.6625
297,0.663
298,0.6625
299,0.6605
300,0.661
301,0.6605
302,0.6565
303,0.6555
304,0.6555
305,0.6565
306,0.6545
307,0.6545
308,0.654
309,0.655
310,0.656
311,0.6555
312,0.652
313,0.6525
314,0.654
315,0.654
316,0.652
317,0.653
318,0.6455
319,0.647
320,0.646
321,0.6465
322,0.6485
323,0.646
324,0.6465
325,0.6475
326,0.648
327,0.642
328,0.644
329,0.6485
330,0.6465
331,0.647
332,0.6475
333,0.648
334,0.6485
335,0.6455
336,0.646
337,0.6415
338,0.6455
339,0.644
340,0.639
341,0.64
342,0.6385
343,0.6375
344,0.6415
345,0.6415
346,0.6405
347,0.6425
348,0.6435
349,0.6455
350,0.646
351,0.6425
352,0.64
353,0.6435
354,0.6445
355,0.64
356,0.637
357,0.6345
358,0.6385
359,0.6415
360,0.644
361,0.6435
362,0.6415
363,0.641
364,0.6415
365,0.6405
366,0.64
367,0.6425
368,0.646
369,0.6425
370,0.6425
371,0.641
372,0.6505
373,0.652
374,0.6545
375,0.655
376,0.6535
377,0.6495
378,0.648
379,0.65
380,0.649
381,0.6475
382,0.648
383,0.646
384,0.6395
385,0.637
386,0.637
387,0.6265
388,0.6305
389,0.633
390,0.637
391,0.638
392,0.637
393,0.627
394,0.641
395,0.6395
396,0.642
397,0.6355
398,0.6365
399,0.6375
400,0.638
401,0.6335
402,0.633
403,0.6345
404,0.6335
405,0.6365
406,0.632
407,0.629
408,0.628
409,0.6205
410,0.6185
411,0.6175
412,0.62
413,0.6245
414,0.625
415,0.626
416,0.628
417,0.629
418,0.6305
419,0.626
420,0.62
421,0.6215
422,0.626
423,0.613
424,0.594
425,0.598
426,0.5955
427,0.6035
428,0.601
429,0.5945
430,0.5865
431,0.588
432,0.5865
433,0.588
434,0.584
435,0.591
436,0.594
437,0.5945
438,0.594
439,0.5965
440,0.5935
441,0.594
442,0.5935
443,0.59
444,0.589
445,0.595
446,0.5895
447,0.589
448,0.5955
449,0.5925
450,0.5845
451,0.5845
452,0.5815
453,0.5815
454,0.578
455,0.5945
456,0.5925
457,0.5865
458,0.5855
459,0.581
460,0.5495
461,0.5575
462,0.5565
463,0.5655
464,0.553
465,0.5545
466,0.5545
467,0.5555
468,0.551
469,0.552
470,0.5585
471,0.5505
472,0.5445
473,0.541
474,0.548
475,0.5415
476,0.5455
477,0.543
478,0.5405
479,0.551
480,0.526
481,0.5435
482,0.553
483,0.5545
484,0.54
485,0.5405
486,0.537
487,0.5305
488,0.533
489,0.52
490,0.4825
491,0.484
492,0.562
493,0.569
494,0.582
495,0.478
496,0.4435
497,0.3645
498,0.3645
499,0.3645
