num_removed,accuracy
0,0.6715
1,0.672
2,0.672
3,0.674
4,0.6765
5,0.6765
6,0.6785
7,0.679
8,0.677
9,0.677
10,0.676
11,0.6745
12,0.6755
13,0.675
14,0.6775
15,0.677
16,0.677
17,0.678
18,0.6755
19,0.6765
20,0.6765
21,0.6755
22,0.6755
23,0.6755
24,0.676
25,0.6745
26,0.6745
27,0.674
28,0.677
29,0.678
30,0.674
31,0.674
32,0.6745
33,0.674
34,0.674
35,0.6765
36,0.6765
37,0.678
38,0.678
39,0.6785
40,0.6775
41,0.6765
42,0.6775
43,0.6775
44,0.6755
45,0.674
46,0.6755
47,0.6735
48,0.6725
49,0.672
50,0.672
51,0.672
52,0.672
53,0.6715
54,0.671
55,0.67
56,0.6705
57,0.667
58,0.668
59,0.6665
60,0.6665
61,0.669
62,0.669
63,0.671
64,0.671
65,0.671
66,0.673
67,0.669
68,0.6675
69,0.668
70,0.6685
71,0.67
72,0.6685
73,0.662
74,0.6615
75,0.6615
76,0.6655
77,0.6635
78,0.663
79,0.666
80,0.6655
81,0.6635
82,0.664
83,0.6655
84,0.665
85,0.6655
86,0.6655
87,0.663
88,0.664
89,0.663
90,0.663
91,0.6635
92,0.664
93,0.663
94,0.6625
95,0.6615
96,0.6605
97,0.6615
98,0.6635
99,0.664
100,0.666
101,0.6635
102,0.6645
103,0.667
104,0.664
105,0.665
106,0.6625
107,0.6645
108,0.6595
109,0.663
110,0.6635
111,0.6625
112,0.661
113,0.661
114,0.662
115,0.6645
116,0.6655
117,0.6655
118,0.662
119,0.662
120,0.6625
121,0.6635
122,0.6615
123,0.6575
124,0.653
125,0.653
126,0.651
127,0.651
128,0.645
129,0.6475
130,0.649
131,0.6495
132,0.6495
133,0.6485
134,0.6485
135,0.6485
136,0.6445
137,0.6455
138,0.646
139,0.649
140,0.652
141,0.649
142,0.649
143,0.648
144,0.649
145,0.65
146,0.6485
147,0.6445
148,0.644
149,0.642
150,0.639
151,0.6415
152,0.64
153,0.638
154,0.6385
155,0.6375
156,0.6375
157,0.6365
158,0.6375
159,0.638
160,0.639
161,0.6395
162,0.6395
163,0.639
164,0.6395
165,0.6375
166,0.636
167,0.6345
168,0.6375
169,0.632
170,0.6315
171,0.6325
172,0.6285
173,0.628
174,0.6265
175,0.6275
176,0.6265
177,0.6255
178,0.625
179,0.625
180,0.6255
181,0.6255
182,0.623
183,0.6235
184,0.6225
185,0.6255
186,0.623
187,0.62
188,0.6205
189,0.6215
190,0.6215
191,0.6195
192,0.6195
193,0.62
194,0.621
195,0.62
196,0.614
197,0.614
198,0.6125
