num_removed,accuracy
0,0.676
1,0.6795
2,0.6785
3,0.685
4,0.681
5,0.677
6,0.6795
7,0.6785
8,0.681
9,0.6785
10,0.681
11,0.682
12,0.6835
13,0.686
14,0.687
15,0.688
16,0.6875
17,0.688
18,0.687
19,0.688
20,0.692
21,0.6935
22,0.694
23,0.695
24,0.694
25,0.6925
26,0.696
27,0.697
28,0.695
29,0.697
30,0.695
31,0.695
32,0.6945
33,0.6955
34,0.6945
35,0.6955
36,0.6955
37,0.696
38,0.6945
39,0.6925
40,0.6945
41,0.693
42,0.6945
43,0.6945
44,0.6935
45,0.6945
46,0.693
47,0.693
48,0.692
49,0.692
50,0.6905
51,0.6895
52,0.6895
53,0.689
54,0.689
55,0.688
56,0.6885
57,0.6885
58,0.685
59,0.6815
60,0.6815
61,0.6815
62,0.6825
63,0.6815
64,0.6815
65,0.6815
66,0.682
67,0.6815
68,0.68
69,0.68
70,0.68
71,0.6795
72,0.6795
73,0.6795
74,0.68
75,0.681
76,0.681
77,0.679
78,0.677
79,0.6765
80,0.677
81,0.677
82,0.677
83,0.677
84,0.677
85,0.6775
86,0.6775
87,0.6775
88,0.6775
89,0.677
90,0.678
91,0.678
92,0.678
93,0.6775
94,0.6815
95,0.6815
96,0.682
97,0.6825
98,0.683
99,0.6825
100,0.683
101,0.682
102,0.6805
103,0.681
104,0.679
105,0.679
106,0.681
107,0.681
108,0.678
109,0.6795
110,0.6795
111,0.6795
112,0.678
113,0.6775
114,0.677
115,0.6775
116,0.6785
117,0.678
118,0.679
119,0.6795
120,0.679
121,0.6795
122,0.6805
123,0.6795
124,0.6795
125,0.6795
126,0.6805
127,0.681
128,0.68
129,0.68
130,0.6795
131,0.68
132,0.6775
133,0.677
134,0.675
135,0.6725
136,0.6715
137,0.6705
138,0.671
139,0.671
140,0.673
141,0.673
142,0.673
143,0.6725
144,0.674
145,0.674
146,0.6745
147,0.6745
148,0.674
149,0.674
150,0.673
151,0.673
152,0.673
153,0.673
154,0.6765
155,0.6765
156,0.666
157,0.6675
158,0.6665
159,0.6675
160,0.6675
161,0.667
162,0.666
163,0.666
164,0.6685
165,0.678
166,0.678
167,0.6785
168,0.6785
169,0.6785
170,0.6795
171,0.678
172,0.678
173,0.678
174,0.679
175,0.671
176,0.671
177,0.672
178,0.671
179,0.6705
180,0.671
181,0.6705
182,0.664
183,0.6605
184,0.6575
185,0.6575
186,0.6575
187,0.6635
188,0.6635
189,0.66
190,0.659
191,0.653
192,0.6525
193,0.6535
194,0.653
195,0.655
196,0.6555
197,0.655
198,0.652
199,0.651
200,0.651
201,0.651
202,0.649
203,0.649
204,0.6465
205,0.644
206,0.646
207,0.6465
208,0.647
209,0.647
210,0.645
211,0.6465
212,0.6445
213,0.6445
214,0.641
215,0.642
216,0.642
217,0.642
218,0.6425
219,0.6425
220,0.6425
221,0.642
222,0.642
223,0.642
224,0.644
225,0.644
226,0.644
227,0.6435
228,0.6435
229,0.645
230,0.6445
231,0.644
232,0.6435
233,0.6435
234,0.642
235,0.6435
236,0.6435
237,0.6455
238,0.6455
239,0.646
240,0.646
241,0.6465
242,0.6455
243,0.646
244,0.6465
245,0.6465
246,0.6465
247,0.6465
248,0.6475
249,0.647
250,0.646
251,0.6495
252,0.651
253,0.6465
254,0.6475
255,0.6475
256,0.6485
257,0.647
258,0.644
259,0.6485
260,0.651
261,0.651
262,0.652
263,0.649
264,0.648
265,0.6425
266,0.6425
267,0.6415
268,0.6395
269,0.639
270,0.6385
271,0.641
272,0.6385
273,0.6375
274,0.6395
275,0.639
276,0.6385
277,0.6435
278,0.639
279,0.6385
280,0.6405
281,0.6375
282,0.633
283,0.626
284,0.626
285,0.6305
286,0.6305
287,0.6305
288,0.6315
289,0.631
290,0.6305
291,0.62
292,0.619
293,0.62
294,0.617
295,0.6195
296,0.6185
297,0.622
298,0.625
299,0.6265
300,0.6155
301,0.6125
302,0.615
303,0.6155
304,0.614
305,0.6135
306,0.6135
307,0.6185
308,0.6205
309,0.617
310,0.6165
311,0.613
312,0.607
313,0.604
314,0.607
315,0.6105
316,0.614
317,0.615
318,0.6145
319,0.611
320,0.5935
321,0.5935
322,0.594
323,0.593
324,0.591
325,0.592
326,0.5815
327,0.5825
328,0.582
329,0.5865
330,0.579
331,0.5805
332,0.5775
333,0.5795
334,0.57
335,0.566
336,0.564
337,0.5665
338,0.5695
339,0.5695
340,0.544
341,0.536
342,0.5375
343,0.535
344,0.5325
345,0.5295
346,0.531
347,0.529
348,0.531
349,0.5305
350,0.53
351,0.5155
352,0.5155
353,0.516
354,0.5185
355,0.5195
356,0.519
357,0.5215
358,0.5225
359,0.529
360,0.5285
361,0.522
362,0.5205
363,0.5205
364,0.5185
365,0.5185
366,0.519
367,0.511
368,0.511
369,0.501
370,0.4985
371,0.504
372,0.501
373,0.4975
374,0.497
375,0.494
376,0.4965
377,0.4975
378,0.491
379,0.4825
380,0.4725
381,0.4735
382,0.4715
383,0.4725
384,0.4705
385,0.4685
386,0.4595
387,0.4585
388,0.464
389,0.453
390,0.4535
391,0.4795
392,0.4785
393,0.469
394,0.4735
395,0.4735
396,0.468
397,0.477
398,0.479
399,0.478
400,0.4765
401,0.472
402,0.4685
403,0.4655
404,0.4605
405,0.4595
406,0.453
407,0.4505
408,0.444
409,0.4225
410,0.414
411,0.4105
412,0.3995
413,0.4
414,0.3955
415,0.3875
416,0.385
417,0.385
418,0.375
419,0.3675
420,0.3595
421,0.35
422,0.3495
423,0.3475
424,0.3455
425,0.3465
426,0.3435
427,0.3585
428,0.3565
429,0.3585
430,0.3735
431,0.372
432,0.373
433,0.374
434,0.3765
435,0.3755
436,0.362
437,0.367
438,0.375
439,0.37
440,0.3675
441,0.365
442,0.371
443,0.3715
444,0.372
445,0.3975
446,0.395
447,0.395
448,0.396
449,0.389
450,0.3895
451,0.3885
452,0.392
453,0.3915
454,0.3915
455,0.4045
456,0.406
457,0.4015
458,0.3895
459,0.396
460,0.389
461,0.3885
462,0.3885
463,0.39
464,0.4145
465,0.4075
466,0.409
467,0.4095
468,0.4035
469,0.403
470,0.4015
471,0.4035
472,0.379
473,0.363
474,0.372
475,0.375
476,0.376
477,0.3745
478,0.3775
479,0.3785
480,0.3525
481,0.362
482,0.3665
483,0.3605
484,0.342
485,0.3535
486,0.356
487,0.3565
488,0.3525
489,0.3445
490,0.3075
491,0.314
492,0.325
493,0.338
494,0.3155
495,0.3335
496,0.2615
497,0.2595
498,0.035
499,0.035
