num_removed,accuracy
0,0.6715
1,0.674
2,0.6745
3,0.672
4,0.6735
5,0.6745
6,0.673
7,0.674
8,0.675
9,0.674
10,0.6725
11,0.673
12,0.674
13,0.6735
14,0.675
15,0.672
16,0.6705
17,0.6705
18,0.6705
19,0.6705
20,0.6685
21,0.668
22,0.667
23,0.668
24,0.668
25,0.668
26,0.6685
27,0.666
28,0.6665
29,0.665
30,0.6645
31,0.6645
32,0.6655
33,0.663
34,0.6675
35,0.6675
36,0.6655
37,0.6675
38,0.6665
39,0.6635
40,0.663
41,0.663
42,0.664
43,0.667
44,0.6675
45,0.6655
46,0.665
47,0.665
48,0.665
49,0.6645
50,0.6645
51,0.666
52,0.665
53,0.665
54,0.664
55,0.663
56,0.664
57,0.662
58,0.663
59,0.6645
60,0.6635
61,0.6645
62,0.6615
63,0.6615
64,0.6595
65,0.659
66,0.6605
67,0.6595
68,0.66
69,0.6625
70,0.6615
71,0.663
72,0.6605
73,0.6605
74,0.6615
75,0.661
76,0.6605
77,0.656
78,0.6545
79,0.654
80,0.6545
81,0.653
82,0.65
83,0.649
84,0.6485
85,0.646
86,0.6485
87,0.6505
88,0.6515
89,0.6485
90,0.6475
91,0.647
92,0.643
93,0.641
94,0.6365
95,0.637
96,0.6345
97,0.6345
98,0.631
99,0.633
100,0.633
101,0.633
102,0.63
103,0.6265
104,0.628
105,0.629
106,0.6245
107,0.6255
108,0.6255
109,0.623
110,0.6205
111,0.618
112,0.618
113,0.6175
114,0.617
115,0.6155
116,0.615
117,0.6155
118,0.6165
119,0.616
120,0.616
121,0.6135
122,0.6125
123,0.6155
124,0.6065
125,0.6075
126,0.6055
127,0.6065
128,0.6085
129,0.6085
130,0.608
131,0.608
132,0.6075
133,0.6065
134,0.607
135,0.6065
136,0.607
137,0.6065
138,0.606
139,0.606
140,0.5985
141,0.595
142,0.5925
143,0.5925
144,0.593
145,0.593
146,0.5925
147,0.5905
148,0.589
149,0.586
150,0.5855
151,0.5855
152,0.581
153,0.581
154,0.5805
155,0.5805
156,0.5795
157,0.5795
158,0.58
159,0.5795
160,0.5785
161,0.58
162,0.58
163,0.583
164,0.583
165,0.581
166,0.581
167,0.58
168,0.58
169,0.576
170,0.5755
171,0.574
172,0.5725
173,0.5735
174,0.5715
175,0.5725
176,0.5735
177,0.5725
178,0.5735
179,0.573
180,0.5715
181,0.568
182,0.5645
183,0.563
184,0.5615
185,0.561
186,0.56
187,0.561
188,0.5615
189,0.5615
190,0.5605
191,0.5615
192,0.5605
193,0.56
194,0.558
195,0.555
196,0.557
197,0.558
198,0.5575
199,0.558
200,0.557
201,0.5565
202,0.5545
203,0.552
204,0.556
205,0.553
206,0.5545
207,0.5555
208,0.5545
209,0.556
210,0.557
211,0.5585
212,0.5585
213,0.5575
214,0.557
215,0.5555
216,0.555
217,0.555
218,0.556
219,0.553
220,0.553
221,0.553
222,0.5525
223,0.5525
224,0.5525
225,0.552
226,0.5525
227,0.5525
228,0.5515
229,0.5425
230,0.5435
231,0.546
232,0.545
233,0.5455
234,0.5445
235,0.5455
236,0.5455
237,0.5395
238,0.542
239,0.537
240,0.5395
241,0.5385
242,0.538
243,0.5325
244,0.5325
245,0.532
246,0.532
247,0.5345
248,0.532
249,0.532
250,0.53
251,0.528
252,0.5275
253,0.528
254,0.529
255,0.5285
256,0.5285
257,0.525
258,0.5275
259,0.5225
260,0.519
261,0.5205
262,0.522
263,0.5165
264,0.519
265,0.518
266,0.5185
267,0.5185
268,0.516
269,0.515
270,0.5085
271,0.508
272,0.5075
273,0.5095
274,0.5095
275,0.5095
276,0.5075
277,0.5065
278,0.5065
279,0.5035
280,0.503
281,0.503
282,0.5005
283,0.5005
284,0.503
285,0.4995
286,0.503
287,0.503
288,0.503
289,0.5025
290,0.5035
291,0.5025
292,0.502
293,0.499
294,0.498
295,0.495
296,0.4955
297,0.493
298,0.493
299,0.4895
300,0.4895
301,0.4845
302,0.482
303,0.482
304,0.476
305,0.4705
306,0.473
307,0.472
308,0.468
309,0.469
310,0.469
311,0.471
312,0.464
313,0.4625
314,0.4655
315,0.4665
316,0.456
317,0.453
318,0.4535
319,0.4495
320,0.4495
321,0.4495
322,0.4495
323,0.449
324,0.4505
325,0.45
326,0.447
327,0.4465
328,0.4455
329,0.4405
