num_removed,accuracy
0,0.6785
1,0.676
2,0.673
3,0.671
4,0.6695
5,0.669
6,0.668
7,0.667
8,0.6655
9,0.6645
10,0.666
11,0.669
12,0.669
13,0.6685
14,0.6705
15,0.6705
16,0.6705
17,0.6695
18,0.667
19,0.6655
20,0.6615
21,0.658
22,0.6585
23,0.659
24,0.6585
25,0.6595
26,0.658
27,0.657
28,0.6535
29,0.654
30,0.6555
31,0.655
32,0.6555
33,0.655
34,0.6555
35,0.654
36,0.654
37,0.6545
38,0.654
39,0.653
40,0.6525
41,0.654
42,0.6505
43,0.6495
44,0.6495
45,0.6445
46,0.6475
47,0.6475
48,0.6465
49,0.647
50,0.6465
51,0.648
52,0.645
53,0.6445
54,0.646
55,0.647
56,0.6465
57,0.645
58,0.6435
59,0.644
60,0.6425
61,0.6415
62,0.6395
63,0.639
64,0.641
65,0.639
66,0.6385
67,0.639
68,0.639
69,0.6395
70,0.637
71,0.6375
72,0.634
73,0.6315
74,0.631
75,0.6275
76,0.6295
77,0.6285
78,0.6275
79,0.627
80,0.6245
81,0.625
82,0.626
83,0.6265
84,0.623
85,0.625
86,0.624
87,0.625
88,0.62
89,0.6195
90,0.6185
91,0.6185
92,0.6195
93,0.6185
94,0.618
95,0.6175
96,0.615
97,0.615
98,0.615
99,0.614
100,0.6135
101,0.6135
102,0.614
103,0.612
104,0.6115
105,0.613
106,0.615
107,0.6155
108,0.615
109,0.6145
110,0.6115
111,0.6115
112,0.608
113,0.6085
114,0.608
115,0.6055
116,0.605
117,0.598
118,0.596
119,0.5965
120,0.596
121,0.596
122,0.595
123,0.5935
124,0.591
125,0.59
126,0.5905
127,0.591
128,0.591
129,0.592
130,0.592
131,0.5925
132,0.5875
133,0.5855
134,0.586
135,0.584
136,0.5855
137,0.5825
138,0.5825
139,0.5835
140,0.5785
141,0.577
142,0.578
143,0.578
144,0.5765
145,0.574
146,0.5735
147,0.575
148,0.5725
149,0.5705
150,0.5725
151,0.568
152,0.5665
153,0.5665
154,0.56
155,0.558
156,0.558
157,0.5585
158,0.555
159,0.554
160,0.5555
161,0.5565
162,0.5555
163,0.5505
164,0.55
165,0.55
166,0.549
167,0.549
168,0.5475
169,0.55
170,0.5485
171,0.5405
172,0.539
173,0.539
174,0.542
175,0.5405
176,0.542
177,0.5415
178,0.5415
179,0.537
180,0.543
181,0.538
182,0.5325
183,0.5315
184,0.5305
185,0.53
186,0.521
187,0.518
188,0.518
189,0.5235
190,0.5235
191,0.52
192,0.519
193,0.518
194,0.5135
195,0.513
196,0.5125
197,0.512
198,0.511
199,0.5245
200,0.5255
201,0.526
202,0.5255
