num_removed,accuracy
0,0.6815
1,0.68
2,0.679
3,0.679
4,0.681
5,0.68
6,0.6815
7,0.6805
8,0.679
9,0.6775
10,0.68
11,0.682
12,0.6795
13,0.6795
14,0.679
15,0.677
16,0.674
17,0.674
18,0.674
19,0.6755
20,0.676
21,0.6765
22,0.6755
23,0.6755
24,0.6755
25,0.68
26,0.68
27,0.675
28,0.6725
29,0.6765
30,0.676
31,0.6735
32,0.6725
33,0.6725
34,0.6725
35,0.6685
36,0.6695
37,0.6695
38,0.6695
39,0.673
40,0.6735
41,0.6735
42,0.6735
43,0.6745
44,0.674
45,0.674
46,0.673
47,0.6745
48,0.6725
49,0.673
50,0.672
51,0.672
52,0.673
53,0.673
54,0.6735
55,0.6735
56,0.6725
57,0.672
58,0.672
59,0.671
60,0.6715
61,0.672
62,0.6715
63,0.672
64,0.671
65,0.67
66,0.6715
67,0.671
68,0.6725
69,0.6705
70,0.6715
71,0.671
72,0.6735
73,0.673
74,0.674
75,0.6745
76,0.6755
77,0.6745
78,0.674
79,0.6745
80,0.675
81,0.6755
82,0.678
83,0.678
84,0.6775
85,0.678
86,0.6775
87,0.678
88,0.6775
89,0.678
90,0.675
91,0.675
92,0.676
93,0.678
94,0.6775
95,0.6775
96,0.6765
97,0.677
98,0.679
99,0.6795
100,0.683
101,0.6805
102,0.679
103,0.679
104,0.677
105,0.6775
106,0.6795
107,0.679
108,0.678
109,0.678
110,0.6775
111,0.6795
112,0.6795
113,0.681
114,0.6795
115,0.6805
116,0.68
117,0.679
118,0.6805
119,0.68
120,0.68
121,0.6825
122,0.6825
123,0.6815
124,0.683
125,0.6825
126,0.6815
127,0.682
128,0.681
129,0.6805
130,0.6805
131,0.6785
132,0.6805
133,0.6785
134,0.6785
135,0.678
136,0.68
137,0.6805
138,0.6805
139,0.6775
140,0.6785
141,0.675
142,0.6745
143,0.674
144,0.6735
145,0.677
146,0.677
147,0.6775
148,0.68
149,0.68
150,0.6815
151,0.682
152,0.6815
153,0.681
154,0.6825
155,0.6795
156,0.683
157,0.684
158,0.6825
159,0.6825
160,0.6825
161,0.683
162,0.688
163,0.6855
164,0.685
165,0.684
166,0.688
167,0.687
168,0.687
169,0.6875
170,0.6855
171,0.689
172,0.689
173,0.6885
174,0.6905
175,0.6885
176,0.689
177,0.6905
178,0.6895
179,0.6895
180,0.689
181,0.689
182,0.684
183,0.6845
184,0.6855
185,0.688
186,0.689
187,0.686
188,0.6825
189,0.683
190,0.6835
191,0.684
192,0.6855
193,0.686
194,0.6855
195,0.6805
196,0.68
197,0.68
198,0.68
199,0.68
200,0.68
201,0.6805
202,0.6765
203,0.6735
204,0.674
205,0.6725
206,0.674
207,0.6735
208,0.6735
209,0.676
210,0.6745
211,0.6765
212,0.673
213,0.674
214,0.6735
215,0.6735
216,0.6745
217,0.675
218,0.6755
219,0.6755
220,0.6765
221,0.6735
222,0.675
223,0.6745
224,0.6735
225,0.671
226,0.6715
227,0.6645
228,0.663
229,0.6635
230,0.663
231,0.6655
232,0.659
233,0.66
234,0.6615
235,0.6615
236,0.66
237,0.659
238,0.659
239,0.658
240,0.66
241,0.6595
242,0.659
243,0.659
244,0.659
245,0.66
246,0.659
247,0.6575
248,0.6575
249,0.66
250,0.6605
251,0.658
252,0.658
253,0.66
254,0.662
255,0.663
256,0.6625
257,0.658
258,0.657
259,0.6575
260,0.6585
261,0.658
262,0.658
263,0.6545
264,0.6555
265,0.6555
266,0.656
267,0.6565
268,0.6545
269,0.655
270,0.6565
271,0.66
272,0.66
273,0.657
274,0.66
275,0.6595
276,0.659
277,0.6585
278,0.658
279,0.656
280,0.6565
281,0.656
282,0.657
283,0.659
284,0.6585
285,0.6585
286,0.662
287,0.6595
288,0.66
289,0.6635
290,0.663
291,0.6615
292,0.663
293,0.6625
294,0.6635
295,0.661
296,0.6565
297,0.658
298,0.6615
299,0.661
300,0.661
301,0.6615
302,0.658
303,0.659
304,0.659
305,0.654
306,0.654
307,0.644
308,0.649
309,0.649
310,0.647
311,0.648
312,0.6485
313,0.65
314,0.649
315,0.651
316,0.653
317,0.655
318,0.653
319,0.655
320,0.655
321,0.6525
322,0.652
323,0.65
324,0.6465
325,0.6385
326,0.6405
327,0.6465
328,0.645
329,0.6465
330,0.6445
331,0.6445
332,0.645
333,0.6435
334,0.6335
335,0.6315
336,0.6305
337,0.637
338,0.6365
339,0.636
340,0.635
341,0.638
342,0.6405
343,0.64
344,0.6385
345,0.64
346,0.6315
347,0.641
