num_removed,accuracy
0,0.6785
1,0.6785
2,0.6855
3,0.686
4,0.684
5,0.6845
6,0.688
7,0.689
8,0.6875
9,0.6885
10,0.688
11,0.6865
12,0.688
13,0.687
14,0.6845
15,0.686
16,0.6865
17,0.6895
18,0.6895
19,0.6905
20,0.6895
21,0.6875
22,0.6865
23,0.686
24,0.6835
25,0.6845
26,0.6845
27,0.6835
28,0.6835
29,0.684
30,0.684
31,0.683
32,0.679
33,0.6805
34,0.685
35,0.6825
36,0.682
37,0.6805
38,0.681
39,0.679
40,0.6785
41,0.6785
42,0.679
43,0.6805
44,0.6805
45,0.6805
46,0.6805
47,0.6785
48,0.679
49,0.676
50,0.6765
51,0.677
52,0.6795
53,0.682
54,0.681
55,0.678
56,0.6765
57,0.6795
58,0.679
59,0.677
60,0.6765
61,0.676
62,0.6755
63,0.6735
64,0.672
65,0.672
66,0.6705
67,0.67
68,0.673
69,0.6735
70,0.6745
71,0.674
72,0.675
73,0.6735
74,0.6745
75,0.6755
76,0.675
77,0.673
78,0.6755
79,0.676
80,0.675
81,0.676
82,0.6765
83,0.6755
84,0.6715
85,0.672
86,0.6735
87,0.673
88,0.672
89,0.6725
90,0.672
91,0.672
92,0.672
93,0.6715
94,0.671
95,0.6715
96,0.672
97,0.673
98,0.673
99,0.6735
100,0.675
101,0.6745
102,0.675
103,0.675
104,0.6775
105,0.675
106,0.6755
107,0.676
108,0.676
109,0.6745
110,0.6765
111,0.6725
112,0.6715
113,0.676
114,0.674
115,0.674
116,0.6765
117,0.6755
118,0.6755
119,0.673
120,0.676
121,0.6735
122,0.6715
123,0.6705
124,0.6705
125,0.6715
126,0.671
127,0.6705
128,0.669
129,0.6695
130,0.6695
131,0.6695
132,0.669
133,0.67
134,0.6695
135,0.669
136,0.67
137,0.669
138,0.669
139,0.6685
140,0.668
141,0.669
142,0.6685
143,0.6685
144,0.6685
145,0.668
146,0.6685
147,0.6685
148,0.668
149,0.6675
150,0.6675
151,0.6695
152,0.6685
153,0.669
154,0.669
155,0.667
156,0.667
157,0.6665
158,0.6665
159,0.666
160,0.662
161,0.661
162,0.6575
163,0.658
