num_removed,accuracy
0,0.667
1,0.6665
2,0.668
3,0.6655
4,0.666
5,0.664
6,0.6625
7,0.663
8,0.663
9,0.664
10,0.6635
11,0.6635
12,0.6625
13,0.6635
14,0.6625
15,0.6615
16,0.6625
17,0.663
18,0.663
19,0.662
20,0.6625
21,0.662
22,0.6635
23,0.6645
24,0.6645
25,0.6625
26,0.6615
27,0.6625
28,0.6615
29,0.661
30,0.661
31,0.661
32,0.6605
33,0.6605
34,0.662
35,0.66
36,0.6585
37,0.66
38,0.661
39,0.663
40,0.662
41,0.664
42,0.6635
43,0.6655
44,0.6655
45,0.6665
46,0.667
47,0.667
48,0.666
49,0.665
50,0.662
51,0.663
52,0.6585
53,0.659
54,0.6605
55,0.6605
56,0.6605
57,0.6605
58,0.6615
59,0.6635
60,0.665
61,0.6635
62,0.664
63,0.6635
64,0.666
65,0.663
66,0.6635
67,0.6635
68,0.6625
69,0.6615
70,0.66
71,0.6595
72,0.6575
73,0.6565
74,0.6565
75,0.659
76,0.658
77,0.6595
78,0.6585
79,0.6585
80,0.658
81,0.658
82,0.655
83,0.6565
84,0.6575
85,0.6575
86,0.6595
87,0.66
88,0.6585
89,0.6585
90,0.658
91,0.659
92,0.6585
93,0.6585
94,0.6605
95,0.662
96,0.661
97,0.6595
98,0.662
99,0.6615
100,0.661
101,0.661
102,0.6615
103,0.6635
104,0.6635
105,0.6605
106,0.661
107,0.663
108,0.6625
109,0.663
110,0.6685
111,0.6695
112,0.6675
113,0.671
114,0.6705
115,0.6695
116,0.6705
117,0.6705
118,0.6715
119,0.672
120,0.671
121,0.671
122,0.6715
123,0.671
124,0.6705
125,0.674
126,0.677
127,0.6785
128,0.6805
129,0.678
130,0.678
131,0.6795
132,0.6795
133,0.6775
134,0.6775
135,0.6765
136,0.673
137,0.673
138,0.673
139,0.6715
140,0.6715
141,0.6715
142,0.672
143,0.675
144,0.6755
145,0.678
146,0.678
147,0.678
148,0.674
149,0.679
150,0.675
151,0.6755
152,0.6755
153,0.6715
154,0.6725
155,0.6745
156,0.6755
157,0.675
158,0.6755
159,0.672
160,0.67
161,0.674
162,0.673
163,0.6715
164,0.6715
165,0.6715
166,0.6735
167,0.6725
168,0.6725
169,0.6735
170,0.673
171,0.6735
172,0.6745
173,0.674
174,0.676
175,0.6745
176,0.6745
177,0.6765
178,0.6765
179,0.677
180,0.6775
181,0.6805
182,0.6765
183,0.6795
184,0.6805
185,0.6805
186,0.6815
187,0.681
188,0.6785
189,0.679
190,0.6765
191,0.6765
192,0.6765
193,0.68
194,0.682
195,0.6815
196,0.6815
197,0.681
198,0.6845
199,0.6825
200,0.6845
201,0.6855
202,0.6885
203,0.684
204,0.6835
205,0.6855
206,0.688
207,0.68
208,0.684
209,0.6805
210,0.6795
211,0.6785
212,0.68
213,0.679
214,0.678
215,0.678
216,0.6785
217,0.6795
218,0.6785
219,0.678
220,0.6735
221,0.6745
222,0.675
223,0.676
224,0.674
225,0.6765
226,0.6735
227,0.675
228,0.672
229,0.6715
230,0.6745
231,0.672
232,0.6705
233,0.6695
234,0.67
235,0.6695
236,0.6685
237,0.671
238,0.6725
239,0.674
240,0.67
241,0.668
242,0.671
243,0.6725
244,0.6715
245,0.671
246,0.6765
247,0.677
248,0.677
249,0.6765
250,0.676
251,0.676
252,0.6785
253,0.677
254,0.6785
255,0.679
256,0.6745
257,0.675
258,0.675
259,0.6725
260,0.6725
261,0.6725
262,0.6715
263,0.674
264,0.673
265,0.6605
266,0.6585
267,0.66
268,0.661
269,0.66
270,0.659
271,0.659
272,0.6595
273,0.6605
274,0.6605
275,0.6615
276,0.658
277,0.659
278,0.656
279,0.6535
280,0.6535
281,0.6535
282,0.654
283,0.654
284,0.653
285,0.6545
286,0.655
287,0.6555
288,0.6555
289,0.6535
290,0.653
291,0.6465
292,0.65
293,0.6475
294,0.649
295,0.646
296,0.6435
297,0.6385
298,0.637
299,0.637
300,0.639
301,0.643
302,0.643
303,0.643
304,0.6445
305,0.645
306,0.6425
307,0.6435
308,0.644
309,0.643
310,0.644
311,0.6405
312,0.6365
313,0.6405
314,0.64
315,0.6355
316,0.6355
317,0.635
318,0.6375
319,0.6355
320,0.638
321,0.6485
322,0.647
323,0.6415
324,0.6405
325,0.6415
326,0.6405
327,0.644
328,0.6445
329,0.642
330,0.64
331,0.642
332,0.644
333,0.643
334,0.6425
335,0.6445
336,0.6445
337,0.6525
338,0.6505
339,0.65
340,0.651
341,0.6505
342,0.649
343,0.6445
344,0.649
345,0.652
346,0.649
347,0.6435
348,0.6455
349,0.6445
350,0.647
351,0.6295
352,0.6295
353,0.626
354,0.6265
355,0.626
356,0.6255
357,0.6245
358,0.626
359,0.6275
360,0.629
361,0.6275
362,0.628
363,0.627
364,0.631
365,0.6315
366,0.6295
367,0.6295
368,0.632
369,0.6355
370,0.6365
371,0.634
372,0.627
373,0.628
374,0.6245
375,0.6255
376,0.6235
377,0.6235
378,0.6215
379,0.6195
380,0.6195
381,0.619
382,0.6205
