num_removed,accuracy
0,0.683
1,0.682
2,0.682
3,0.6835
4,0.6835
5,0.6845
6,0.6845
7,0.6845
8,0.6855
9,0.685
10,0.6845
11,0.684
12,0.681
13,0.682
14,0.68
15,0.68
16,0.6775
17,0.6785
18,0.6805
19,0.6805
20,0.679
21,0.679
22,0.677
23,0.6765
24,0.6745
25,0.6745
26,0.674
27,0.6745
28,0.6745
29,0.676
30,0.6745
31,0.674
32,0.6735
33,0.675
34,0.678
35,0.6785
36,0.6775
37,0.6765
38,0.6775
39,0.675
40,0.6775
41,0.6785
42,0.6775
43,0.6765
44,0.678
45,0.6785
46,0.679
47,0.6805
48,0.68
49,0.6795
50,0.676
51,0.6765
52,0.6785
53,0.679
54,0.678
55,0.6775
56,0.6765
57,0.6765
58,0.677
59,0.678
60,0.678
61,0.677
62,0.677
63,0.6755
64,0.677
65,0.679
66,0.68
67,0.6835
68,0.682
69,0.681
70,0.6815
71,0.6795
72,0.6805
73,0.68
74,0.6815
75,0.682
76,0.682
77,0.6815
78,0.68
79,0.6805
80,0.6795
81,0.678
82,0.6785
83,0.6785
84,0.6785
85,0.678
86,0.6765
87,0.677
88,0.6785
89,0.678
90,0.678
91,0.678
92,0.677
93,0.677
94,0.6755
95,0.6755
96,0.6745
97,0.677
98,0.6765
99,0.676
100,0.6785
101,0.679
102,0.679
103,0.677
104,0.6775
105,0.679
106,0.679
107,0.679
108,0.679
109,0.6805
110,0.68
111,0.676
112,0.677
113,0.6735
114,0.6725
115,0.6735
116,0.6715
117,0.678
118,0.678
119,0.678
120,0.676
121,0.6775
122,0.6775
123,0.677
124,0.6775
125,0.6765
126,0.6765
127,0.6755
128,0.6765
129,0.677
130,0.6755
131,0.676
132,0.6745
133,0.671
134,0.671
135,0.671
136,0.6705
137,0.668
138,0.6685
139,0.6685
140,0.6675
141,0.6685
142,0.6685
143,0.6675
144,0.668
145,0.668
146,0.668
147,0.6695
148,0.67
149,0.673
150,0.6695
151,0.6715
152,0.67
153,0.6715
154,0.673
155,0.675
156,0.673
157,0.6755
158,0.6665
159,0.667
160,0.667
161,0.6685
162,0.668
163,0.6695
164,0.6695
165,0.668
166,0.6675
167,0.665
168,0.664
169,0.6685
170,0.6685
171,0.6665
172,0.663
173,0.6575
174,0.66
175,0.662
176,0.6605
177,0.661
178,0.659
179,0.66
180,0.6585
181,0.659
182,0.66
183,0.6605
184,0.6565
185,0.6565
186,0.6575
187,0.6575
188,0.658
189,0.659
190,0.659
191,0.6585
192,0.66
193,0.655
194,0.6545
195,0.655
196,0.6595
197,0.6575
198,0.6555
199,0.6555
200,0.654
201,0.6565
202,0.6575
203,0.658
204,0.6545
205,0.6565
206,0.6545
207,0.6545
208,0.654
209,0.6525
210,0.6515
211,0.649
212,0.65
213,0.646
214,0.646
215,0.649
216,0.648
217,0.647
218,0.646
219,0.6505
220,0.646
221,0.645
222,0.6435
223,0.644
224,0.644
225,0.643
226,0.644
227,0.646
228,0.6455
229,0.646
230,0.644
231,0.6445
232,0.648
233,0.649
234,0.6475
235,0.6475
236,0.6475
237,0.6445
238,0.6445
239,0.638
240,0.638
241,0.639
242,0.6385
243,0.6365
244,0.636
245,0.636
246,0.6345
247,0.6345
248,0.637
249,0.637
250,0.637
251,0.6355
252,0.635
253,0.6365
254,0.637
255,0.637
256,0.637
257,0.634
258,0.639
259,0.639
260,0.6405
261,0.6405
262,0.642
263,0.643
264,0.6415
265,0.6345
266,0.6325
267,0.6335
268,0.634
269,0.632
270,0.6335
271,0.63
272,0.6325
273,0.631
274,0.6295
275,0.63
276,0.623
277,0.624
278,0.616
279,0.616
280,0.619
281,0.619
282,0.62
283,0.618
284,0.6215
285,0.621
286,0.6215
287,0.6205
288,0.6165
289,0.6215
290,0.6215
291,0.618
292,0.6185
293,0.6195
294,0.614
295,0.614
296,0.614
297,0.612
298,0.612
299,0.6105
300,0.608
301,0.6135
302,0.6105
303,0.612
304,0.609
305,0.609
306,0.6085
307,0.612
308,0.6125
309,0.6115
310,0.6075
311,0.6105
312,0.6085
313,0.6155
314,0.619
315,0.6175
316,0.6145
317,0.6135
318,0.6105
319,0.6075
320,0.605
321,0.599
322,0.5965
323,0.5965
324,0.5985
325,0.5955
326,0.5955
327,0.5955
328,0.598
329,0.5975
330,0.597
331,0.591
332,0.5945
333,0.596
334,0.591
335,0.591
336,0.5905
337,0.5895
338,0.588
339,0.5865
340,0.5835
341,0.585
342,0.5845
343,0.5825
344,0.5785
345,0.58
346,0.58
347,0.579
348,0.58
349,0.5785
350,0.5795
351,0.579
352,0.58
353,0.5835
354,0.5785
355,0.577
356,0.577
357,0.574
358,0.573
359,0.573
360,0.5675
361,0.5705
362,0.5765
363,0.5755
364,0.566
365,0.5695
366,0.5685
367,0.573
368,0.575
369,0.5735
370,0.572
371,0.5575
372,0.557
373,0.5565
374,0.5565
375,0.5565
376,0.556
377,0.5555
378,0.553
379,0.5505
380,0.546
381,0.557
382,0.5585
383,0.5605
384,0.5585
385,0.5575
386,0.553
387,0.554
388,0.5565
389,0.551
390,0.553
391,0.559
392,0.558
393,0.56
394,0.5525
395,0.555
396,0.555
397,0.5595
398,0.5535
399,0.5495
400,0.5425
401,0.5425
402,0.5405
403,0.543
404,0.5365
405,0.54
406,0.539
407,0.536
408,0.537
409,0.5375
410,0.5355
411,0.529
412,0.5265
413,0.526
414,0.534
415,0.5325
416,0.5295
417,0.529
418,0.529
419,0.529
420,0.53
421,0.529
422,0.529
423,0.5235
424,0.5245
425,0.521
426,0.5175
427,0.519
428,0.516
429,0.511
430,0.5155
431,0.5185
432,0.517
433,0.5215
434,0.522
435,0.5165
436,0.5195
437,0.506
438,0.5165
439,0.5155
440,0.514
441,0.5105
442,0.521
443,0.5085
444,0.515
445,0.518
446,0.5175
447,0.5205
448,0.5175
449,0.5155
450,0.5105
451,0.503
452,0.5
453,0.5255
454,0.524
455,0.525
456,0.524
457,0.5255
458,0.5235
459,0.526
460,0.524
461,0.527
462,0.522
463,0.5235
464,0.5205
465,0.5265
466,0.525
467,0.5265
468,0.528
469,0.533
470,0.5345
471,0.5265
472,0.5275
473,0.528
474,0.537
475,0.538
476,0.538
477,0.536
478,0.528
479,0.524
480,0.502
481,0.4985
482,0.5255
483,0.529
484,0.5105
485,0.498
486,0.4685
487,0.457
488,0.455
489,0.46
490,0.4955
491,0.49
492,0.4815
493,0.4875
494,0.4865
495,0.4905
496,0.5275
497,0.512
498,0.5055
499,0.4875
