num_removed,accuracy
0,0.8915
1,0.891
2,0.891
3,0.891
4,0.891
5,0.891
6,0.891
7,0.891
8,0.891
9,0.891
10,0.891
11,0.891
12,0.891
13,0.891
14,0.8895
15,0.89
16,0.8905
17,0.89
18,0.89
19,0.89
20,0.89
21,0.89
22,0.89
23,0.89
24,0.8905
25,0.89
26,0.8895
27,0.8895
28,0.8895
29,0.8885
30,0.8885
31,0.8885
32,0.889
33,0.889
34,0.8885
35,0.8885
36,0.888
37,0.889
38,0.889
39,0.889
40,0.8885
41,0.888
42,0.8885
43,0.8885
44,0.889
45,0.889
46,0.889
47,0.8885
48,0.889
49,0.889
50,0.889
51,0.8895
52,0.8885
53,0.888
54,0.8885
55,0.8885
56,0.888
57,0.888
58,0.888
59,0.8885
60,0.887
61,0.8865
62,0.8865
63,0.8865
64,0.8865
65,0.887
66,0.887
67,0.887
68,0.886
69,0.886
70,0.887
71,0.8875
72,0.893
73,0.8925
74,0.8925
75,0.8925
76,0.8915
77,0.8915
78,0.8915
79,0.8915
80,0.8915
81,0.8915
82,0.892
83,0.892
84,0.892
85,0.892
86,0.892
87,0.8895
88,0.8895
89,0.8895
90,0.8895
91,0.8895
92,0.89
93,0.889
94,0.889
95,0.889
96,0.889
97,0.889
98,0.8885
99,0.889
100,0.8895
101,0.8885
102,0.889
103,0.888
104,0.889
105,0.889
106,0.8895
107,0.8895
108,0.8895
109,0.89
110,0.8895
111,0.8895
112,0.8895
113,0.8895
114,0.8895
115,0.891
116,0.889
117,0.889
118,0.889
119,0.889
120,0.889
121,0.889
122,0.8885
123,0.889
124,0.889
125,0.889
126,0.8895
127,0.8895
128,0.8895
129,0.8895
130,0.889
131,0.8885
132,0.8885
133,0.8885
134,0.89
135,0.8885
136,0.8885
137,0.889
138,0.889
139,0.8885
140,0.8885
141,0.8885
142,0.887
143,0.887
144,0.887
145,0.887
146,0.887
147,0.887
148,0.8875
149,0.8885
150,0.888
151,0.888
152,0.888
153,0.888
154,0.888
155,0.8875
156,0.888
157,0.887
158,0.8865
159,0.886
160,0.8855
161,0.8855
162,0.8855
163,0.8865
164,0.886
165,0.886
166,0.886
167,0.8855
168,0.884
169,0.884
170,0.8835
171,0.8835
172,0.8835
173,0.883
174,0.884
175,0.8835
176,0.8835
177,0.8835
178,0.8835
179,0.883
180,0.8835
181,0.8845
182,0.8845
183,0.884
184,0.885
185,0.885
186,0.885
187,0.885
188,0.885
189,0.8855
190,0.8855
191,0.885
192,0.884
193,0.884
194,0.884
195,0.884
196,0.884
197,0.885
198,0.8855
199,0.8855
200,0.8855
201,0.8855
202,0.8855
203,0.8855
204,0.8855
205,0.887
206,0.886
207,0.887
208,0.888
209,0.8875
210,0.8875
211,0.8875
212,0.8855
213,0.885
214,0.8845
215,0.8785
216,0.8785
217,0.879
218,0.8775
219,0.8785
220,0.878
221,0.8795
222,0.8775
223,0.878
224,0.878
225,0.878
226,0.8775
227,0.877
228,0.877
229,0.879
230,0.879
231,0.879
232,0.8785
233,0.879
234,0.879
235,0.879
236,0.879
237,0.879
238,0.8795
239,0.8795
240,0.878
241,0.8785
242,0.879
243,0.8785
244,0.8785
245,0.8785
246,0.877
247,0.877
248,0.877
249,0.877
250,0.8765
251,0.8765
252,0.8765
253,0.8745
254,0.8755
255,0.875
256,0.8725
257,0.8725
258,0.8725
259,0.873
260,0.8705
261,0.872
262,0.8715
263,0.871
264,0.8705
265,0.868
266,0.868
267,0.87
268,0.87
269,0.872
270,0.8715
271,0.8715
272,0.871
273,0.8715
274,0.869
275,0.8685
276,0.8675
277,0.865
278,0.865
279,0.8665
280,0.864
281,0.864
282,0.865
283,0.8655
284,0.8625
285,0.861
286,0.8635
287,0.863
288,0.8675
289,0.8665
290,0.8665
291,0.867
292,0.867
293,0.8655
294,0.8685
295,0.8675
296,0.869
297,0.8695
298,0.8685
299,0.869
300,0.87
301,0.8715
302,0.8695
303,0.8695
304,0.8685
305,0.869
306,0.869
307,0.869
308,0.8675
309,0.8675
310,0.863
311,0.8655
312,0.864
313,0.8655
314,0.865
315,0.8645
316,0.8565
317,0.859
318,0.859
319,0.859
320,0.8595
321,0.859
322,0.8585
323,0.8575
324,0.858
325,0.8615
326,0.86
327,0.8615
328,0.861
329,0.8615
330,0.8625
331,0.862
332,0.862
333,0.862
334,0.86
335,0.852
336,0.852
337,0.8525
338,0.8485
339,0.846
340,0.847
341,0.847
342,0.8475
343,0.848
344,0.848
345,0.847
346,0.847
347,0.8475
348,0.8475
349,0.8465
350,0.8465
351,0.846
352,0.846
353,0.846
354,0.846
355,0.846
356,0.8445
357,0.8445
358,0.844
359,0.8445
360,0.8425
361,0.843
362,0.844
363,0.843
364,0.8435
365,0.842
366,0.8415
367,0.8415
368,0.841
369,0.8415
370,0.841
371,0.8415
372,0.8415
373,0.8375
374,0.836
375,0.84
376,0.8415
377,0.8455
378,0.8455
379,0.8485
380,0.8495
381,0.8465
382,0.846
383,0.845
384,0.8415
385,0.8415
386,0.8405
387,0.8415
388,0.8395
389,0.839
390,0.832
391,0.8275
392,0.827
393,0.8295
394,0.8295
395,0.83
396,0.825
397,0.8185
398,0.812
399,0.809
400,0.7975
401,0.798
402,0.799
403,0.798
404,0.799
405,0.798
406,0.796
407,0.7955
408,0.784
409,0.785
410,0.784
411,0.7895
412,0.784
413,0.7855
414,0.7845
415,0.781
416,0.78
417,0.7795
418,0.7795
419,0.7815
420,0.7765
421,0.7775
422,0.7775
423,0.7645
424,0.7655
425,0.765
426,0.707
427,0.708
428,0.7095
429,0.71
430,0.7085
431,0.709
432,0.702
433,0.7045
434,0.6915
435,0.69
436,0.6855
437,0.6835
438,0.6815
439,0.684
440,0.6865
441,0.682
442,0.6535
443,0.6565
444,0.6555
445,0.6535
446,0.6145
447,0.616
448,0.6055
449,0.6065
450,0.614
451,0.6025
452,0.6035
453,0.6365
454,0.6235
455,0.627
456,0.6255
457,0.6185
458,0.636
459,0.6265
460,0.5975
461,0.596
462,0.651
463,0.632
464,0.5775
465,0.5355
466,0.538
467,0.55
468,0.5455
469,0.5245
470,0.52
471,0.5215
472,0.527
473,0.5305
474,0.5195
475,0.517
476,0.5245
477,0.5125
478,0.471
479,0.4735
480,0.455
481,0.4655
482,0.4635
483,0.4725
484,0.492
485,0.4835
486,0.4745
487,0.459
488,0.448
489,0.42
490,0.4325
491,0.476
492,0.2815
493,0.3305
494,0.5325
495,0.5325
496,0.5325
497,0.5325
498,0.5325
499,0.5325
