num_removed,accuracy
0,0.8915
1,0.891
2,0.893
3,0.894
4,0.8955
5,0.8935
6,0.8925
7,0.893
8,0.894
9,0.894
10,0.894
11,0.8935
12,0.893
13,0.8945
14,0.894
15,0.893
16,0.8935
17,0.8935
18,0.8925
19,0.8925
20,0.892
21,0.8925
22,0.892
23,0.8935
24,0.893
25,0.893
26,0.8945
27,0.896
28,0.8955
29,0.8975
30,0.8975
31,0.898
32,0.898
33,0.898
34,0.898
35,0.898
36,0.8975
37,0.8975
38,0.897
39,0.898
40,0.8995
41,0.8995
42,0.8985
43,0.8955
44,0.8955
45,0.896
46,0.8965
47,0.897
48,0.8945
49,0.897
50,0.897
51,0.896
52,0.8965
53,0.8965
54,0.8965
55,0.8965
56,0.8965
57,0.8965
58,0.8955
59,0.8955
60,0.8955
61,0.8955
62,0.895
63,0.895
64,0.895
65,0.895
66,0.8955
67,0.8915
68,0.8915
69,0.8905
70,0.891
71,0.8915
72,0.892
73,0.8915
74,0.892
75,0.892
76,0.892
77,0.892
78,0.892
79,0.892
80,0.8915
81,0.8915
82,0.892
83,0.8925
84,0.892
85,0.89
86,0.891
87,0.8905
88,0.8895
89,0.8905
90,0.8895
91,0.8895
92,0.89
93,0.8905
94,0.89
95,0.8885
96,0.889
97,0.889
98,0.889
99,0.889
100,0.889
101,0.8885
102,0.8885
103,0.8885
104,0.89
105,0.89
106,0.89
107,0.8895
108,0.8895
109,0.89
110,0.891
111,0.8915
112,0.891
113,0.891
114,0.891
115,0.891
116,0.891
117,0.891
118,0.8915
119,0.8915
120,0.8915
121,0.8915
122,0.8915
123,0.888
124,0.889
125,0.889
126,0.8925
127,0.8925
128,0.89
129,0.8915
130,0.892
131,0.892
132,0.892
133,0.892
134,0.892
135,0.892
136,0.892
137,0.892
138,0.893
139,0.893
140,0.893
141,0.893
142,0.893
143,0.893
144,0.893
145,0.8935
146,0.8935
147,0.8935
148,0.8935
149,0.892
150,0.891
151,0.892
152,0.892
153,0.892
154,0.891
155,0.891
156,0.891
157,0.8905
158,0.8905
159,0.8905
160,0.8905
161,0.892
162,0.8915
163,0.8915
164,0.8915
165,0.8915
166,0.89
167,0.8905
168,0.891
169,0.891
170,0.891
171,0.891
172,0.89
173,0.89
174,0.89
175,0.891
176,0.894
177,0.894
178,0.8935
179,0.894
180,0.894
181,0.894
182,0.894
183,0.8945
184,0.892
185,0.892
186,0.8905
187,0.8905
188,0.891
189,0.892
190,0.892
191,0.892
192,0.891
193,0.8895
194,0.8905
195,0.8905
196,0.8905
197,0.8905
198,0.891
199,0.8905
200,0.8885
201,0.8895
202,0.89
203,0.891
204,0.893
205,0.8915
206,0.8915
207,0.889
208,0.8895
209,0.889
210,0.8905
211,0.8905
212,0.8895
213,0.889
214,0.889
215,0.889
216,0.8895
217,0.8895
218,0.8895
219,0.8895
220,0.89
221,0.8915
222,0.8915
223,0.892
224,0.892
225,0.892
226,0.8915
227,0.8905
228,0.8905
229,0.89
230,0.8895
231,0.889
232,0.889
233,0.8885
234,0.888
235,0.888
236,0.8875
237,0.888
238,0.8885
239,0.8885
240,0.888
241,0.8895
242,0.889
243,0.889
244,0.889
245,0.8875
246,0.8885
247,0.8875
248,0.889
249,0.889
250,0.889
251,0.889
252,0.889
253,0.889
254,0.889
255,0.886
256,0.887
257,0.887
258,0.8875
259,0.8875
260,0.8875
261,0.888
262,0.888
263,0.888
264,0.888
265,0.888
266,0.888
267,0.889
268,0.8855
269,0.882
270,0.8825
271,0.883
272,0.882
273,0.882
274,0.8825
275,0.8825
276,0.883
277,0.883
278,0.8835
279,0.883
280,0.883
281,0.884
282,0.884
283,0.8795
284,0.8835
285,0.8835
286,0.882
287,0.882
288,0.8815
289,0.881
290,0.8815
291,0.8815
292,0.8815
293,0.8815
294,0.8815
295,0.8815
296,0.886
297,0.886
298,0.8855
299,0.885
300,0.8855
301,0.886
302,0.886
303,0.8845
304,0.8845
305,0.8845
306,0.8845
307,0.8845
308,0.8845
309,0.885
310,0.885
311,0.8845
312,0.884
313,0.8845
314,0.8845
315,0.8845
316,0.885
317,0.885
318,0.885
319,0.8855
320,0.8835
321,0.8835
322,0.8835
323,0.8835
324,0.883
325,0.8835
326,0.884
327,0.8845
328,0.8845
329,0.8845
330,0.8845
331,0.8845
332,0.885
333,0.8895
334,0.8885
335,0.888
336,0.888
337,0.888
338,0.8875
339,0.887
340,0.889
341,0.8885
342,0.889
343,0.889
344,0.888
345,0.8875
346,0.887
347,0.8865
348,0.8885
349,0.888
350,0.8875
351,0.888
352,0.8875
353,0.8875
354,0.8875
355,0.8865
356,0.8865
357,0.887
358,0.8865
359,0.885
360,0.885
361,0.8845
362,0.8845
363,0.885
364,0.8845
365,0.885
366,0.886
367,0.8875
368,0.8875
369,0.8875
370,0.8875
371,0.8855
372,0.8865
373,0.8855
374,0.8875
375,0.886
376,0.8875
377,0.888
378,0.889
379,0.8865
380,0.8875
381,0.887
382,0.8875
383,0.887
384,0.8885
385,0.8915
386,0.8905
387,0.8905
388,0.8915
389,0.891
390,0.891
391,0.891
392,0.891
393,0.891
394,0.8905
395,0.891
396,0.891
397,0.8905
398,0.8795
399,0.88
400,0.8805
401,0.88
402,0.8795
403,0.8795
404,0.8805
405,0.8785
406,0.8795
407,0.8795
408,0.8805
409,0.88
410,0.8805
411,0.879
412,0.879
413,0.8775
414,0.88
415,0.88
416,0.881
417,0.8825
418,0.8815
419,0.879
420,0.8825
421,0.8825
422,0.882
423,0.882
424,0.8815
425,0.881
426,0.879
427,0.8795
428,0.8805
429,0.8815
430,0.8805
431,0.8805
432,0.8805
433,0.8795
434,0.8815
435,0.88
436,0.88
437,0.883
438,0.8835
439,0.882
440,0.8815
441,0.8815
442,0.881
443,0.881
444,0.881
445,0.8805
446,0.8775
447,0.8785
448,0.8775
449,0.8775
450,0.879
451,0.883
452,0.882
453,0.884
454,0.884
455,0.881
456,0.881
457,0.8815
458,0.8755
459,0.8775
460,0.877
461,0.876
462,0.8775
463,0.8745
464,0.8725
465,0.8675
466,0.8655
467,0.867
468,0.8665
469,0.867
470,0.872
471,0.8745
472,0.8725
473,0.8715
474,0.87
475,0.8665
476,0.865
477,0.864
478,0.864
479,0.851
480,0.85
481,0.851
482,0.8505
483,0.848
484,0.8445
485,0.855
486,0.855
487,0.8545
488,0.8575
489,0.857
490,0.8605
491,0.846
492,0.8265
493,0.8435
494,0.856
495,0.8635
496,0.861
497,0.855
498,0.5325
499,0.5325
