num_removed,accuracy
0,0.8915
1,0.893
2,0.8935
3,0.8935
4,0.8955
5,0.8935
6,0.896
7,0.896
8,0.8965
9,0.894
10,0.8935
11,0.895
12,0.895
13,0.895
14,0.8955
15,0.896
16,0.896
17,0.8945
18,0.8945
19,0.8955
20,0.895
21,0.895
22,0.8955
23,0.8955
24,0.8955
25,0.895
26,0.8945
27,0.895
28,0.895
29,0.8955
30,0.895
31,0.895
32,0.895
33,0.895
34,0.8955
35,0.895
36,0.895
37,0.895
38,0.895
39,0.895
40,0.895
41,0.895
42,0.895
43,0.895
44,0.895
45,0.895
46,0.895
47,0.8955
48,0.8955
49,0.8955
50,0.8955
51,0.8955
52,0.8955
53,0.8955
54,0.8955
55,0.8955
56,0.8955
57,0.8955
58,0.8955
59,0.8955
60,0.8955
61,0.8955
62,0.896
63,0.8955
64,0.8955
65,0.8955
66,0.8955
67,0.8955
68,0.896
69,0.8955
70,0.8955
71,0.8955
72,0.8955
73,0.895
74,0.8955
75,0.8975
76,0.8975
77,0.8975
78,0.8975
79,0.8975
80,0.8975
81,0.897
82,0.897
83,0.897
84,0.896
85,0.896
86,0.896
87,0.896
88,0.896
89,0.895
90,0.895
91,0.895
92,0.895
93,0.895
94,0.895
95,0.895
96,0.895
97,0.8955
98,0.895
99,0.895
100,0.895
101,0.895
102,0.895
103,0.895
104,0.895
105,0.895
106,0.895
107,0.895
108,0.8945
109,0.8945
110,0.8945
111,0.8945
112,0.893
113,0.8955
114,0.8955
115,0.8955
116,0.895
117,0.8945
118,0.8945
119,0.8945
120,0.8945
121,0.8945
122,0.895
123,0.895
124,0.895
125,0.895
126,0.895
127,0.895
128,0.895
129,0.895
130,0.895
131,0.895
132,0.895
133,0.895
134,0.895
135,0.895
136,0.895
137,0.895
138,0.895
139,0.895
140,0.895
141,0.895
142,0.8945
143,0.8945
144,0.8945
145,0.8945
146,0.8945
147,0.894
148,0.894
149,0.8935
150,0.8935
151,0.8935
152,0.8935
153,0.8935
154,0.8935
155,0.8935
156,0.894
157,0.894
158,0.894
159,0.894
160,0.894
161,0.8935
162,0.8935
163,0.8935
164,0.894
165,0.8945
166,0.895
167,0.894
168,0.8945
169,0.8945
170,0.8945
171,0.8945
172,0.8945
173,0.8945
174,0.895
175,0.895
176,0.895
177,0.895
178,0.8945
179,0.8945
180,0.8945
181,0.8945
182,0.8945
183,0.8945
184,0.894
185,0.894
186,0.894
187,0.894
188,0.894
189,0.894
190,0.894
191,0.894
192,0.894
193,0.893
194,0.8935
195,0.8935
196,0.8935
197,0.8935
198,0.893
199,0.893
200,0.8935
201,0.893
202,0.893
203,0.893
204,0.8925
205,0.893
206,0.8935
207,0.892
208,0.8915
209,0.8915
210,0.8915
211,0.8915
212,0.8915
213,0.8915
214,0.892
215,0.893
216,0.891
217,0.8925
218,0.8925
219,0.8925
220,0.893
221,0.893
222,0.8905
223,0.8915
224,0.8915
225,0.8915
226,0.8915
227,0.891
228,0.891
229,0.891
230,0.8915
231,0.8915
232,0.8915
233,0.892
234,0.892
235,0.892
236,0.892
237,0.8925
238,0.8925
239,0.8925
240,0.891
241,0.8915
242,0.8915
243,0.8915
244,0.892
245,0.891
246,0.892
247,0.8915
248,0.8915
249,0.891
250,0.8915
251,0.892
252,0.8915
253,0.8915
254,0.8925
255,0.8925
256,0.8925
257,0.8925
258,0.8925
259,0.893
260,0.893
261,0.8915
262,0.892
263,0.892
264,0.892
265,0.8925
266,0.891
267,0.8905
268,0.891
269,0.89
270,0.89
271,0.89
272,0.89
273,0.89
274,0.89
275,0.89
276,0.89
277,0.89
278,0.89
279,0.89
280,0.89
281,0.8905
282,0.8905
283,0.891
284,0.891
285,0.8905
286,0.8935
287,0.893
288,0.8925
289,0.8925
290,0.892
291,0.8925
292,0.892
293,0.892
294,0.8915
295,0.8915
296,0.892
297,0.8925
298,0.893
299,0.893
300,0.893
301,0.893
302,0.8925
303,0.893
304,0.893
305,0.893
306,0.893
307,0.893
308,0.893
309,0.893
310,0.892
311,0.892
312,0.8935
313,0.891
314,0.8915
315,0.8925
316,0.892
317,0.892
318,0.892
319,0.892
320,0.8915
321,0.891
322,0.891
323,0.891
324,0.8885
325,0.8885
326,0.889
327,0.889
328,0.889
329,0.8895
330,0.8895
331,0.889
332,0.889
333,0.889
334,0.8875
335,0.8855
336,0.8865
337,0.8865
338,0.8865
339,0.8865
340,0.8865
341,0.8865
342,0.8865
343,0.886
344,0.8885
345,0.888
346,0.8875
347,0.8885
348,0.8885
349,0.889
350,0.889
351,0.889
352,0.8885
353,0.889
354,0.8885
355,0.888
356,0.889
357,0.8885
358,0.892
359,0.892
360,0.892
361,0.889
362,0.889
363,0.889
364,0.89
365,0.889
366,0.888
367,0.8885
368,0.888
369,0.8875
370,0.886
371,0.885
372,0.885
373,0.8855
374,0.8855
375,0.886
376,0.8825
377,0.8835
378,0.8835
379,0.883
380,0.8835
381,0.8835
382,0.883
383,0.8835
384,0.877
385,0.8775
386,0.877
387,0.878
388,0.878
389,0.88
390,0.879
391,0.8785
392,0.874
393,0.8795
394,0.8785
395,0.879
396,0.8785
397,0.8785
398,0.8785
399,0.8745
400,0.8745
401,0.8745
402,0.8745
403,0.875
404,0.8775
405,0.877
406,0.876
407,0.877
408,0.8775
409,0.8775
410,0.8775
411,0.878
412,0.8785
413,0.8795
414,0.88
415,0.879
416,0.877
417,0.876
418,0.8795
419,0.878
420,0.879
421,0.8735
422,0.872
423,0.872
424,0.8715
425,0.871
426,0.869
427,0.8695
428,0.8645
429,0.866
430,0.8655
431,0.8655
432,0.866
433,0.865
434,0.863
435,0.8605
436,0.8585
437,0.852
438,0.852
439,0.852
440,0.855
441,0.812
442,0.802
443,0.8025
444,0.8025
445,0.8055
446,0.803
447,0.806
448,0.802
449,0.8015
450,0.8
451,0.801
452,0.8325
453,0.812
454,0.8185
455,0.8265
456,0.761
457,0.7565
458,0.775
459,0.7775
460,0.7745
461,0.78
462,0.759
463,0.541
464,0.534
465,0.533
466,0.5325
467,0.5325
468,0.5325
469,0.5325
470,0.5325
471,0.5325
472,0.5325
473,0.5325
474,0.5325
475,0.5325
476,0.5325
477,0.5325
478,0.5325
479,0.5325
480,0.5325
481,0.5325
482,0.5325
483,0.5325
484,0.5325
485,0.5325
486,0.5325
487,0.5325
488,0.5325
489,0.5325
490,0.5325
491,0.5325
492,0.5325
493,0.5325
494,0.5325
495,0.5325
496,0.5325
497,0.5325
498,0.5325
499,0.5325
