num_removed,accuracy
0,0.896
1,0.896
2,0.8965
3,0.8965
4,0.8965
5,0.8965
6,0.8965
7,0.8965
8,0.8965
9,0.8965
10,0.898
11,0.898
12,0.898
13,0.898
14,0.898
15,0.8975
16,0.8975
17,0.8975
18,0.8965
19,0.8965
20,0.897
21,0.898
22,0.8975
23,0.897
24,0.897
25,0.8965
26,0.896
27,0.896
28,0.8955
29,0.8955
30,0.8955
31,0.8955
32,0.8955
33,0.8955
34,0.8955
35,0.8955
36,0.8965
37,0.895
38,0.895
39,0.8945
40,0.8945
41,0.895
42,0.8935
43,0.8945
44,0.8945
45,0.8945
46,0.8945
47,0.8945
48,0.8945
49,0.8945
50,0.894
51,0.894
52,0.895
53,0.895
54,0.895
55,0.895
56,0.895
57,0.8945
58,0.8945
59,0.8945
60,0.8945
61,0.895
62,0.895
63,0.894
64,0.8965
65,0.8955
66,0.8945
67,0.8945
68,0.897
69,0.897
70,0.8985
71,0.8985
72,0.8985
73,0.8985
74,0.8985
75,0.8985
76,0.899
77,0.899
78,0.8975
79,0.899
80,0.8995
81,0.8995
82,0.9
83,0.9
84,0.9
85,0.9
86,0.9
87,0.899
88,0.899
89,0.8985
90,0.8985
91,0.8985
92,0.8985
93,0.9
94,0.9
95,0.9
96,0.898
97,0.8945
98,0.895
99,0.895
100,0.895
101,0.895
102,0.895
103,0.8945
104,0.8945
105,0.8945
106,0.8935
107,0.894
108,0.893
109,0.893
110,0.893
111,0.893
112,0.892
113,0.892
114,0.892
115,0.8925
116,0.8925
117,0.8925
118,0.8945
119,0.8945
120,0.8945
121,0.8955
122,0.895
123,0.8955
124,0.8945
125,0.894
126,0.897
127,0.8975
128,0.896
129,0.896
130,0.8975
131,0.897
132,0.8975
133,0.897
134,0.8975
135,0.8975
136,0.8975
137,0.899
138,0.899
139,0.899
140,0.8985
141,0.8985
142,0.8985
143,0.899
144,0.8995
145,0.9
146,0.8995
147,0.8995
148,0.899
149,0.9
150,0.899
151,0.899
152,0.899
153,0.899
154,0.8985
155,0.8985
156,0.898
157,0.898
158,0.899
159,0.8995
160,0.8995
161,0.899
162,0.8995
163,0.8995
164,0.8995
165,0.8995
166,0.8995
167,0.8995
168,0.8995
169,0.8995
170,0.8995
171,0.8995
172,0.895
173,0.8945
174,0.8945
175,0.8945
176,0.8945
177,0.8945
178,0.895
179,0.895
180,0.895
181,0.8955
182,0.896
183,0.896
184,0.8965
185,0.897
186,0.897
187,0.896
188,0.8995
189,0.8995
190,0.9
191,0.8995
192,0.901
193,0.901
194,0.901
195,0.9005
196,0.9005
197,0.9005
198,0.9005
199,0.9005
200,0.8995
201,0.9
202,0.8995
203,0.8995
204,0.9015
205,0.9015
206,0.9015
207,0.9015
208,0.9015
209,0.9015
210,0.901
211,0.9005
212,0.901
213,0.901
214,0.9015
215,0.9015
216,0.8995
217,0.8995
218,0.9005
219,0.9005
220,0.8985
221,0.9015
222,0.901
223,0.9005
224,0.9
225,0.901
226,0.901
227,0.9015
228,0.9015
229,0.902
230,0.902
231,0.902
232,0.9005
233,0.9005
234,0.9005
235,0.901
236,0.9015
237,0.901
238,0.9005
239,0.9005
240,0.9005
241,0.9005
242,0.901
243,0.901
244,0.9005
245,0.9
246,0.9005
247,0.899
248,0.8985
249,0.8995
250,0.899
251,0.8995
252,0.9
253,0.8995
254,0.9
255,0.9
256,0.8995
257,0.9005
258,0.9015
259,0.9005
260,0.9015
261,0.9015
262,0.9015
263,0.901
264,0.9015
265,0.902
266,0.9025
267,0.9025
268,0.902
269,0.9025
270,0.901
271,0.9015
272,0.901
273,0.9015
274,0.9015
275,0.899
276,0.8995
277,0.9
278,0.894
279,0.894
280,0.894
281,0.8975
282,0.898
283,0.8965
284,0.8965
285,0.8965
286,0.8965
287,0.895
288,0.8955
289,0.8955
290,0.895
291,0.8955
292,0.8955
293,0.896
294,0.894
295,0.894
296,0.894
297,0.8945
298,0.8945
299,0.8935
300,0.8945
301,0.8945
302,0.8945
303,0.8945
304,0.8945
305,0.894
306,0.895
307,0.8945
308,0.895
309,0.891
310,0.891
311,0.8905
312,0.891
313,0.8915
314,0.8905
315,0.891
316,0.891
317,0.8895
318,0.89
319,0.8895
320,0.889
321,0.889
322,0.8895
323,0.8905
324,0.8915
325,0.8915
326,0.894
327,0.894
328,0.895
329,0.8945
330,0.8945
331,0.8945
332,0.894
333,0.8935
334,0.894
335,0.894
336,0.892
337,0.892
338,0.8915
339,0.8915
340,0.8945
341,0.8955
342,0.895
343,0.8955
344,0.8955
345,0.8955
346,0.8955
347,0.8945
348,0.8945
349,0.894
350,0.886
351,0.886
352,0.8845
353,0.886
354,0.8855
355,0.884
356,0.8805
357,0.881
358,0.883
359,0.882
360,0.8825
361,0.8825
362,0.8825
363,0.881
364,0.881
365,0.8785
366,0.879
367,0.878
368,0.8815
369,0.882
370,0.8745
371,0.875
372,0.875
373,0.875
374,0.8745
375,0.8745
376,0.875
377,0.875
378,0.8755
379,0.875
380,0.874
381,0.8705
382,0.869
383,0.868
384,0.868
385,0.8695
386,0.8695
387,0.8695
388,0.8695
389,0.8705
390,0.869
391,0.872
392,0.8715
393,0.8665
394,0.8635
395,0.863
396,0.8635
397,0.8635
398,0.8635
399,0.863
400,0.862
401,0.8645
402,0.862
403,0.8635
404,0.864
405,0.865
406,0.865
407,0.865
408,0.8655
409,0.8655
410,0.8655
411,0.862
412,0.865
413,0.8665
414,0.867
415,0.866
416,0.863
417,0.865
418,0.867
419,0.868
420,0.8685
421,0.868
422,0.868
423,0.869
424,0.8715
425,0.871
426,0.871
427,0.869
428,0.867
429,0.8675
430,0.869
431,0.868
432,0.867
433,0.87
434,0.87
435,0.871
436,0.87
437,0.8705
438,0.8705
439,0.872
440,0.873
441,0.871
442,0.8705
443,0.8695
444,0.87
445,0.8705
446,0.8705
447,0.87
448,0.872
449,0.8715
450,0.871
451,0.8725
452,0.8705
453,0.8755
454,0.8735
455,0.8715
456,0.871
457,0.874
458,0.873
459,0.874
460,0.871
461,0.871
462,0.871
463,0.871
464,0.873
465,0.8755
466,0.873
467,0.8735
468,0.8745
469,0.873
470,0.871
471,0.87
472,0.8695
473,0.8685
474,0.8715
475,0.8695
476,0.854
477,0.8525
478,0.852
479,0.856
480,0.8545
481,0.832
482,0.8445
483,0.847
484,0.8385
485,0.8495
486,0.838
487,0.7995
488,0.7685
489,0.7735
490,0.7645
491,0.771
492,0.745
493,0.748
494,0.7275
495,0.742
496,0.569
497,0.5325
498,0.5325
499,0.5325
