num_removed,accuracy
0,0.8915
1,0.893
2,0.893
3,0.892
4,0.8925
5,0.8905
6,0.891
7,0.8885
8,0.8885
9,0.888
10,0.888
11,0.8905
12,0.89
13,0.8905
14,0.8905
15,0.8905
16,0.8905
17,0.8905
18,0.8905
19,0.8905
20,0.8905
21,0.8915
22,0.8915
23,0.891
24,0.891
25,0.891
26,0.891
27,0.8905
28,0.8895
29,0.8895
30,0.8895
31,0.8895
32,0.8895
33,0.8895
34,0.8895
35,0.8895
36,0.889
37,0.889
38,0.889
39,0.889
40,0.889
41,0.8895
42,0.8885
43,0.8885
44,0.888
45,0.889
46,0.888
47,0.888
48,0.888
49,0.888
50,0.888
51,0.888
52,0.888
53,0.8885
54,0.887
55,0.8865
56,0.8865
57,0.887
58,0.887
59,0.887
60,0.888
61,0.888
62,0.888
63,0.888
64,0.8885
65,0.8885
66,0.8885
67,0.8885
68,0.888
69,0.8885
70,0.888
71,0.888
72,0.8875
73,0.8875
74,0.8885
75,0.889
76,0.889
77,0.8885
78,0.887
79,0.887
80,0.887
81,0.8875
82,0.887
83,0.887
84,0.887
85,0.887
86,0.887
87,0.888
88,0.888
89,0.888
90,0.888
91,0.887
92,0.887
93,0.887
94,0.889
95,0.889
96,0.8845
97,0.8845
98,0.884
99,0.884
100,0.8845
101,0.8845
102,0.885
103,0.8845
104,0.884
105,0.884
106,0.882
107,0.882
108,0.8825
109,0.882
110,0.883
111,0.883
112,0.8895
113,0.8895
114,0.8885
115,0.888
116,0.888
117,0.887
118,0.888
119,0.8885
120,0.888
121,0.8895
122,0.889
123,0.889
124,0.89
125,0.8895
126,0.889
127,0.889
128,0.8885
129,0.8885
130,0.89
131,0.8895
132,0.8885
133,0.888
134,0.8875
135,0.8875
136,0.8895
137,0.8895
138,0.8875
139,0.885
140,0.8845
141,0.8845
142,0.8845
143,0.8845
144,0.884
145,0.884
146,0.885
147,0.885
148,0.885
149,0.885
150,0.885
151,0.885
152,0.885
153,0.8845
154,0.8845
155,0.8855
156,0.8855
157,0.8855
158,0.8855
159,0.886
160,0.885
161,0.8855
162,0.8875
163,0.8875
164,0.887
165,0.8855
166,0.8855
167,0.8855
168,0.8855
169,0.8855
170,0.8855
171,0.8855
172,0.8855
173,0.8855
174,0.8855
175,0.8855
176,0.885
177,0.885
178,0.885
179,0.886
180,0.886
181,0.887
182,0.8875
183,0.8875
184,0.8875
185,0.8875
186,0.8875
187,0.888
188,0.887
189,0.8875
190,0.8875
191,0.8875
192,0.8875
193,0.8885
194,0.8875
195,0.8875
196,0.8875
197,0.8885
198,0.8895
199,0.8895
200,0.8895
201,0.8885
202,0.8885
203,0.8885
204,0.8885
205,0.8885
206,0.8905
207,0.8905
208,0.8905
209,0.8905
210,0.8905
211,0.8905
212,0.89
213,0.8905
214,0.8905
215,0.888
216,0.8885
217,0.888
218,0.8875
219,0.887
220,0.887
221,0.886
222,0.882
223,0.882
224,0.882
225,0.882
226,0.882
227,0.884
228,0.884
229,0.8835
230,0.884
231,0.885
232,0.885
233,0.885
234,0.885
235,0.8845
236,0.882
237,0.883
238,0.884
239,0.884
240,0.8835
241,0.884
242,0.884
243,0.8835
244,0.884
245,0.8835
246,0.884
247,0.884
248,0.885
249,0.885
250,0.885
251,0.885
252,0.885
253,0.885
254,0.885
255,0.885
256,0.885
257,0.8845
258,0.885
259,0.8855
260,0.885
261,0.8845
262,0.885
263,0.8845
264,0.8845
265,0.885
266,0.885
267,0.884
268,0.8845
269,0.8845
270,0.8855
271,0.885
272,0.885
273,0.885
274,0.88
275,0.8805
276,0.8795
277,0.8795
278,0.8795
279,0.88
280,0.8785
281,0.8775
282,0.8775
283,0.878
284,0.878
285,0.8785
286,0.8775
287,0.8775
288,0.878
289,0.878
290,0.8775
291,0.8775
292,0.88
293,0.88
294,0.88
295,0.8795
296,0.8795
297,0.8795
298,0.879
299,0.879
300,0.879
301,0.8775
302,0.8755
303,0.8755
304,0.8755
305,0.875
306,0.875
307,0.879
308,0.879
309,0.879
310,0.8785
311,0.879
312,0.88
313,0.8785
314,0.881
315,0.879
316,0.8795
317,0.88
318,0.8795
319,0.8795
320,0.8795
321,0.8805
322,0.8785
323,0.8785
324,0.8775
325,0.878
326,0.8785
327,0.8805
328,0.88
329,0.879
330,0.879
331,0.8805
332,0.879
333,0.879
334,0.8785
335,0.8745
336,0.874
337,0.8735
338,0.8735
339,0.8725
340,0.8715
341,0.872
342,0.872
343,0.8715
344,0.8715
345,0.872
346,0.871
347,0.8705
348,0.873
349,0.873
350,0.8715
351,0.8715
352,0.871
353,0.87
354,0.8675
355,0.8685
356,0.869
357,0.8695
358,0.87
359,0.8695
360,0.87
361,0.87
362,0.8705
363,0.869
364,0.8685
365,0.868
366,0.87
367,0.8695
368,0.872
369,0.8715
370,0.8715
371,0.8715
372,0.8715
373,0.871
374,0.8705
375,0.8695
376,0.8715
377,0.8715
378,0.872
379,0.8695
380,0.871
381,0.8755
382,0.8715
383,0.872
384,0.8725
385,0.874
386,0.874
387,0.874
388,0.873
389,0.8725
390,0.874
391,0.873
392,0.874
393,0.874
394,0.8735
395,0.873
396,0.8735
397,0.875
398,0.877
399,0.8765
400,0.8765
401,0.878
402,0.8885
403,0.887
404,0.886
405,0.886
406,0.8865
407,0.887
408,0.888
409,0.8885
410,0.8885
411,0.888
412,0.8885
413,0.8805
414,0.884
415,0.8855
416,0.884
417,0.8855
418,0.889
419,0.8895
420,0.8905
421,0.8905
422,0.891
423,0.883
424,0.884
425,0.883
426,0.8765
427,0.876
428,0.8755
429,0.8765
430,0.8725
431,0.873
432,0.8735
433,0.879
434,0.878
435,0.8775
436,0.8775
437,0.8745
438,0.8775
439,0.878
440,0.8765
441,0.875
442,0.8695
443,0.872
444,0.8775
445,0.877
446,0.884
447,0.881
448,0.8835
449,0.8785
450,0.8765
451,0.8765
452,0.882
453,0.8835
454,0.885
455,0.881
456,0.881
457,0.8805
458,0.8785
459,0.879
460,0.8775
461,0.88
462,0.8835
463,0.883
464,0.8835
465,0.884
466,0.8875
467,0.887
468,0.879
469,0.8785
470,0.879
471,0.8715
472,0.869
473,0.8675
474,0.872
475,0.87
476,0.8665
477,0.8615
478,0.8625
479,0.869
480,0.851
481,0.85
482,0.864
483,0.835
484,0.8275
485,0.8265
486,0.818
487,0.7845
488,0.814
489,0.8005
490,0.815
491,0.832
492,0.838
493,0.8275
494,0.8135
495,0.794
496,0.7765
497,0.7545
498,0.6695
499,0.5325
