num_removed,accuracy
0,0.896
1,0.896
2,0.896
3,0.896
4,0.896
5,0.896
6,0.896
7,0.896
8,0.896
9,0.896
10,0.8965
11,0.8965
12,0.897
13,0.898
14,0.897
15,0.8985
16,0.899
17,0.899
18,0.898
19,0.896
20,0.896
21,0.897
22,0.895
23,0.895
24,0.8955
25,0.8955
26,0.8955
27,0.8955
28,0.8955
29,0.895
30,0.895
31,0.895
32,0.895
33,0.895
34,0.8955
35,0.895
36,0.895
37,0.895
38,0.895
39,0.895
40,0.895
41,0.895
42,0.894
43,0.894
44,0.8935
45,0.8935
46,0.893
47,0.893
48,0.893
49,0.893
50,0.893
51,0.893
52,0.893
53,0.893
54,0.8935
55,0.8935
56,0.893
57,0.893
58,0.8935
59,0.8935
60,0.8935
61,0.8935
62,0.893
63,0.893
64,0.893
65,0.892
66,0.892
67,0.8935
68,0.893
69,0.8925
70,0.8925
71,0.893
72,0.8935
73,0.8935
74,0.8935
75,0.893
76,0.893
77,0.8945
78,0.8945
79,0.8945
80,0.895
81,0.894
82,0.893
83,0.8945
84,0.8935
85,0.8935
86,0.8935
87,0.8945
88,0.8945
89,0.8945
90,0.8945
91,0.8945
92,0.8945
93,0.8925
94,0.8925
95,0.8925
96,0.8915
97,0.8915
98,0.8925
99,0.8925
100,0.892
101,0.892
102,0.892
103,0.892
104,0.892
105,0.893
106,0.893
107,0.8925
108,0.892
109,0.892
110,0.892
111,0.892
112,0.892
113,0.892
114,0.892
115,0.892
116,0.892
117,0.892
118,0.892
119,0.892
120,0.892
121,0.892
122,0.892
123,0.892
124,0.892
125,0.892
126,0.8915
127,0.8915
128,0.8915
129,0.892
130,0.892
131,0.8915
132,0.892
133,0.8915
134,0.892
135,0.893
136,0.8945
137,0.8945
138,0.8945
139,0.8945
140,0.8945
141,0.895
142,0.8945
143,0.895
144,0.895
145,0.894
146,0.8935
147,0.894
148,0.894
149,0.894
150,0.894
151,0.893
152,0.893
153,0.893
154,0.8925
155,0.8925
156,0.8925
157,0.8925
158,0.8935
159,0.8935
160,0.894
161,0.8945
162,0.894
163,0.894
164,0.8945
165,0.8935
166,0.893
167,0.8935
168,0.894
169,0.8945
170,0.894
171,0.895
172,0.894
173,0.8935
174,0.894
175,0.893
176,0.895
177,0.893
178,0.8925
179,0.8925
180,0.892
181,0.892
182,0.894
183,0.894
184,0.894
185,0.8935
186,0.8935
187,0.893
188,0.893
189,0.8925
190,0.8925
191,0.893
192,0.894
193,0.894
194,0.8945
195,0.894
196,0.894
197,0.8945
198,0.8945
199,0.895
200,0.895
201,0.8955
202,0.894
203,0.8935
204,0.893
205,0.8935
206,0.8935
207,0.893
208,0.893
209,0.893
210,0.8935
211,0.893
212,0.893
213,0.893
214,0.8935
215,0.8935
216,0.894
217,0.8925
218,0.8925
219,0.8925
220,0.8925
221,0.8925
222,0.892
223,0.891
224,0.891
225,0.892
226,0.891
227,0.8915
228,0.8915
229,0.8915
230,0.8915
231,0.8905
232,0.8905
233,0.8905
234,0.8905
235,0.8905
236,0.8905
237,0.8905
238,0.8905
239,0.8905
240,0.891
241,0.891
242,0.8915
243,0.8905
244,0.8905
245,0.8905
246,0.8905
247,0.8905
248,0.8925
249,0.8925
250,0.892
251,0.892
252,0.892
253,0.8925
254,0.8915
255,0.8915
256,0.8915
257,0.8905
258,0.8915
259,0.8905
260,0.8905
261,0.8905
262,0.8905
263,0.8905
264,0.8905
265,0.8905
266,0.8905
267,0.8905
268,0.8905
269,0.89
270,0.89
271,0.89
272,0.89
273,0.889
274,0.8885
275,0.8885
276,0.89
277,0.8845
278,0.8835
279,0.8835
280,0.882
281,0.8835
282,0.883
283,0.884
284,0.884
285,0.882
286,0.8835
287,0.883
288,0.883
289,0.8835
290,0.883
291,0.8825
292,0.8825
293,0.8825
294,0.882
295,0.882
296,0.8825
297,0.882
298,0.8825
299,0.8825
300,0.882
301,0.881
302,0.8815
303,0.881
304,0.883
305,0.8815
306,0.8815
307,0.8815
308,0.881
309,0.8825
310,0.8835
311,0.884
312,0.8835
313,0.8835
314,0.8855
315,0.885
316,0.886
317,0.8855
318,0.884
319,0.884
320,0.8875
321,0.8885
322,0.888
323,0.887
324,0.887
325,0.887
326,0.8875
327,0.8875
328,0.886
329,0.886
330,0.8865
331,0.887
332,0.8865
333,0.8865
334,0.8865
335,0.8875
336,0.888
337,0.8865
338,0.8865
339,0.886
340,0.8865
341,0.8865
342,0.8885
343,0.882
344,0.882
345,0.8805
346,0.881
347,0.881
348,0.881
349,0.881
350,0.8815
351,0.8815
352,0.8845
353,0.884
354,0.884
355,0.8845
356,0.884
357,0.8825
358,0.8825
359,0.883
360,0.883
361,0.883
362,0.8825
363,0.8825
364,0.8825
365,0.8825
366,0.8825
367,0.8825
368,0.8825
369,0.882
370,0.882
371,0.886
372,0.883
373,0.8825
374,0.8825
375,0.885
376,0.883
377,0.877
378,0.879
379,0.879
380,0.8785
381,0.8785
382,0.881
383,0.888
384,0.888
385,0.888
386,0.8875
387,0.887
388,0.8875
389,0.8875
390,0.888
391,0.888
392,0.8875
393,0.887
394,0.8875
395,0.89
396,0.8905
397,0.8895
398,0.891
399,0.891
400,0.891
401,0.8905
402,0.889
403,0.893
404,0.893
405,0.8895
406,0.89
407,0.89
408,0.8895
409,0.89
410,0.8905
411,0.89
412,0.8875
413,0.887
414,0.8865
415,0.8865
416,0.886
417,0.885
418,0.8905
419,0.8885
420,0.8895
421,0.89
422,0.8895
423,0.8805
424,0.8795
425,0.878
426,0.879
427,0.881
428,0.88
429,0.8785
430,0.8775
431,0.88
432,0.88
433,0.878
434,0.8775
435,0.88
436,0.8815
437,0.878
438,0.8875
439,0.888
440,0.887
441,0.886
442,0.8865
443,0.886
444,0.885
445,0.8845
446,0.884
447,0.8815
448,0.8805
449,0.8765
450,0.8765
451,0.879
452,0.8745
453,0.871
454,0.8625
455,0.8635
456,0.863
457,0.862
458,0.861
459,0.8555
460,0.8555
461,0.8555
462,0.8565
463,0.855
464,0.8585
465,0.8605
466,0.864
467,0.8615
468,0.7305
469,0.719
470,0.7175
471,0.7225
472,0.719
473,0.7105
474,0.693
475,0.6965
476,0.6985
477,0.691
478,0.6765
479,0.681
480,0.6955
481,0.6675
482,0.657
483,0.62
484,0.6205
485,0.599
486,0.6055
487,0.5465
488,0.556
489,0.536
490,0.455
491,0.496
492,0.52
493,0.5215
494,0.541
495,0.444
496,0.451
497,0.4445
498,0.5325
499,0.5325
