num_removed,accuracy
0,0.895
1,0.895
2,0.8955
3,0.8955
4,0.8955
5,0.8955
6,0.8945
7,0.8945
8,0.8955
9,0.8955
10,0.8955
11,0.896
12,0.896
13,0.896
14,0.896
15,0.895
16,0.895
17,0.895
18,0.895
19,0.895
20,0.8945
21,0.8945
22,0.8945
23,0.895
24,0.8945
25,0.8945
26,0.8945
27,0.895
28,0.895
29,0.895
30,0.895
31,0.8945
32,0.8945
33,0.896
34,0.8955
35,0.8955
36,0.8955
37,0.8955
38,0.8955
39,0.8955
40,0.8955
41,0.8965
42,0.8955
43,0.8955
44,0.8955
45,0.8965
46,0.8965
47,0.896
48,0.8955
49,0.897
50,0.897
51,0.8965
52,0.8965
53,0.8965
54,0.8965
55,0.8965
56,0.8965
57,0.8965
58,0.8965
59,0.897
60,0.8965
61,0.8975
62,0.897
63,0.897
64,0.897
65,0.897
66,0.8975
67,0.8975
68,0.8975
69,0.897
70,0.897
71,0.897
72,0.897
73,0.897
74,0.8955
75,0.8955
76,0.8955
77,0.8955
78,0.8965
79,0.8965
80,0.896
81,0.896
82,0.896
83,0.896
84,0.896
85,0.896
86,0.897
87,0.897
88,0.8965
89,0.8965
90,0.8965
91,0.896
92,0.8955
93,0.8945
94,0.894
95,0.8945
96,0.8945
97,0.8945
98,0.8945
99,0.8945
100,0.894
101,0.8925
102,0.893
103,0.8925
104,0.893
105,0.893
106,0.893
107,0.8935
108,0.894
109,0.894
110,0.894
111,0.894
112,0.894
113,0.894
114,0.894
115,0.894
116,0.8935
117,0.8935
118,0.8935
119,0.894
120,0.894
121,0.89
122,0.8905
123,0.8905
124,0.8905
125,0.89
126,0.8905
127,0.8905
128,0.8905
129,0.8905
130,0.89
131,0.89
132,0.89
133,0.8895
134,0.8895
135,0.8895
136,0.8895
137,0.89
138,0.89
139,0.89
140,0.89
141,0.8895
142,0.8885
143,0.8895
144,0.8885
145,0.8885
146,0.8865
147,0.8865
148,0.887
149,0.8865
150,0.8885
151,0.8885
152,0.8885
153,0.8885
154,0.8885
155,0.8885
156,0.8875
157,0.8875
158,0.889
159,0.889
160,0.889
161,0.8895
162,0.8875
163,0.8875
164,0.888
165,0.886
166,0.886
167,0.886
168,0.884
169,0.884
170,0.8845
171,0.8845
172,0.8835
173,0.884
174,0.8845
175,0.885
176,0.885
177,0.885
178,0.8855
179,0.8855
180,0.8855
181,0.8805
182,0.881
183,0.881
184,0.8805
185,0.88
186,0.88
187,0.88
188,0.8815
189,0.881
190,0.881
191,0.88
192,0.8815
193,0.8815
194,0.8815
195,0.8815
196,0.882
197,0.8805
198,0.881
199,0.8805
200,0.8805
201,0.88
202,0.88
203,0.881
204,0.878
205,0.8775
206,0.8775
207,0.877
208,0.8765
209,0.878
210,0.8785
211,0.88
212,0.878
213,0.8775
214,0.8775
215,0.8785
216,0.8785
217,0.8785
218,0.88
219,0.8795
220,0.8785
221,0.8795
222,0.879
223,0.879
224,0.8795
225,0.8785
226,0.88
227,0.88
228,0.8795
229,0.879
230,0.8755
231,0.8755
232,0.8745
233,0.8745
234,0.875
235,0.875
236,0.8765
237,0.87
238,0.8705
239,0.8705
240,0.872
241,0.872
242,0.8725
243,0.8725
244,0.8725
245,0.8725
246,0.8735
247,0.8715
248,0.8725
249,0.8725
250,0.8715
251,0.8715
252,0.87
253,0.87
254,0.8705
255,0.8705
256,0.87
257,0.8685
258,0.8685
259,0.8685
260,0.8665
261,0.867
262,0.867
263,0.867
264,0.867
265,0.8675
266,0.869
267,0.8685
268,0.8655
269,0.8655
270,0.8655
271,0.8655
272,0.8655
273,0.8655
274,0.8655
275,0.866
276,0.8665
277,0.8665
278,0.8665
279,0.8665
280,0.867
281,0.866
282,0.866
283,0.8595
284,0.8575
285,0.8575
286,0.8575
287,0.8575
288,0.8575
289,0.8575
290,0.8585
291,0.8585
292,0.858
293,0.8555
294,0.856
295,0.8535
296,0.853
297,0.8535
298,0.8465
299,0.847
300,0.8455
301,0.846
302,0.846
303,0.8455
304,0.8425
305,0.841
306,0.8405
307,0.8405
308,0.8395
309,0.838
310,0.828
311,0.8275
312,0.8275
313,0.826
314,0.826
315,0.824
316,0.8235
317,0.819
318,0.8195
319,0.817
320,0.817
321,0.817
322,0.816
323,0.8175
324,0.8185
325,0.817
326,0.816
327,0.816
328,0.807
329,0.8045
330,0.805
331,0.8045
332,0.8045
333,0.804
334,0.804
335,0.8055
336,0.8055
337,0.8055
338,0.8045
339,0.805
340,0.8045
341,0.8015
342,0.8015
343,0.795
344,0.7965
345,0.795
346,0.7955
347,0.7935
348,0.7925
349,0.797
350,0.7965
351,0.7875
352,0.7925
353,0.792
354,0.7895
355,0.79
356,0.7885
357,0.7895
358,0.7885
359,0.7875
360,0.787
361,0.787
362,0.789
363,0.789
364,0.789
365,0.788
366,0.789
367,0.783
368,0.784
369,0.7825
370,0.78
371,0.781
372,0.781
373,0.7805
374,0.781
375,0.7815
376,0.781
377,0.778
378,0.778
379,0.778
380,0.7775
381,0.7715
382,0.7675
383,0.77
384,0.7555
385,0.7555
386,0.757
387,0.7565
388,0.757
389,0.7565
390,0.757
391,0.756
392,0.752
393,0.7515
394,0.752
395,0.7235
396,0.722
397,0.7225
398,0.7235
399,0.7225
400,0.722
401,0.7245
402,0.7085
403,0.709
404,0.7085
405,0.708
406,0.706
407,0.707
408,0.7025
409,0.7015
410,0.7015
411,0.7005
412,0.6995
413,0.7005
414,0.7025
415,0.7025
416,0.698
417,0.6985
418,0.699
419,0.679
420,0.679
421,0.676
422,0.6775
423,0.6765
424,0.674
425,0.674
426,0.66
427,0.663
428,0.663
429,0.664
430,0.6655
431,0.6425
432,0.6375
433,0.6365
434,0.6355
435,0.6345
436,0.635
437,0.588
438,0.588
439,0.59
440,0.5915
441,0.589
442,0.565
443,0.5685
444,0.567
445,0.5745
446,0.5735
447,0.574
448,0.567
449,0.567
450,0.559
451,0.5615
452,0.5725
453,0.5715
454,0.574
455,0.572
456,0.5635
457,0.563
458,0.5505
459,0.552
460,0.5505
461,0.5565
462,0.5575
463,0.556
464,0.553
465,0.549
466,0.542
467,0.5615
468,0.56
469,0.559
470,0.555
471,0.5575
472,0.5645
473,0.563
474,0.5585
475,0.56
476,0.4315
477,0.425
478,0.4265
479,0.3965
480,0.3995
481,0.391
482,0.392
483,0.3895
484,0.3935
485,0.384
486,0.3815
487,0.3765
488,0.35
489,0.366
490,0.34
491,0.333
492,0.3585
493,0.371
494,0.3785
495,0.1915
496,0.1955
497,0.5325
498,0.5325
499,0.5325
