num_removed,accuracy
0,0.8765
1,0.8765
2,0.8775
3,0.8765
4,0.8755
5,0.874
6,0.874
7,0.8755
8,0.875
9,0.875
10,0.8775
11,0.8765
12,0.877
13,0.877
14,0.8765
15,0.8765
16,0.875
17,0.8735
18,0.876
19,0.8765
20,0.877
21,0.876
22,0.876
23,0.875
24,0.877
25,0.8765
26,0.8765
27,0.8745
28,0.8735
29,0.8735
30,0.873
31,0.875
32,0.876
33,0.8755
34,0.8755
35,0.8765
36,0.8755
37,0.8755
38,0.875
39,0.8745
40,0.874
41,0.876
42,0.8775
43,0.876
44,0.875
45,0.8745
46,0.8745
47,0.8755
48,0.8755
49,0.876
50,0.874
51,0.8725
52,0.8725
53,0.8735
54,0.8725
55,0.8725
56,0.8725
57,0.872
58,0.8725
59,0.8725
60,0.873
61,0.8725
62,0.872
63,0.8725
64,0.873
65,0.873
66,0.873
67,0.873
68,0.873
69,0.873
70,0.873
71,0.873
72,0.873
73,0.8735
74,0.873
75,0.8735
76,0.8735
77,0.8735
78,0.8735
79,0.8735
80,0.8715
81,0.872
82,0.8725
83,0.872
84,0.872
85,0.872
86,0.8715
87,0.872
88,0.872
89,0.872
90,0.872
91,0.8715
92,0.8705
93,0.871
94,0.871
95,0.871
96,0.871
97,0.8705
98,0.871
99,0.8715
100,0.8715
101,0.8715
102,0.8715
103,0.8715
104,0.8715
105,0.8715
106,0.872
107,0.873
108,0.872
109,0.872
110,0.8715
111,0.8715
112,0.872
113,0.872
114,0.871
115,0.87
116,0.8705
117,0.8725
118,0.872
119,0.872
120,0.8725
121,0.8725
122,0.8705
123,0.8705
124,0.8705
125,0.8705
126,0.8705
127,0.871
128,0.871
129,0.871
130,0.87
131,0.87
132,0.87
133,0.8715
134,0.8715
135,0.8715
136,0.872
137,0.8735
138,0.874
139,0.874
140,0.8735
141,0.8735
142,0.8735
143,0.8715
144,0.8715
145,0.871
146,0.8705
147,0.8705
148,0.8695
149,0.8705
150,0.8695
151,0.8695
152,0.8695
153,0.869
154,0.869
155,0.8665
156,0.8615
157,0.8615
158,0.8605
159,0.8595
160,0.8595
161,0.8595
162,0.86
163,0.86
164,0.8605
165,0.8595
166,0.8595
167,0.8625
168,0.8615
169,0.8615
170,0.86
171,0.862
172,0.8615
173,0.8605
174,0.8605
175,0.8605
176,0.8595
177,0.863
178,0.8625
179,0.8625
180,0.864
181,0.863
182,0.8635
183,0.8645
184,0.8625
185,0.864
186,0.864
187,0.8645
188,0.8645
189,0.8635
190,0.8605
191,0.861
192,0.86
193,0.8605
194,0.8605
195,0.861
196,0.86
197,0.8615
198,0.8615
199,0.861
200,0.8605
201,0.8595
202,0.858
203,0.8585
204,0.858
205,0.8585
206,0.859
207,0.858
208,0.8585
209,0.858
210,0.858
211,0.8575
212,0.8575
213,0.8555
214,0.8555
215,0.8535
216,0.8515
217,0.8565
218,0.856
219,0.855
220,0.8545
221,0.8545
222,0.8535
223,0.846
224,0.8455
225,0.845
226,0.8445
227,0.8435
228,0.8425
229,0.8425
230,0.84
231,0.84
232,0.835
233,0.8325
234,0.832
235,0.829
236,0.828
237,0.8255
238,0.821
239,0.815
240,0.811
241,0.808
242,0.806
243,0.802
244,0.795
245,0.7875
246,0.773
247,0.7695
248,0.7625
249,0.754
250,0.749
251,0.722
252,0.712
253,0.7025
254,0.6875
255,0.675
256,0.6505
257,0.5665
258,0.5465
259,0.544
260,0.537
261,0.537
262,0.537
263,0.537
264,0.537
265,0.537
266,0.537
267,0.5395
268,0.54
269,0.543
270,0.543
271,0.5425
272,0.5425
273,0.5425
274,0.542
275,0.542
276,0.542
277,0.542
278,0.542
279,0.5425
280,0.5425
281,0.542
282,0.542
283,0.542
284,0.542
285,0.542
286,0.5425
287,0.543
288,0.543
289,0.5425
290,0.5425
291,0.5425
292,0.544
293,0.5435
294,0.5435
295,0.544
296,0.545
297,0.5445
298,0.5455
299,0.5455
300,0.545
301,0.545
302,0.5445
303,0.545
304,0.544
305,0.545
306,0.545
307,0.5455
308,0.5455
309,0.5455
