num_removed,accuracy
0,0.8915
1,0.89
2,0.891
3,0.891
4,0.8905
5,0.8895
6,0.8895
7,0.8895
8,0.8895
9,0.8905
10,0.89
11,0.89
12,0.89
13,0.888
14,0.8885
15,0.8885
16,0.8875
17,0.8875
18,0.8875
19,0.888
20,0.887
21,0.8865
22,0.8865
23,0.887
24,0.887
25,0.8875
26,0.887
27,0.8875
28,0.8865
29,0.8865
30,0.8865
31,0.8865
32,0.8865
33,0.8865
34,0.8875
35,0.8875
36,0.888
37,0.888
38,0.888
39,0.8865
40,0.8865
41,0.8865
42,0.8865
43,0.887
44,0.888
45,0.887
46,0.8865
47,0.886
48,0.886
49,0.8865
50,0.886
51,0.8865
52,0.8855
53,0.8855
54,0.8855
55,0.885
56,0.885
57,0.884
58,0.884
59,0.884
60,0.8835
61,0.884
62,0.884
63,0.884
64,0.886
65,0.886
66,0.884
67,0.884
68,0.8835
69,0.884
70,0.884
71,0.884
72,0.883
73,0.883
74,0.882
75,0.882
76,0.882
77,0.883
78,0.883
79,0.883
80,0.8815
81,0.8815
82,0.8815
83,0.881
84,0.882
85,0.882
86,0.8815
87,0.882
88,0.883
89,0.883
90,0.8845
91,0.8835
92,0.8835
93,0.884
94,0.8835
95,0.8835
96,0.8835
97,0.8845
98,0.8835
99,0.8805
100,0.882
101,0.8805
102,0.88
103,0.882
104,0.8815
105,0.8815
106,0.8815
107,0.8815
108,0.8815
109,0.881
110,0.8815
111,0.8805
112,0.8805
113,0.8805
114,0.8805
115,0.88
116,0.8795
117,0.88
118,0.8805
119,0.879
120,0.8785
121,0.88
122,0.878
123,0.875
124,0.8755
125,0.8755
126,0.8755
127,0.8745
128,0.877
129,0.875
130,0.873
131,0.8735
132,0.873
133,0.8735
134,0.8735
135,0.8745
136,0.8745
137,0.8745
138,0.8735
139,0.8745
140,0.8755
141,0.8755
142,0.875
143,0.8745
144,0.8735
145,0.872
146,0.872
147,0.873
148,0.8725
149,0.8705
150,0.8705
151,0.8705
152,0.8705
153,0.8705
154,0.871
155,0.8705
156,0.8705
157,0.8705
158,0.8705
159,0.8705
160,0.8705
161,0.8695
162,0.869
163,0.8695
164,0.869
165,0.8685
166,0.869
167,0.869
168,0.869
169,0.868
170,0.868
171,0.868
172,0.868
173,0.8685
174,0.869
175,0.869
176,0.8685
177,0.8675
178,0.8675
179,0.8675
180,0.8665
181,0.867
182,0.866
183,0.866
184,0.8685
185,0.868
186,0.8675
187,0.867
188,0.867
189,0.8665
190,0.8665
191,0.8665
192,0.867
193,0.8655
194,0.866
195,0.866
196,0.8655
197,0.8655
198,0.8665
199,0.866
200,0.866
201,0.8655
202,0.8655
203,0.865
204,0.8645
205,0.8645
206,0.8645
207,0.8635
208,0.8635
209,0.8645
210,0.8645
211,0.866
212,0.8655
213,0.8645
214,0.865
215,0.8655
216,0.865
217,0.865
218,0.866
219,0.866
220,0.866
221,0.866
222,0.866
223,0.8645
224,0.861
225,0.8615
226,0.8615
227,0.8615
228,0.8615
229,0.8615
230,0.862
231,0.862
232,0.8625
233,0.8615
234,0.862
235,0.862
236,0.861
237,0.8605
238,0.8605
239,0.861
240,0.8605
241,0.8595
242,0.86
243,0.8605
244,0.86
245,0.8605
246,0.8605
247,0.86
248,0.8605
249,0.8605
250,0.8605
251,0.8605
252,0.861
253,0.8605
254,0.8605
255,0.8605
256,0.8605
257,0.8605
258,0.86
259,0.8605
260,0.8605
261,0.86
262,0.86
263,0.8595
264,0.86
265,0.8605
266,0.8605
267,0.8595
268,0.8605
269,0.86
270,0.86
271,0.8605
272,0.86
273,0.861
274,0.861
275,0.8615
276,0.8615
277,0.861
278,0.859
279,0.86
280,0.86
281,0.86
282,0.861
283,0.861
284,0.8615
285,0.862
286,0.8615
287,0.862
288,0.8615
289,0.8645
290,0.864
291,0.8605
292,0.8605
293,0.861
294,0.864
295,0.864
296,0.864
297,0.863
298,0.8635
299,0.8615
300,0.8615
301,0.862
302,0.861
303,0.861
304,0.861
305,0.86
306,0.8575
307,0.857
308,0.8575
309,0.864
310,0.86
311,0.8595
312,0.86
313,0.8605
314,0.86
315,0.8615
316,0.8625
317,0.863
318,0.862
319,0.8615
320,0.8615
321,0.8605
322,0.8575
323,0.857
324,0.8595
325,0.856
326,0.856
327,0.856
328,0.859
329,0.8595
330,0.859
331,0.856
332,0.855
333,0.854
334,0.8535
335,0.857
336,0.8565
337,0.856
338,0.858
339,0.8575
340,0.8545
341,0.8535
342,0.8535
343,0.8535
344,0.8545
345,0.85
346,0.8495
347,0.842
348,0.841
349,0.839
350,0.8385
351,0.8385
352,0.8385
353,0.8365
354,0.8385
355,0.8415
356,0.84
357,0.8405
358,0.8395
359,0.8395
360,0.843
361,0.843
362,0.8395
363,0.8395
364,0.84
365,0.8405
366,0.8395
367,0.843
368,0.8435
369,0.836
370,0.8365
371,0.8355
372,0.832
373,0.832
374,0.8325
375,0.8325
376,0.8345
377,0.8325
378,0.834
379,0.8335
380,0.829
381,0.826
382,0.8255
383,0.825
384,0.8165
385,0.8165
386,0.812
387,0.812
388,0.812
389,0.8095
390,0.8095
391,0.8095
392,0.813
393,0.8145
394,0.814
395,0.8115
396,0.811
397,0.799
398,0.801
399,0.801
400,0.802
401,0.8035
402,0.803
403,0.8035
404,0.8035
405,0.8005
406,0.8045
407,0.802
408,0.802
409,0.802
410,0.8015
411,0.8015
412,0.801
413,0.7995
414,0.7985
415,0.7925
416,0.7925
417,0.793
418,0.793
419,0.793
420,0.7935
421,0.7905
422,0.7865
423,0.7865
424,0.766
425,0.769
426,0.7705
427,0.7715
428,0.748
429,0.7475
430,0.748
431,0.75
432,0.7505
433,0.725
434,0.717
435,0.717
436,0.7085
437,0.672
438,0.6705
439,0.6675
440,0.6475
441,0.6095
442,0.6165
443,0.617
444,0.619
445,0.6205
446,0.6125
447,0.614
448,0.6115
449,0.568
450,0.5705
451,0.5
452,0.4975
453,0.4905
454,0.493
455,0.4675
456,0.4775
457,0.4775
458,0.4925
459,0.4875
460,0.49
461,0.4865
462,0.4605
463,0.4605
464,0.46
465,0.4635
466,0.456
467,0.4565
468,0.4555
469,0.452
470,0.4415
471,0.4415
472,0.4415
473,0.444
474,0.4355
475,0.439
476,0.4375
477,0.418
478,0.4195
479,0.4175
480,0.4175
481,0.4195
482,0.422
483,0.4245
484,0.427
485,0.4185
486,0.405
487,0.4065
488,0.3615
489,0.271
490,0.196
491,0.2015
492,0.5325
493,0.5325
494,0.5325
495,0.5325
496,0.5325
497,0.5325
498,0.5325
499,0.5325
