num_removed,accuracy
0,0.8915
1,0.8905
2,0.89
3,0.8905
4,0.891
5,0.8905
6,0.889
7,0.892
8,0.893
9,0.8935
10,0.895
11,0.895
12,0.8955
13,0.895
14,0.894
15,0.895
16,0.893
17,0.8925
18,0.891
19,0.8925
20,0.891
21,0.8925
22,0.892
23,0.8935
24,0.8925
25,0.893
26,0.893
27,0.893
28,0.893
29,0.893
30,0.893
31,0.8925
32,0.8935
33,0.8935
34,0.8925
35,0.8925
36,0.8925
37,0.893
38,0.893
39,0.893
40,0.893
41,0.893
42,0.8925
43,0.8925
44,0.893
45,0.8925
46,0.893
47,0.893
48,0.893
49,0.893
50,0.8935
51,0.8935
52,0.894
53,0.894
54,0.894
55,0.893
56,0.893
57,0.893
58,0.8925
59,0.8915
60,0.8915
61,0.892
62,0.8905
63,0.8905
64,0.8895
65,0.8895
66,0.8895
67,0.891
68,0.89
69,0.8905
70,0.8905
71,0.8905
72,0.8905
73,0.8895
74,0.8895
75,0.89
76,0.889
77,0.889
78,0.8885
79,0.8885
80,0.8885
81,0.8885
82,0.8885
83,0.89
84,0.8895
85,0.8905
86,0.89
87,0.89
88,0.8905
89,0.89
90,0.89
91,0.892
92,0.8915
93,0.8915
94,0.891
95,0.8915
96,0.8915
97,0.892
98,0.8915
99,0.8915
100,0.8915
101,0.8915
102,0.8915
103,0.8915
104,0.8915
105,0.89
106,0.889
107,0.8895
108,0.889
109,0.8895
110,0.8895
111,0.8885
112,0.8885
113,0.8885
114,0.8885
115,0.8895
116,0.8895
117,0.891
118,0.891
119,0.8915
120,0.8915
121,0.8915
122,0.8915
123,0.8915
124,0.8915
125,0.89
126,0.889
127,0.8895
128,0.889
129,0.889
130,0.888
131,0.8875
132,0.8875
133,0.889
134,0.889
135,0.888
136,0.887
137,0.887
138,0.8815
139,0.8805
140,0.8805
141,0.881
142,0.881
143,0.882
144,0.882
145,0.882
146,0.882
147,0.882
148,0.882
149,0.882
150,0.882
151,0.882
152,0.882
153,0.882
154,0.884
155,0.884
156,0.8835
157,0.884
158,0.8845
159,0.8845
160,0.8845
161,0.8845
162,0.8855
163,0.8855
164,0.8855
165,0.8855
166,0.8855
167,0.8855
168,0.885
169,0.8845
170,0.885
171,0.8845
172,0.8845
173,0.882
174,0.88
175,0.88
176,0.8795
177,0.8785
178,0.8785
179,0.8795
180,0.879
181,0.879
182,0.8785
183,0.8785
184,0.8785
185,0.878
186,0.8775
187,0.878
188,0.8775
189,0.878
190,0.8775
191,0.8775
192,0.876
193,0.872
194,0.872
195,0.873
196,0.873
197,0.872
198,0.872
199,0.87
200,0.87
201,0.8685
202,0.8685
203,0.867
204,0.866
205,0.8655
206,0.8675
207,0.8685
208,0.866
209,0.8625
210,0.8615
211,0.857
212,0.857
213,0.8565
214,0.8555
215,0.854
216,0.857
217,0.8515
218,0.8505
219,0.8495
220,0.8495
221,0.85
222,0.8485
223,0.8455
224,0.8425
225,0.8385
226,0.834
227,0.827
228,0.8215
229,0.818
230,0.8095
231,0.7985
232,0.788
233,0.78
234,0.777
235,0.769
236,0.756
237,0.7505
238,0.75
239,0.7505
240,0.751
241,0.7505
242,0.751
243,0.751
244,0.751
245,0.751
246,0.7505
247,0.7505
248,0.7505
249,0.7505
250,0.7505
251,0.7505
252,0.7505
253,0.753
