num_removed,accuracy
0,0.892
1,0.8925
2,0.8915
3,0.8895
4,0.8915
5,0.893
6,0.893
7,0.892
8,0.892
9,0.894
10,0.8935
11,0.8935
12,0.894
13,0.8955
14,0.8955
15,0.8945
16,0.8955
17,0.8955
18,0.896
19,0.8955
20,0.8955
21,0.8935
22,0.8935
23,0.8935
24,0.8935
25,0.8935
26,0.8935
27,0.895
28,0.8955
29,0.896
30,0.8955
31,0.8955
32,0.895
33,0.895
34,0.8955
35,0.8955
36,0.8955
37,0.8955
38,0.8955
39,0.8955
40,0.896
41,0.896
42,0.8965
43,0.8965
44,0.8965
45,0.896
46,0.896
47,0.896
48,0.896
49,0.896
50,0.896
51,0.8965
52,0.8965
53,0.8965
54,0.897
55,0.897
56,0.897
57,0.897
58,0.897
59,0.897
60,0.897
61,0.897
62,0.897
63,0.8965
64,0.8975
65,0.8975
66,0.8975
67,0.8985
68,0.8985
69,0.8985
70,0.898
71,0.898
72,0.898
73,0.898
74,0.898
75,0.896
76,0.896
77,0.8965
78,0.8965
79,0.897
80,0.8965
81,0.8965
82,0.8965
83,0.8965
84,0.8965
85,0.8965
86,0.8965
87,0.8965
88,0.8965
89,0.8965
90,0.897
91,0.898
92,0.898
93,0.897
94,0.8975
95,0.8975
96,0.898
97,0.8975
98,0.896
99,0.896
100,0.896
101,0.8955
102,0.8955
103,0.8955
104,0.8925
105,0.893
106,0.893
107,0.893
108,0.893
109,0.893
110,0.893
111,0.894
112,0.894
113,0.894
114,0.894
115,0.894
116,0.894
117,0.894
118,0.894
119,0.894
120,0.894
121,0.894
122,0.894
123,0.894
124,0.894
125,0.8935
126,0.8935
127,0.8935
128,0.8935
129,0.895
130,0.8955
131,0.8955
132,0.895
133,0.895
134,0.8945
135,0.8945
136,0.8945
137,0.8945
138,0.8955
139,0.8955
140,0.8955
141,0.8925
142,0.8925
143,0.8925
144,0.8925
145,0.8925
146,0.8925
147,0.8925
148,0.8925
149,0.8925
150,0.8925
151,0.8935
152,0.8935
153,0.8935
154,0.8935
155,0.8935
156,0.8935
157,0.8935
158,0.8935
159,0.8935
160,0.8935
161,0.8935
162,0.8935
163,0.8935
164,0.8935
165,0.8935
166,0.8935
167,0.8935
168,0.8935
169,0.8935
170,0.894
171,0.8925
172,0.8915
173,0.8915
174,0.8925
175,0.892
176,0.892
177,0.8905
178,0.8905
179,0.892
180,0.892
181,0.8915
182,0.8915
183,0.8905
184,0.891
185,0.8915
186,0.8915
187,0.8915
188,0.892
189,0.8915
190,0.892
191,0.892
192,0.8915
193,0.8915
194,0.8915
195,0.892
196,0.892
197,0.892
198,0.892
199,0.892
200,0.8925
201,0.8925
202,0.8925
203,0.892
204,0.8915
205,0.892
206,0.892
207,0.892
208,0.892
209,0.892
210,0.89
211,0.89
212,0.89
213,0.89
214,0.89
215,0.89
216,0.89
217,0.89
218,0.888
219,0.8875
220,0.887
221,0.887
222,0.8865
223,0.888
224,0.888
225,0.8885
226,0.8885
227,0.8885
228,0.8885
229,0.8885
230,0.8885
231,0.8885
232,0.888
233,0.887
234,0.887
235,0.887
236,0.887
237,0.887
238,0.887
239,0.887
240,0.887
241,0.887
242,0.887
243,0.8875
244,0.8875
245,0.887
246,0.8875
247,0.8875
248,0.886
249,0.8845
250,0.8865
251,0.8865
252,0.8865
253,0.8865
254,0.8865
255,0.8865
256,0.8865
257,0.8865
258,0.8865
259,0.8875
260,0.8875
261,0.8875
262,0.8875
263,0.8875
264,0.8875
265,0.8875
266,0.8875
267,0.8875
268,0.8875
269,0.8875
270,0.887
271,0.8865
272,0.887
273,0.887
274,0.8875
275,0.8875
276,0.8875
277,0.887
278,0.886
279,0.8865
280,0.8875
281,0.888
282,0.888
283,0.888
284,0.8875
285,0.8875
286,0.888
287,0.888
288,0.8875
289,0.887
290,0.888
291,0.8875
292,0.8875
293,0.8875
294,0.888
295,0.888
296,0.888
297,0.888
298,0.888
299,0.888
300,0.888
301,0.888
302,0.888
303,0.888
304,0.888
305,0.888
306,0.8885
307,0.887
308,0.8875
309,0.8875
310,0.886
311,0.886
312,0.8855
313,0.8855
314,0.884
315,0.884
316,0.8845
317,0.884
318,0.8835
319,0.883
320,0.879
321,0.879
322,0.879
323,0.884
324,0.884
325,0.8825
326,0.882
327,0.881
328,0.887
329,0.8865
330,0.887
331,0.887
332,0.887
333,0.8875
334,0.888
335,0.888
336,0.888
337,0.8885
338,0.888
339,0.8875
340,0.8875
341,0.884
342,0.8835
343,0.881
344,0.8785
345,0.88
346,0.8795
347,0.8795
348,0.878
349,0.878
350,0.8805
351,0.8805
352,0.88
353,0.881
354,0.881
355,0.8795
356,0.8795
357,0.88
358,0.8795
359,0.8795
360,0.8795
361,0.8805
362,0.88
363,0.8795
364,0.8795
365,0.8805
366,0.88
367,0.88
368,0.879
369,0.8785
370,0.879
371,0.8795
372,0.879
373,0.8805
374,0.8775
375,0.8755
376,0.8735
377,0.8735
378,0.873
379,0.868
380,0.8685
381,0.8675
382,0.8665
383,0.8665
384,0.8695
385,0.866
386,0.8605
387,0.86
388,0.859
389,0.86
390,0.8595
391,0.86
392,0.8605
393,0.8605
394,0.8615
