num_removed,accuracy
0,0.9705
1,0.9705
2,0.9705
3,0.9705
4,0.9705
5,0.9705
6,0.9705
7,0.9705
8,0.971
9,0.9715
10,0.9715
11,0.971
12,0.971
13,0.971
14,0.971
15,0.971
16,0.971
17,0.971
18,0.971
19,0.971
20,0.971
21,0.9715
22,0.9715
23,0.9715
24,0.9715
25,0.9715
26,0.9715
27,0.9715
28,0.9715
29,0.969
30,0.9695
31,0.9695
32,0.9695
33,0.969
34,0.969
35,0.969
36,0.969
37,0.969
38,0.969
39,0.969
40,0.9695
41,0.9695
42,0.969
43,0.9695
44,0.9695
45,0.9695
46,0.9695
47,0.9695
48,0.9695
49,0.9695
50,0.9695
51,0.9695
52,0.9695
53,0.9695
54,0.9695
55,0.9695
56,0.9695
57,0.9695
58,0.9695
59,0.969
60,0.969
61,0.969
62,0.9675
63,0.9675
64,0.9665
65,0.9665
66,0.9665
67,0.966
68,0.967
69,0.9665
70,0.967
71,0.9665
72,0.967
73,0.966
74,0.967
75,0.9655
76,0.966
77,0.966
78,0.966
79,0.966
80,0.9655
81,0.966
82,0.966
83,0.966
84,0.966
85,0.966
86,0.966
87,0.966
88,0.9655
89,0.9655
90,0.9655
91,0.966
92,0.9655
93,0.9655
94,0.9655
95,0.9655
96,0.9655
97,0.9655
98,0.9655
99,0.9655
100,0.9655
101,0.9655
102,0.9655
103,0.9655
104,0.9655
105,0.965
106,0.9655
107,0.9655
108,0.9655
109,0.9655
110,0.9665
111,0.9665
112,0.966
113,0.966
114,0.966
115,0.966
116,0.9655
117,0.966
118,0.967
119,0.967
120,0.967
121,0.9675
122,0.9675
123,0.966
124,0.966
125,0.966
126,0.966
127,0.966
128,0.966
129,0.966
130,0.966
131,0.966
132,0.966
133,0.9655
134,0.9655
135,0.966
136,0.965
137,0.966
138,0.9665
139,0.966
140,0.966
141,0.966
142,0.967
143,0.9665
144,0.9665
145,0.9675
146,0.9675
147,0.9675
148,0.9675
149,0.9675
150,0.967
151,0.9675
152,0.9675
153,0.9675
154,0.9675
155,0.9675
156,0.966
157,0.966
158,0.966
159,0.966
160,0.9645
161,0.9645
162,0.9645
163,0.9645
164,0.9635
165,0.9645
166,0.9645
167,0.9645
168,0.9645
169,0.9645
170,0.9645
171,0.964
172,0.964
173,0.964
174,0.964
175,0.964
176,0.96
177,0.96
178,0.96
179,0.96
180,0.96
181,0.96
182,0.9605
183,0.96
184,0.9605
185,0.96
186,0.96
187,0.9605
188,0.9605
189,0.96
190,0.96
191,0.9595
192,0.96
193,0.96
194,0.96
195,0.96
196,0.96
197,0.96
198,0.9605
199,0.9605
200,0.9605
201,0.96
202,0.9585
203,0.9585
204,0.9595
205,0.9595
206,0.9595
207,0.9595
208,0.959
209,0.959
210,0.957
211,0.957
212,0.957
213,0.957
214,0.958
215,0.958
216,0.9565
217,0.9585
218,0.9585
219,0.9595
220,0.9585
221,0.959
222,0.9565
223,0.9565
224,0.9565
225,0.957
226,0.9555
227,0.9555
228,0.9555
229,0.9555
230,0.9555
231,0.9555
232,0.9555
233,0.9555
234,0.955
235,0.955
236,0.9545
237,0.954
238,0.954
239,0.952
240,0.9505
241,0.949
242,0.949
243,0.949
244,0.948
245,0.948
246,0.948
247,0.9465
248,0.946
249,0.946
250,0.946
251,0.944
252,0.944
253,0.944
254,0.944
255,0.944
256,0.9435
257,0.9435
258,0.9435
259,0.9435
260,0.9425
261,0.9415
262,0.9415
263,0.9415
264,0.942
265,0.942
266,0.941
267,0.9415
268,0.9415
269,0.941
270,0.941
271,0.941
272,0.9405
273,0.941
274,0.9425
275,0.9425
276,0.942
277,0.9425
278,0.944
279,0.944
280,0.944
281,0.944
282,0.944
283,0.9535
284,0.954
285,0.9535
286,0.954
287,0.9545
288,0.955
289,0.9535
290,0.953
291,0.954
292,0.9545
293,0.9535
294,0.9535
295,0.9535
296,0.9535
297,0.9535
298,0.9535
299,0.9535
300,0.953
301,0.9535
302,0.954
303,0.954
304,0.954
305,0.9535
306,0.9535
307,0.9535
308,0.9535
309,0.9535
310,0.9535
311,0.9535
312,0.953
313,0.953
314,0.953
315,0.9525
316,0.9525
317,0.951
318,0.951
319,0.951
320,0.951
321,0.9505
322,0.9415
323,0.9415
324,0.9415
325,0.9415
326,0.941
327,0.941
328,0.9355
329,0.9355
330,0.9355
331,0.9355
332,0.9345
333,0.9325
334,0.933
335,0.933
336,0.9335
337,0.9295
338,0.9305
339,0.9295
340,0.9295
341,0.9295
342,0.931
343,0.931
344,0.931
345,0.93
346,0.933
347,0.9325
348,0.933
349,0.932
350,0.924
351,0.924
352,0.924
353,0.9225
354,0.923
355,0.923
356,0.9235
357,0.9245
358,0.9235
359,0.923
360,0.923
361,0.923
362,0.9225
363,0.9185
364,0.918
365,0.918
366,0.918
367,0.9175
368,0.9175
369,0.9175
370,0.917
371,0.907
372,0.9065
373,0.9065
374,0.9065
375,0.901
376,0.902
377,0.898
378,0.898
379,0.899
380,0.898
381,0.898
382,0.898
383,0.895
384,0.8945
385,0.89
386,0.889
387,0.89
388,0.89
389,0.8895
390,0.89
391,0.8845
392,0.8855
393,0.887
394,0.8865
395,0.8865
396,0.885
397,0.885
398,0.882
399,0.882
400,0.881
401,0.8815
402,0.879
403,0.88
404,0.8785
405,0.878
406,0.8775
407,0.88
408,0.8785
409,0.875
410,0.868
411,0.8485
412,0.846
413,0.8365
414,0.832
415,0.8315
416,0.831
417,0.835
418,0.8335
419,0.8405
420,0.8405
421,0.838
422,0.8425
423,0.8435
424,0.844
425,0.843
426,0.844
427,0.832
428,0.8305
429,0.8315
430,0.8285
431,0.8405
432,0.8395
433,0.8335
434,0.818
435,0.8175
436,0.8165
437,0.817
438,0.8085
439,0.8175
440,0.8005
441,0.7985
442,0.795
443,0.7955
444,0.7975
445,0.799
446,0.801
447,0.7965
448,0.7805
449,0.735
450,0.7375
451,0.738
452,0.7365
453,0.729
454,0.7335
455,0.735
456,0.742
457,0.746
458,0.714
459,0.7145
460,0.6905
461,0.695
462,0.683
463,0.682
464,0.6875
465,0.675
466,0.6785
467,0.6755
468,0.697
469,0.703
470,0.6905
471,0.699
472,0.6705
473,0.682
474,0.686
475,0.6875
476,0.686
477,0.6635
478,0.6515
479,0.628
480,0.6275
481,0.618
482,0.609
483,0.617
484,0.614
485,0.611
486,0.5965
