num_removed,accuracy
0,0.963
1,0.963
2,0.963
3,0.963
4,0.9625
5,0.9625
6,0.9625
7,0.962
8,0.962
9,0.962
10,0.9625
11,0.9625
12,0.9605
13,0.9605
14,0.9605
15,0.961
16,0.961
17,0.96
18,0.959
19,0.959
20,0.959
21,0.959
22,0.958
23,0.9585
24,0.9585
25,0.9585
26,0.9585
27,0.9585
28,0.9585
29,0.9585
30,0.9585
31,0.9585
32,0.9575
33,0.9575
34,0.9575
35,0.9575
36,0.9575
37,0.9575
38,0.9575
39,0.9575
40,0.959
41,0.9575
42,0.9575
43,0.9575
44,0.9575
45,0.9575
46,0.9575
47,0.9575
48,0.958
49,0.957
50,0.957
51,0.957
52,0.9575
53,0.9565
54,0.9565
55,0.9565
56,0.957
57,0.9565
58,0.9565
59,0.956
60,0.956
61,0.956
62,0.9575
63,0.9575
64,0.9575
65,0.9575
66,0.9565
67,0.9565
68,0.9565
69,0.9565
70,0.956
71,0.9565
72,0.9565
73,0.9555
74,0.9555
75,0.9555
76,0.9555
77,0.9555
78,0.9555
79,0.955
80,0.955
81,0.9545
82,0.955
83,0.9545
84,0.9545
85,0.955
86,0.952
87,0.952
88,0.952
89,0.9525
90,0.9525
91,0.952
92,0.952
93,0.9515
94,0.9515
95,0.951
96,0.9505
97,0.9495
98,0.9495
99,0.9495
100,0.9495
101,0.949
102,0.949
103,0.949
104,0.949
105,0.948
106,0.948
107,0.948
108,0.9485
109,0.9465
110,0.9475
111,0.9475
112,0.9475
113,0.9475
114,0.947
115,0.947
116,0.947
117,0.947
118,0.9475
119,0.9475
120,0.9475
121,0.947
122,0.9475
123,0.947
124,0.947
125,0.947
126,0.947
127,0.947
128,0.949
129,0.9485
130,0.949
131,0.948
132,0.948
133,0.9485
134,0.948
135,0.948
136,0.9485
137,0.949
138,0.949
139,0.949
140,0.9485
141,0.9485
142,0.949
143,0.949
144,0.949
145,0.9495
146,0.9495
147,0.9505
148,0.9505
149,0.949
150,0.9485
151,0.9485
152,0.948
153,0.9485
154,0.9485
155,0.9475
156,0.9475
157,0.947
158,0.9455
159,0.9455
160,0.947
161,0.9465
162,0.9465
163,0.946
164,0.946
165,0.946
166,0.946
167,0.946
168,0.946
169,0.946
170,0.946
171,0.9455
172,0.947
173,0.9465
174,0.9465
175,0.9465
176,0.9465
177,0.946
178,0.9465
179,0.947
180,0.9475
181,0.9475
182,0.948
183,0.9475
184,0.9465
185,0.946
186,0.9465
187,0.9465
188,0.946
189,0.9455
190,0.9455
191,0.946
192,0.9445
193,0.9445
194,0.9445
195,0.9455
196,0.9455
197,0.9455
198,0.9455
199,0.9455
200,0.945
201,0.945
202,0.945
203,0.945
204,0.946
205,0.944
206,0.9435
207,0.9435
208,0.9435
209,0.9435
210,0.9435
211,0.9445
212,0.9435
213,0.9395
214,0.939
215,0.9395
216,0.9395
217,0.94
218,0.94
219,0.9395
220,0.931
221,0.9305
222,0.929
223,0.929
224,0.929
225,0.929
226,0.929
227,0.9295
228,0.9305
229,0.93
230,0.9315
231,0.931
232,0.931
233,0.932
234,0.9315
235,0.9315
236,0.931
237,0.926
238,0.926
239,0.926
240,0.926
241,0.9265
242,0.926
243,0.926
244,0.926
245,0.925
246,0.925
247,0.9245
248,0.9255
249,0.9205
250,0.921
251,0.9115
252,0.911
253,0.9115
254,0.9115
255,0.9115
256,0.9115
257,0.9115
258,0.9115
259,0.9115
260,0.9085
261,0.9085
262,0.9085
263,0.9085
264,0.908
265,0.909
266,0.908
267,0.91
268,0.91
269,0.909
270,0.91
271,0.9105
272,0.9105
273,0.911
274,0.9105
275,0.9105
276,0.9085
277,0.9085
278,0.9085
279,0.9055
280,0.907
281,0.907
282,0.907
283,0.907
284,0.9075
285,0.91
286,0.913
287,0.912
288,0.9125
289,0.912
290,0.912
291,0.911
292,0.9115
293,0.911
294,0.9115
295,0.9115
296,0.9115
297,0.9105
298,0.9095
299,0.9105
300,0.9105
301,0.9105
302,0.913
303,0.915
304,0.9155
305,0.916
306,0.916
307,0.916
308,0.915
309,0.916
310,0.9165
311,0.9135
312,0.913
313,0.913
314,0.9125
315,0.9125
316,0.916
317,0.914
318,0.918
319,0.9175
320,0.9175
321,0.917
322,0.919
323,0.9195
324,0.9205
325,0.921
326,0.915
327,0.9145
328,0.914
329,0.9125
330,0.9125
331,0.913
332,0.904
333,0.903
334,0.9025
335,0.903
336,0.897
337,0.8975
338,0.898
339,0.899
340,0.8995
341,0.9
342,0.897
343,0.896
344,0.898
345,0.897
346,0.8965
347,0.8965
348,0.8985
349,0.898
350,0.8975
351,0.8965
352,0.897
353,0.897
354,0.897
355,0.896
356,0.8965
357,0.898
358,0.8975
359,0.8965
360,0.8965
361,0.8915
362,0.892
363,0.893
364,0.8875
365,0.8865
366,0.8875
367,0.886
368,0.885
369,0.8845
370,0.885
371,0.8855
372,0.8855
373,0.8835
374,0.885
375,0.885
376,0.8635
377,0.865
378,0.8545
379,0.8545
380,0.8455
381,0.844
382,0.846
383,0.8425
384,0.842
385,0.8415
386,0.8415
387,0.841
388,0.828
389,0.8275
390,0.829
391,0.8325
392,0.8335
393,0.826
394,0.826
395,0.8245
396,0.826
397,0.826
398,0.825
399,0.8265
400,0.816
401,0.821
402,0.82
403,0.8205
404,0.821
405,0.821
406,0.8215
407,0.817
408,0.815
409,0.798
410,0.797
411,0.7925
412,0.7945
413,0.79
414,0.7885
415,0.786
416,0.7905
417,0.79
418,0.7885
419,0.784
420,0.783
421,0.777
422,0.7845
423,0.7835
424,0.7835
425,0.783
426,0.7815
427,0.789
428,0.786
429,0.7855
430,0.785
431,0.784
432,0.782
433,0.78
