num_removed,accuracy
0,0.963
1,0.967
2,0.969
3,0.971
4,0.9725
5,0.9725
6,0.9735
7,0.973
8,0.9725
9,0.9725
10,0.9725
11,0.9725
12,0.9725
13,0.9725
14,0.973
15,0.973
16,0.973
17,0.9725
18,0.9725
19,0.9725
20,0.9725
21,0.9725
22,0.9725
23,0.973
24,0.973
25,0.973
26,0.973
27,0.973
28,0.973
29,0.973
30,0.973
31,0.973
32,0.973
33,0.9725
34,0.9725
35,0.9725
36,0.973
37,0.973
38,0.973
39,0.972
40,0.972
41,0.972
42,0.972
43,0.972
44,0.972
45,0.9725
46,0.9725
47,0.9725
48,0.9725
49,0.9725
50,0.972
51,0.972
52,0.972
53,0.9705
54,0.9705
55,0.9695
56,0.969
57,0.969
58,0.9695
59,0.9695
60,0.9695
61,0.97
62,0.97
63,0.9695
64,0.9695
65,0.9705
66,0.97
67,0.9695
68,0.9695
69,0.9695
70,0.9695
71,0.9695
72,0.9695
73,0.9695
74,0.9695
75,0.97
76,0.97
77,0.969
78,0.9695
79,0.9695
80,0.9695
81,0.9695
82,0.9695
83,0.9695
84,0.9695
85,0.9695
86,0.9695
87,0.9695
88,0.9695
89,0.9695
90,0.969
91,0.969
92,0.969
93,0.969
94,0.969
95,0.9695
96,0.9695
97,0.9695
98,0.9685
99,0.9685
100,0.9685
101,0.9685
102,0.9685
103,0.9685
104,0.9685
105,0.9695
106,0.9695
107,0.9695
108,0.968
109,0.968
110,0.968
111,0.968
112,0.968
113,0.968
114,0.968
115,0.968
116,0.968
117,0.9685
118,0.9685
119,0.9675
120,0.9675
121,0.9675
122,0.9675
123,0.9675
124,0.9675
125,0.9675
126,0.967
127,0.967
128,0.9675
129,0.9675
130,0.9675
131,0.9675
132,0.967
133,0.9675
134,0.9675
135,0.9675
136,0.968
137,0.968
138,0.9685
139,0.9685
140,0.9685
141,0.9685
142,0.9685
143,0.9685
144,0.9685
145,0.9685
146,0.9685
147,0.9685
148,0.969
149,0.969
150,0.969
151,0.969
152,0.969
153,0.969
154,0.969
155,0.9685
156,0.9685
157,0.9685
158,0.9685
159,0.9685
160,0.9685
161,0.969
162,0.969
163,0.969
164,0.97
165,0.97
166,0.97
167,0.97
168,0.97
169,0.97
170,0.97
171,0.97
172,0.97
173,0.97
174,0.97
175,0.97
176,0.97
177,0.97
178,0.97
179,0.97
180,0.97
181,0.97
182,0.9695
183,0.9695
184,0.9695
185,0.9695
186,0.9695
187,0.9695
188,0.9695
189,0.9695
190,0.969
191,0.969
192,0.9695
193,0.9695
194,0.9705
195,0.97
196,0.97
197,0.9705
198,0.9705
199,0.9705
200,0.9705
201,0.971
202,0.971
203,0.971
204,0.971
205,0.971
206,0.971
207,0.972
208,0.972
209,0.9725
210,0.9725
211,0.9725
212,0.972
213,0.9715
214,0.97
215,0.9705
216,0.9705
217,0.971
218,0.9705
219,0.9705
220,0.971
221,0.971
222,0.971
223,0.971
224,0.9715
225,0.971
226,0.9715
227,0.97
228,0.97
229,0.9705
230,0.97
231,0.97
232,0.969
233,0.969
234,0.9685
235,0.969
236,0.969
237,0.969
238,0.969
239,0.969
240,0.9685
241,0.9685
242,0.969
243,0.969
244,0.9685
245,0.9695
246,0.9695
247,0.971
248,0.971
249,0.9705
250,0.971
251,0.971
252,0.971
253,0.971
254,0.971
255,0.9695
256,0.9695
257,0.9695
258,0.97
259,0.9685
260,0.9685
261,0.9685
262,0.969
263,0.969
264,0.969
265,0.9685
266,0.9685
267,0.9685
268,0.9695
269,0.9695
270,0.9695
271,0.9695
272,0.9695
273,0.9695
274,0.9695
275,0.9695
276,0.968
277,0.968
278,0.968
279,0.968
280,0.968
281,0.968
282,0.968
283,0.968
284,0.9675
285,0.968
286,0.968
287,0.968
288,0.968
289,0.9675
290,0.9675
291,0.967
292,0.9665
293,0.966
294,0.9665
295,0.966
296,0.966
297,0.966
298,0.9675
299,0.967
300,0.9675
301,0.9685
302,0.9685
303,0.969
304,0.9685
305,0.967
306,0.967
307,0.967
308,0.965
309,0.9655
310,0.9655
311,0.9655
312,0.9655
313,0.9655
314,0.9655
315,0.9655
316,0.966
317,0.966
318,0.966
319,0.966
320,0.966
321,0.965
322,0.9645
323,0.9645
324,0.965
325,0.963
326,0.964
327,0.9645
328,0.9635
329,0.9635
330,0.964
331,0.964
332,0.9635
333,0.963
334,0.9625
335,0.9625
336,0.9625
337,0.9625
338,0.9625
339,0.962
340,0.9625
341,0.963
342,0.962
343,0.9615
344,0.9615
345,0.9615
346,0.9615
347,0.961
348,0.961
349,0.961
350,0.9605
351,0.958
352,0.956
353,0.9555
354,0.9555
355,0.955
356,0.9565
357,0.9535
358,0.9535
359,0.953
360,0.953
361,0.9515
362,0.9515
363,0.9515
364,0.9515
365,0.9505
366,0.9515
367,0.952
368,0.951
369,0.957
370,0.956
371,0.9565
372,0.958
373,0.9575
374,0.958
375,0.958
376,0.9585
377,0.957
378,0.957
379,0.957
380,0.957
381,0.956
382,0.9545
383,0.954
384,0.954
385,0.956
386,0.9545
387,0.954
388,0.9545
389,0.9515
390,0.9525
391,0.954
392,0.954
393,0.9535
394,0.953
395,0.9535
396,0.953
397,0.9525
398,0.952
399,0.9515
400,0.952
401,0.952
402,0.9525
403,0.9525
404,0.952
405,0.9515
406,0.951
407,0.952
408,0.9515
409,0.9425
410,0.943
411,0.9415
412,0.942
413,0.9415
414,0.94
415,0.941
416,0.942
417,0.941
418,0.94
419,0.93
420,0.931
421,0.9325
422,0.9335
423,0.9305
424,0.933
425,0.9365
426,0.9305
427,0.9275
428,0.9295
429,0.93
430,0.931
431,0.9335
432,0.9305
433,0.928
434,0.93
435,0.93
436,0.9295
437,0.931
438,0.9335
439,0.9345
440,0.9335
441,0.9275
442,0.9305
443,0.9285
444,0.9265
445,0.918
446,0.924
447,0.9225
448,0.9215
449,0.906
450,0.905
451,0.904
452,0.9045
453,0.8975
454,0.905
455,0.911
456,0.9085
457,0.9075
458,0.904
459,0.9045
460,0.8995
461,0.8945
462,0.883
463,0.8885
464,0.8845
465,0.889
466,0.8855
467,0.855
468,0.842
469,0.8415
470,0.84
471,0.851
472,0.851
473,0.828
474,0.818
475,0.8025
476,0.8005
477,0.8055
478,0.7975
479,0.797
480,0.7955
481,0.7735
482,0.774
483,0.734
484,0.7345
485,0.756
486,0.7585
487,0.752
488,0.726
489,0.7235
490,0.7055
491,0.6915
492,0.6565
493,0.568
494,0.598
495,0.594
496,0.5
497,0.5
498,0.5
499,0.5
