num_removed,accuracy
0,0.963
1,0.963
2,0.963
3,0.963
4,0.963
5,0.963
6,0.9635
7,0.9635
8,0.9635
9,0.9635
10,0.9625
11,0.962
12,0.962
13,0.9625
14,0.9625
15,0.9625
16,0.9625
17,0.963
18,0.9635
19,0.963
20,0.963
21,0.963
22,0.963
23,0.963
24,0.963
25,0.963
26,0.963
27,0.963
28,0.964
29,0.964
30,0.9645
31,0.964
32,0.964
33,0.9635
34,0.9635
35,0.9635
36,0.9645
37,0.9645
38,0.9645
39,0.9645
40,0.9645
41,0.9645
42,0.9645
43,0.9645
44,0.9645
45,0.9645
46,0.9645
47,0.964
48,0.964
49,0.964
50,0.964
51,0.964
52,0.964
53,0.964
54,0.964
55,0.9635
56,0.9635
57,0.9635
58,0.9635
59,0.963
60,0.9635
61,0.9635
62,0.9635
63,0.9635
64,0.963
65,0.963
66,0.963
67,0.963
68,0.963
69,0.9625
70,0.9625
71,0.9625
72,0.9625
73,0.9625
74,0.962
75,0.9625
76,0.96
77,0.9605
78,0.9605
79,0.9605
80,0.96
81,0.96
82,0.9605
83,0.962
84,0.962
85,0.962
86,0.962
87,0.962
88,0.9665
89,0.9665
90,0.9665
91,0.9665
92,0.9665
93,0.9665
94,0.9665
95,0.9655
96,0.966
97,0.9655
98,0.966
99,0.9655
100,0.965
101,0.965
102,0.965
103,0.9655
104,0.966
105,0.966
106,0.966
107,0.965
108,0.965
109,0.965
110,0.965
111,0.965
112,0.965
113,0.9615
114,0.9615
115,0.9625
116,0.962
117,0.9615
118,0.9605
119,0.9605
120,0.962
121,0.962
122,0.9605
123,0.9605
124,0.9615
125,0.9615
126,0.9615
127,0.961
128,0.9615
129,0.9615
130,0.9605
131,0.962
132,0.962
133,0.962
134,0.962
135,0.962
136,0.962
137,0.962
138,0.962
139,0.962
140,0.962
141,0.962
142,0.962
143,0.9615
144,0.961
145,0.961
146,0.9615
147,0.961
148,0.961
149,0.9615
150,0.963
151,0.9625
152,0.962
153,0.9605
154,0.9605
155,0.96
156,0.96
157,0.96
158,0.9595
159,0.961
160,0.961
161,0.961
162,0.961
163,0.961
164,0.9605
165,0.9605
166,0.9605
167,0.96
168,0.96
169,0.96
170,0.96
171,0.9585
172,0.9585
173,0.9585
174,0.9585
175,0.9585
176,0.9585
177,0.958
178,0.96
179,0.9595
180,0.9595
181,0.9595
182,0.9595
183,0.96
184,0.96
185,0.96
186,0.959
187,0.959
188,0.9595
189,0.959
190,0.9585
191,0.959
192,0.959
193,0.9595
194,0.9595
195,0.96
196,0.9595
197,0.9605
198,0.9605
199,0.9605
200,0.9605
201,0.9605
202,0.9605
203,0.9605
204,0.9605
205,0.9605
206,0.9605
207,0.9605
208,0.9605
209,0.9605
210,0.9605
211,0.961
212,0.9605
213,0.9605
214,0.961
215,0.961
216,0.961
217,0.961
218,0.961
219,0.9605
220,0.958
221,0.958
222,0.958
223,0.9585
224,0.9585
225,0.9585
226,0.96
227,0.96
228,0.96
229,0.9595
230,0.9595
231,0.9595
232,0.9595
233,0.9595
234,0.96
235,0.96
236,0.96
237,0.96
238,0.96
239,0.96
240,0.96
241,0.961
242,0.96
243,0.961
244,0.961
245,0.961
246,0.9615
247,0.9615
248,0.9615
249,0.96
250,0.961
251,0.961
252,0.962
253,0.9615
254,0.9635
255,0.963
256,0.963
257,0.963
258,0.963
259,0.962
260,0.9615
261,0.9615
262,0.971
263,0.971
264,0.97
265,0.97
266,0.9695
267,0.969
268,0.969
269,0.9685
270,0.9685
271,0.966
272,0.966
273,0.966
274,0.965
275,0.965
276,0.965
277,0.9665
278,0.967
279,0.966
280,0.966
281,0.965
282,0.965
283,0.965
284,0.9645
285,0.9645
286,0.9645
287,0.9645
288,0.9645
289,0.9645
290,0.9645
291,0.9645
292,0.9645
293,0.9645
294,0.9645
295,0.9645
296,0.9645
297,0.9645
298,0.9645
299,0.9645
300,0.964
301,0.964
302,0.964
303,0.9635
304,0.9635
305,0.9635
306,0.9635
307,0.9635
308,0.9635
309,0.9635
310,0.964
311,0.964
312,0.964
313,0.9645
314,0.9645
315,0.9645
316,0.9645
317,0.9645
318,0.962
319,0.9625
320,0.9625
321,0.964
322,0.964
323,0.9635
324,0.9635
325,0.9645
326,0.9645
327,0.9645
328,0.9645
329,0.9645
330,0.9645
331,0.963
332,0.963
333,0.9635
334,0.964
335,0.9635
336,0.964
337,0.964
338,0.9635
339,0.9645
340,0.9635
341,0.963
342,0.963
343,0.9625
344,0.9625
345,0.9635
346,0.963
347,0.963
348,0.9625
349,0.961
350,0.963
351,0.963
352,0.963
353,0.9635
354,0.9625
355,0.9625
356,0.962
357,0.962
358,0.962
359,0.962
360,0.962
361,0.963
362,0.9625
363,0.9625
364,0.9615
365,0.962
366,0.962
367,0.9625
368,0.9625
369,0.963
370,0.962
371,0.962
372,0.9615
373,0.962
374,0.9615
375,0.9615
376,0.961
377,0.962
378,0.962
379,0.963
380,0.9625
381,0.963
382,0.961
383,0.9615
384,0.961
385,0.961
386,0.961
387,0.961
388,0.9605
389,0.9605
390,0.96
391,0.9605
392,0.961
393,0.961
394,0.9605
395,0.9575
396,0.957
397,0.957
398,0.957
399,0.957
400,0.955
401,0.955
402,0.9535
403,0.954
404,0.953
405,0.954
406,0.9545
407,0.9545
408,0.954
409,0.96
410,0.962
411,0.9625
412,0.9625
413,0.963
414,0.9625
415,0.9625
416,0.963
417,0.961
418,0.961
419,0.9605
420,0.962
421,0.9615
422,0.9625
423,0.958
424,0.958
425,0.958
426,0.9565
427,0.9565
428,0.957
429,0.959
430,0.959
431,0.9585
432,0.959
433,0.9595
434,0.96
435,0.9615
