num_removed,accuracy
0,0.973
1,0.973
2,0.971
3,0.9715
4,0.9735
5,0.9735
6,0.974
7,0.974
8,0.974
9,0.974
10,0.974
11,0.974
12,0.975
13,0.975
14,0.975
15,0.975
16,0.975
17,0.975
18,0.975
19,0.975
20,0.975
21,0.975
22,0.975
23,0.975
24,0.975
25,0.975
26,0.975
27,0.975
28,0.975
29,0.975
30,0.9745
31,0.9745
32,0.9745
33,0.9745
34,0.9745
35,0.9745
36,0.9745
37,0.9745
38,0.9745
39,0.9745
40,0.9745
41,0.9745
42,0.9745
43,0.9745
44,0.9745
45,0.9745
46,0.9745
47,0.9745
48,0.9745
49,0.9745
50,0.9745
51,0.9745
52,0.9745
53,0.9745
54,0.9745
55,0.9745
56,0.9745
57,0.9745
58,0.974
59,0.974
60,0.974
61,0.974
62,0.974
63,0.974
64,0.975
65,0.975
66,0.975
67,0.975
68,0.975
69,0.975
70,0.975
71,0.975
72,0.975
73,0.975
74,0.975
75,0.975
76,0.975
77,0.975
78,0.975
79,0.975
80,0.9745
81,0.9745
82,0.9745
83,0.9745
84,0.9745
85,0.9745
86,0.978
87,0.978
88,0.978
89,0.978
90,0.978
91,0.978
92,0.978
93,0.978
94,0.978
95,0.978
96,0.978
97,0.978
98,0.978
99,0.978
100,0.978
101,0.978
102,0.978
103,0.978
104,0.978
105,0.978
106,0.978
107,0.978
108,0.978
109,0.978
110,0.978
111,0.9765
112,0.9765
113,0.976
114,0.976
115,0.9745
116,0.9745
117,0.9745
118,0.9745
119,0.9745
120,0.9745
121,0.974
122,0.974
123,0.974
124,0.975
125,0.9755
126,0.9755
127,0.9755
128,0.9755
129,0.9765
130,0.977
131,0.977
132,0.977
133,0.977
134,0.977
135,0.977
136,0.977
137,0.9775
138,0.9775
139,0.9775
140,0.9775
141,0.9775
142,0.9775
143,0.977
144,0.9785
145,0.9785
146,0.9785
147,0.975
148,0.975
149,0.975
150,0.9745
151,0.9745
152,0.9745
153,0.9745
154,0.9755
155,0.9755
156,0.9755
157,0.9755
158,0.9755
159,0.9755
160,0.975
161,0.975
162,0.975
163,0.975
164,0.975
165,0.975
166,0.9755
167,0.9755
168,0.9755
169,0.9755
170,0.9755
171,0.9755
172,0.9755
173,0.9755
174,0.9755
175,0.976
176,0.976
177,0.976
178,0.976
179,0.976
180,0.9755
181,0.9755
182,0.9725
183,0.9725
184,0.9725
185,0.9725
186,0.9725
187,0.9725
188,0.972
189,0.97
190,0.97
191,0.97
192,0.97
193,0.97
194,0.97
195,0.97
196,0.97
197,0.9705
198,0.97
199,0.9705
200,0.9705
201,0.9705
202,0.9705
203,0.97
204,0.97
205,0.9705
206,0.9705
207,0.9705
208,0.9705
209,0.9705
210,0.9705
211,0.9705
212,0.9705
213,0.97
214,0.9705
215,0.9705
216,0.97
217,0.97
218,0.9695
219,0.9695
220,0.9695
221,0.9695
222,0.9695
223,0.9695
224,0.9695
225,0.9695
226,0.9695
227,0.9695
228,0.9695
229,0.9695
230,0.9695
231,0.9695
232,0.9705
233,0.9705
234,0.9705
235,0.9705
236,0.9705
237,0.97
238,0.97
239,0.971
240,0.9705
241,0.971
242,0.9685
243,0.9685
244,0.967
245,0.967
246,0.9705
247,0.971
248,0.971
249,0.9715
250,0.971
251,0.971
252,0.971
253,0.971
254,0.971
255,0.9705
256,0.971
257,0.971
258,0.971
259,0.971
260,0.971
261,0.971
262,0.971
263,0.972
264,0.9715
265,0.972
266,0.9725
267,0.9725
268,0.9715
269,0.972
270,0.972
271,0.972
272,0.9725
273,0.972
274,0.9715
275,0.9715
276,0.9715
277,0.9715
278,0.972
279,0.972
280,0.972
281,0.972
282,0.972
283,0.972
284,0.972
285,0.972
286,0.972
287,0.972
288,0.972
289,0.972
290,0.972
291,0.972
292,0.972
293,0.972
294,0.972
295,0.972
296,0.972
297,0.972
298,0.972
299,0.972
300,0.972
301,0.9715
302,0.971
303,0.9715
304,0.9715
305,0.9715
306,0.9715
307,0.9715
308,0.9705
309,0.969
310,0.969
311,0.9685
312,0.968
313,0.968
314,0.9685
315,0.969
316,0.9685
317,0.9685
318,0.9685
319,0.9685
320,0.9675
321,0.9675
322,0.9675
323,0.969
324,0.9695
325,0.97
326,0.971
327,0.971
328,0.9705
329,0.9705
330,0.9695
331,0.9695
332,0.9695
333,0.97
334,0.969
335,0.97
336,0.97
337,0.9695
338,0.9695
339,0.971
340,0.971
341,0.9705
342,0.9705
343,0.9695
344,0.9705
345,0.9695
346,0.969
347,0.969
348,0.9685
349,0.9685
350,0.9695
351,0.9695
352,0.9695
353,0.9705
354,0.9695
355,0.9695
356,0.97
357,0.968
358,0.968
359,0.968
360,0.969
361,0.969
362,0.969
363,0.969
364,0.968
365,0.968
366,0.969
367,0.9685
368,0.968
369,0.9685
370,0.967
371,0.967
372,0.968
373,0.968
374,0.968
375,0.968
376,0.968
377,0.9655
378,0.9665
379,0.966
380,0.9655
381,0.965
382,0.9645
383,0.963
384,0.962
385,0.9615
386,0.962
387,0.9615
388,0.9615
389,0.962
390,0.9625
391,0.962
392,0.962
393,0.962
394,0.962
395,0.9625
396,0.9625
397,0.9625
398,0.9615
399,0.962
400,0.96
401,0.961
402,0.9595
403,0.9595
404,0.959
405,0.9585
406,0.959
407,0.9555
408,0.956
409,0.9525
410,0.9515
411,0.9525
412,0.952
413,0.9525
414,0.9525
415,0.9515
416,0.9515
417,0.953
418,0.9535
419,0.9525
420,0.9535
421,0.9515
422,0.953
423,0.95
424,0.9485
425,0.947
426,0.946
427,0.944
428,0.945
429,0.9435
430,0.943
431,0.9435
432,0.945
433,0.9455
434,0.944
435,0.945
436,0.939
437,0.927
438,0.93
439,0.9265
440,0.9205
441,0.919
442,0.9215
443,0.9165
444,0.9165
445,0.9165
446,0.911
447,0.903
448,0.9015
449,0.896
450,0.896
451,0.889
452,0.8875
453,0.8835
454,0.8805
455,0.882
456,0.8775
457,0.878
458,0.869
459,0.865
460,0.8525
461,0.8385
462,0.8415
463,0.841
464,0.841
465,0.8465
466,0.848
467,0.846
468,0.837
469,0.822
470,0.7995
471,0.799
472,0.803
473,0.789
474,0.774
475,0.775
476,0.7675
477,0.7555
478,0.756
479,0.7615
480,0.7485
481,0.7565
482,0.7415
483,0.735
484,0.7505
485,0.723
486,0.7185
487,0.7135
488,0.711
489,0.6905
490,0.688
491,0.6785
492,0.6965
493,0.667
494,0.668
495,0.672
496,0.629
497,0.6225
498,0.539
499,0.5
