num_removed,accuracy
0,0.973
1,0.972
2,0.973
3,0.971
4,0.9715
5,0.9715
6,0.9715
7,0.971
8,0.971
9,0.971
10,0.971
11,0.971
12,0.971
13,0.971
14,0.971
15,0.971
16,0.971
17,0.971
18,0.971
19,0.971
20,0.9715
21,0.9715
22,0.9715
23,0.9715
24,0.9715
25,0.9715
26,0.971
27,0.971
28,0.971
29,0.969
30,0.9695
31,0.9695
32,0.9695
33,0.9695
34,0.9695
35,0.9695
36,0.9695
37,0.9695
38,0.9695
39,0.9695
40,0.9695
41,0.9695
42,0.9695
43,0.9695
44,0.9695
45,0.969
46,0.9685
47,0.9685
48,0.9695
49,0.9695
50,0.969
51,0.969
52,0.969
53,0.9665
54,0.967
55,0.965
56,0.965
57,0.9645
58,0.9655
59,0.965
60,0.965
61,0.965
62,0.965
63,0.9635
64,0.964
65,0.963
66,0.963
67,0.963
68,0.9635
69,0.9605
70,0.9605
71,0.9605
72,0.9605
73,0.96
74,0.96
75,0.961
76,0.961
77,0.961
78,0.961
79,0.961
80,0.961
81,0.961
82,0.961
83,0.961
84,0.961
85,0.9615
86,0.961
87,0.961
88,0.961
89,0.9605
90,0.961
91,0.961
92,0.961
93,0.9615
94,0.9615
95,0.9615
96,0.9615
97,0.9595
98,0.9595
99,0.963
100,0.963
101,0.963
102,0.9625
103,0.9625
104,0.9615
105,0.9605
106,0.9605
107,0.9605
108,0.9605
109,0.9605
110,0.9605
111,0.9605
112,0.959
113,0.9585
114,0.9585
115,0.9585
116,0.9585
117,0.9585
118,0.9585
119,0.9595
120,0.9595
121,0.9595
122,0.959
123,0.96
124,0.9595
125,0.959
126,0.959
127,0.959
128,0.9585
129,0.956
130,0.9555
131,0.955
132,0.955
133,0.955
134,0.955
135,0.955
136,0.9555
137,0.9545
138,0.952
139,0.952
140,0.952
141,0.9525
142,0.9525
143,0.9525
144,0.9525
145,0.9525
146,0.953
147,0.953
148,0.9525
149,0.9525
150,0.953
151,0.953
152,0.9525
153,0.9535
154,0.953
155,0.9525
156,0.9525
157,0.9525
158,0.952
159,0.952
160,0.9525
161,0.953
162,0.9535
163,0.953
164,0.953
165,0.9525
166,0.9535
167,0.952
168,0.952
169,0.952
170,0.951
171,0.952
172,0.952
173,0.952
174,0.952
175,0.952
176,0.9515
177,0.952
178,0.952
179,0.952
180,0.952
181,0.952
182,0.9515
183,0.9515
184,0.949
185,0.949
186,0.948
187,0.949
188,0.949
189,0.949
190,0.9485
191,0.9475
192,0.9475
193,0.9475
194,0.948
195,0.948
196,0.948
197,0.948
198,0.948
199,0.947
200,0.947
201,0.947
202,0.947
203,0.947
204,0.946
205,0.946
206,0.946
207,0.946
208,0.9465
209,0.9465
210,0.946
211,0.942
212,0.9425
213,0.942
214,0.942
215,0.942
216,0.942
217,0.9425
218,0.942
219,0.942
220,0.9425
221,0.9405
222,0.941
223,0.935
224,0.9355
225,0.934
226,0.934
227,0.9355
228,0.9355
229,0.9355
230,0.9355
231,0.934
232,0.934
233,0.934
234,0.934
235,0.934
236,0.934
237,0.934
238,0.9345
239,0.935
240,0.932
241,0.9315
242,0.9315
243,0.9315
244,0.9295
245,0.9295
246,0.9295
247,0.9295
248,0.9295
249,0.9295
250,0.93
251,0.93
252,0.93
253,0.931
254,0.931
255,0.931
256,0.931
257,0.931
258,0.931
259,0.931
260,0.929
261,0.929
262,0.929
263,0.936
264,0.936
265,0.9365
266,0.936
267,0.934
268,0.938
269,0.938
270,0.9375
271,0.937
272,0.937
273,0.9375
274,0.9375
275,0.937
276,0.9375
277,0.937
278,0.937
279,0.937
280,0.9395
281,0.9365
282,0.9365
283,0.9365
284,0.937
285,0.9355
286,0.935
287,0.9345
288,0.936
289,0.936
290,0.936
291,0.9355
292,0.9355
293,0.9355
294,0.936
295,0.936
296,0.934
297,0.934
298,0.9345
299,0.9345
300,0.9345
301,0.932
302,0.932
303,0.9295
304,0.9295
305,0.9295
306,0.9295
307,0.929
308,0.9305
309,0.932
310,0.929
311,0.929
312,0.925
313,0.9245
314,0.925
315,0.925
316,0.9285
317,0.9285
318,0.9245
319,0.9245
320,0.924
321,0.925
322,0.926
323,0.9245
324,0.9255
325,0.9255
326,0.9255
327,0.9255
328,0.9235
329,0.9235
330,0.922
331,0.92
332,0.926
333,0.9255
334,0.9255
335,0.9255
336,0.926
337,0.9255
338,0.9235
339,0.9235
340,0.9235
341,0.923
342,0.923
343,0.923
344,0.926
345,0.926
346,0.9235
347,0.924
348,0.9245
349,0.9245
350,0.9255
351,0.9265
352,0.9275
353,0.928
354,0.9225
355,0.9195
356,0.9185
357,0.9205
358,0.9205
359,0.9205
360,0.9205
361,0.921
362,0.9215
363,0.919
364,0.9195
365,0.92
366,0.923
367,0.924
368,0.92
369,0.9205
370,0.9225
371,0.922
372,0.921
