num_removed,accuracy
0,0.973
1,0.973
2,0.9725
3,0.973
4,0.973
5,0.973
6,0.9725
7,0.9725
8,0.973
9,0.973
10,0.973
11,0.973
12,0.973
13,0.973
14,0.973
15,0.973
16,0.973
17,0.973
18,0.9735
19,0.973
20,0.973
21,0.973
22,0.9725
23,0.9715
24,0.9715
25,0.9715
26,0.9715
27,0.9715
28,0.9715
29,0.9715
30,0.9715
31,0.9715
32,0.9715
33,0.9705
34,0.9705
35,0.9715
36,0.9715
37,0.9715
38,0.97
39,0.97
40,0.97
41,0.9695
42,0.971
43,0.972
44,0.9715
45,0.9715
46,0.9715
47,0.9715
48,0.972
49,0.972
50,0.972
51,0.972
52,0.972
53,0.972
54,0.972
55,0.972
56,0.972
57,0.9725
58,0.9725
59,0.9725
60,0.9725
61,0.9725
62,0.9725
63,0.9725
64,0.9725
65,0.9725
66,0.9725
67,0.9725
68,0.9725
69,0.9725
70,0.9725
71,0.9725
72,0.9725
73,0.9725
74,0.9725
75,0.9725
76,0.9725
77,0.9725
78,0.9725
79,0.9725
80,0.9725
81,0.9725
82,0.9725
83,0.971
84,0.971
85,0.971
86,0.971
87,0.971
88,0.9715
89,0.9715
90,0.9715
91,0.9715
92,0.9715
93,0.9715
94,0.9715
95,0.9715
96,0.9715
97,0.9715
98,0.9725
99,0.9725
100,0.9725
101,0.9725
102,0.9725
103,0.9725
104,0.9725
105,0.9725
106,0.9725
107,0.9725
108,0.9725
109,0.9725
110,0.9725
111,0.972
112,0.972
113,0.972
114,0.972
115,0.972
116,0.972
117,0.972
118,0.972
119,0.972
120,0.972
121,0.971
122,0.971
123,0.971
124,0.971
125,0.971
126,0.971
127,0.971
128,0.971
129,0.971
130,0.971
131,0.971
132,0.9705
133,0.97
134,0.97
135,0.97
136,0.97
137,0.97
138,0.97
139,0.971
140,0.971
141,0.9685
142,0.9685
143,0.968
144,0.9685
145,0.9685
146,0.9685
147,0.968
148,0.968
149,0.968
150,0.968
151,0.968
152,0.9685
153,0.965
154,0.965
155,0.9675
156,0.9675
157,0.968
158,0.969
159,0.969
160,0.969
161,0.969
162,0.97
163,0.97
164,0.97
165,0.97
166,0.972
167,0.972
168,0.972
169,0.9715
170,0.971
171,0.971
172,0.971
173,0.971
174,0.9715
175,0.9715
176,0.9715
177,0.9715
178,0.971
179,0.9715
180,0.9715
181,0.9715
182,0.9715
183,0.9715
184,0.971
185,0.9715
186,0.9705
187,0.9705
188,0.97
189,0.97
190,0.967
191,0.9695
192,0.9695
193,0.969
194,0.969
195,0.969
196,0.969
197,0.969
198,0.969
199,0.969
200,0.969
201,0.969
202,0.969
203,0.969
204,0.97
205,0.9695
206,0.9695
207,0.9695
208,0.9705
209,0.9705
210,0.9705
211,0.9705
212,0.9705
213,0.9705
214,0.9705
215,0.97
216,0.9705
217,0.9705
218,0.9705
219,0.9685
220,0.9685
221,0.968
222,0.968
223,0.968
224,0.968
225,0.9685
226,0.9685
227,0.9685
228,0.9685
229,0.9685
230,0.9685
231,0.9685
232,0.968
233,0.968
234,0.9675
235,0.9675
236,0.9675
237,0.9685
238,0.9685
239,0.9685
240,0.969
241,0.9685
242,0.9685
243,0.9685
244,0.9685
245,0.968
246,0.9685
247,0.9685
248,0.969
249,0.969
250,0.9645
251,0.965
252,0.9645
253,0.9645
254,0.965
255,0.965
256,0.9645
257,0.9645
258,0.9645
259,0.9645
260,0.9645
261,0.9645
262,0.964
263,0.964
264,0.964
265,0.964
266,0.9635
267,0.964
268,0.964
269,0.964
270,0.964
271,0.964
272,0.964
273,0.9625
274,0.963
275,0.964
276,0.9635
277,0.9635
278,0.9635
279,0.964
280,0.964
281,0.9645
282,0.964
283,0.964
284,0.964
285,0.964
286,0.9645
287,0.965
288,0.965
289,0.965
290,0.9645
291,0.964
292,0.964
293,0.9645
294,0.9645
295,0.9645
296,0.9645
297,0.9645
298,0.965
299,0.965
300,0.965
301,0.9635
302,0.963
303,0.9635
304,0.9635
305,0.9625
306,0.962
307,0.965
308,0.9655
309,0.9655
310,0.9655
311,0.9655
312,0.9655
313,0.9655
314,0.9615
315,0.962
316,0.961
317,0.9615
318,0.9605
319,0.9615
320,0.96
321,0.96
322,0.9605
323,0.96
324,0.9595
325,0.96
326,0.96
327,0.96
328,0.9605
329,0.959
330,0.9595
331,0.959
332,0.961
333,0.961
334,0.96
335,0.96
336,0.96
337,0.96
338,0.9605
339,0.961
340,0.961
341,0.961
342,0.961
343,0.9615
344,0.961
345,0.957
346,0.957
347,0.9585
348,0.955
349,0.9555
350,0.9555
351,0.956
352,0.956
353,0.956
354,0.9565
355,0.956
356,0.955
357,0.957
358,0.957
359,0.954
360,0.9545
361,0.954
362,0.954
363,0.955
364,0.954
365,0.9535
366,0.9535
367,0.9535
368,0.9535
369,0.956
370,0.9565
371,0.9565
372,0.9505
373,0.9495
374,0.9495
375,0.9485
376,0.948
377,0.9475
378,0.9475
379,0.9475
380,0.947
381,0.945
382,0.9455
383,0.9465
384,0.947
385,0.947
386,0.944
387,0.937
388,0.9375
389,0.937
390,0.9365
391,0.937
392,0.937
393,0.938
394,0.9405
395,0.939
396,0.932
397,0.932
398,0.933
399,0.931
400,0.93
401,0.929
402,0.928
403,0.928
404,0.928
405,0.9245
406,0.9255
407,0.9255
408,0.921
409,0.922
410,0.9225
411,0.922
412,0.9205
413,0.921
414,0.9215
415,0.9205
416,0.932
417,0.931
418,0.928
419,0.926
420,0.9255
421,0.9275
422,0.9275
423,0.927
424,0.925
425,0.9235
426,0.923
427,0.9235
428,0.9235
429,0.9245
430,0.924
431,0.925
432,0.9235
433,0.925
434,0.926
435,0.905
436,0.901
437,0.906
438,0.906
439,0.9015
440,0.9105
441,0.9075
442,0.902
443,0.902
444,0.9035
445,0.901
446,0.899
447,0.904
448,0.904
449,0.898
450,0.895
451,0.896
452,0.899
453,0.8985
454,0.901
455,0.901
456,0.894
457,0.8875
458,0.8885
459,0.88
460,0.8795
461,0.881
462,0.882
463,0.8545
464,0.852
465,0.8545
466,0.855
467,0.8425
468,0.844
469,0.8575
470,0.857
471,0.853
472,0.8295
473,0.8445
474,0.8465
475,0.837
476,0.8235
477,0.828
478,0.8365
479,0.8445
480,0.83
481,0.8175
482,0.815
483,0.7845
484,0.7925
485,0.784
486,0.712
487,0.7045
488,0.6665
489,0.655
490,0.65
491,0.6295
492,0.6215
493,0.583
494,0.576
495,0.568
496,0.5495
497,0.5475
498,0.565
499,0.5
