num_removed,accuracy
0,0.973
1,0.974
2,0.9745
3,0.974
4,0.974
5,0.974
6,0.974
7,0.972
8,0.972
9,0.9725
10,0.9725
11,0.972
12,0.9725
13,0.973
14,0.9755
15,0.9755
16,0.9755
17,0.976
18,0.976
19,0.976
20,0.9765
21,0.9765
22,0.9765
23,0.9765
24,0.9765
25,0.9765
26,0.9765
27,0.9765
28,0.976
29,0.976
30,0.976
31,0.975
32,0.9745
33,0.9745
34,0.975
35,0.975
36,0.975
37,0.975
38,0.975
39,0.975
40,0.975
41,0.9735
42,0.9745
43,0.9745
44,0.9745
45,0.975
46,0.975
47,0.975
48,0.975
49,0.975
50,0.975
51,0.9745
52,0.975
53,0.9745
54,0.9745
55,0.9745
56,0.9745
57,0.9745
58,0.9745
59,0.9745
60,0.9745
61,0.9745
62,0.9745
63,0.975
64,0.975
65,0.975
66,0.975
67,0.975
68,0.9755
69,0.976
70,0.976
71,0.976
72,0.976
73,0.976
74,0.976
75,0.976
76,0.9755
77,0.9755
78,0.9755
79,0.9755
80,0.9765
81,0.9765
82,0.9765
83,0.9765
84,0.9765
85,0.976
86,0.9755
87,0.976
88,0.976
89,0.976
90,0.976
91,0.976
92,0.976
93,0.976
94,0.976
95,0.976
96,0.976
97,0.976
98,0.976
99,0.976
100,0.976
101,0.976
102,0.976
103,0.976
104,0.976
105,0.976
106,0.976
107,0.976
108,0.976
109,0.976
110,0.976
111,0.976
112,0.976
113,0.976
114,0.976
115,0.9765
116,0.9765
117,0.9765
118,0.9765
119,0.9765
120,0.9765
121,0.9765
122,0.9765
123,0.9765
124,0.9765
125,0.9765
126,0.9765
127,0.9765
128,0.9765
129,0.9765
130,0.9765
131,0.9765
132,0.9765
133,0.9765
134,0.9775
135,0.9775
136,0.977
137,0.977
138,0.977
139,0.977
140,0.977
141,0.977
142,0.977
143,0.977
144,0.9775
145,0.9775
146,0.977
147,0.977
148,0.977
149,0.977
150,0.977
151,0.977
152,0.977
153,0.977
154,0.977
155,0.977
156,0.977
157,0.9765
158,0.9765
159,0.9765
160,0.976
161,0.976
162,0.976
163,0.976
164,0.976
165,0.976
166,0.976
167,0.976
168,0.976
169,0.976
170,0.9765
171,0.9765
172,0.977
173,0.9775
174,0.9775
175,0.9775
176,0.9775
177,0.9775
178,0.9775
179,0.9775
180,0.9775
181,0.978
182,0.978
183,0.978
184,0.9785
185,0.9785
186,0.978
187,0.978
188,0.978
189,0.976
190,0.977
191,0.977
192,0.976
193,0.976
194,0.977
195,0.977
196,0.977
197,0.977
198,0.977
199,0.977
200,0.9765
201,0.9765
202,0.9765
203,0.9765
204,0.9765
205,0.9765
206,0.976
207,0.976
208,0.976
209,0.976
210,0.976
211,0.9765
212,0.9765
213,0.9765
214,0.9765
215,0.9765
216,0.9765
217,0.9765
218,0.976
219,0.9755
220,0.976
221,0.976
222,0.9755
223,0.976
224,0.9755
225,0.9755
226,0.9755
227,0.9755
228,0.976
229,0.976
230,0.976
231,0.975
232,0.975
233,0.9745
234,0.9745
235,0.975
236,0.9755
237,0.9755
238,0.9755
239,0.9755
240,0.975
241,0.9755
242,0.9755
243,0.9755
244,0.9755
245,0.9755
246,0.9755
247,0.9755
248,0.975
249,0.9755
250,0.9755
251,0.9755
252,0.9755
253,0.976
254,0.976
255,0.976
256,0.976
257,0.976
258,0.976
259,0.976
260,0.976
261,0.9755
262,0.9755
263,0.9755
264,0.9755
265,0.9755
266,0.9755
267,0.9745
268,0.9745
269,0.9745
270,0.9745
271,0.9745
272,0.9745
273,0.974
274,0.9745
275,0.9745
276,0.9745
277,0.9745
278,0.9745
279,0.974
280,0.9745
281,0.974
282,0.9745
283,0.974
284,0.974
285,0.9745
286,0.9745
287,0.974
288,0.974
289,0.9735
290,0.974
291,0.974
292,0.9735
293,0.9735
294,0.9735
295,0.973
296,0.973
297,0.973
298,0.973
299,0.973
300,0.9725
301,0.973
302,0.9735
303,0.973
304,0.973
305,0.973
306,0.973
307,0.973
308,0.9725
309,0.9725
310,0.9725
311,0.9725
312,0.9725
313,0.9725
314,0.9725
315,0.973
316,0.974
317,0.974
318,0.9735
319,0.9735
320,0.9735
321,0.9745
322,0.9745
323,0.974
324,0.974
325,0.9735
326,0.973
327,0.9735
328,0.9725
329,0.973
330,0.971
331,0.97
332,0.9695
333,0.97
334,0.9695
335,0.9695
336,0.9705
337,0.9705
338,0.97
339,0.97
340,0.97
341,0.968
342,0.968
343,0.968
344,0.9685
345,0.9685
346,0.9685
347,0.97
348,0.97
349,0.97
350,0.97
351,0.9695
352,0.9695
353,0.97
354,0.97
355,0.97
356,0.9705
357,0.97
358,0.9715
359,0.97
360,0.97
361,0.972
362,0.972
363,0.971
364,0.972
365,0.9715
366,0.971
367,0.9705
368,0.9705
369,0.971
370,0.9705
371,0.971
372,0.9715
373,0.971
374,0.9705
375,0.9705
376,0.9705
377,0.97
378,0.9695
379,0.969
380,0.9695
381,0.97
382,0.97
383,0.9695
384,0.9695
385,0.9695
386,0.969
387,0.97
388,0.9705
389,0.972
390,0.972
391,0.971
392,0.9715
393,0.9715
394,0.971
395,0.9705
396,0.971
397,0.9705
398,0.9705
399,0.97
400,0.9695
401,0.97
402,0.97
403,0.968
404,0.969
405,0.967
406,0.967
407,0.9695
408,0.969
409,0.968
410,0.969
411,0.9695
412,0.97
413,0.9695
414,0.969
415,0.971
416,0.972
417,0.97
418,0.97
419,0.97
420,0.9695
421,0.97
422,0.9695
423,0.97
424,0.9695
425,0.966
426,0.967
427,0.966
428,0.966
429,0.9665
430,0.9655
431,0.962
432,0.961
433,0.9645
434,0.964
435,0.965
436,0.9575
437,0.957
438,0.957
439,0.9535
440,0.952
441,0.955
442,0.9565
443,0.9565
444,0.9545
445,0.9515
446,0.953
447,0.952
448,0.953
449,0.951
450,0.9515
451,0.952
452,0.9535
453,0.9545
454,0.956
455,0.9565
456,0.955
457,0.9535
458,0.9515
459,0.951
460,0.9385
461,0.936
462,0.9365
463,0.931
464,0.927
465,0.926
466,0.9205
467,0.9205
468,0.9185
469,0.905
470,0.9035
471,0.897
472,0.8965
473,0.8995
474,0.8725
475,0.867
476,0.8555
477,0.856
478,0.8575
479,0.8485
480,0.8535
481,0.859
482,0.8555
483,0.821
484,0.807
485,0.8015
486,0.793
487,0.803
488,0.7835
489,0.797
490,0.796
491,0.7875
492,0.8255
493,0.7955
494,0.805
495,0.7445
496,0.72
497,0.766
498,0.4825
499,0.5
