num_removed,accuracy
0,0.9705
1,0.9705
2,0.9705
3,0.9715
4,0.9705
5,0.9685
6,0.9695
7,0.9685
8,0.9685
9,0.9695
10,0.9685
11,0.9695
12,0.97
13,0.97
14,0.9695
15,0.9695
16,0.9695
17,0.9695
18,0.9685
19,0.969
20,0.9685
21,0.9675
22,0.967
23,0.9665
24,0.9645
25,0.965
26,0.965
27,0.9655
28,0.965
29,0.9665
30,0.9665
31,0.964
32,0.9655
33,0.963
34,0.9615
35,0.962
36,0.962
37,0.963
38,0.963
39,0.9625
40,0.9625
41,0.9625
42,0.9625
43,0.9625
44,0.9625
45,0.962
46,0.962
47,0.9625
48,0.9625
49,0.9625
50,0.9615
51,0.9615
52,0.9615
53,0.9615
54,0.9625
55,0.9625
56,0.9625
57,0.962
58,0.962
59,0.962
60,0.962
61,0.962
62,0.9615
63,0.9615
64,0.9615
65,0.9615
66,0.9615
67,0.9615
68,0.9615
69,0.9615
70,0.9615
71,0.9615
72,0.9615
73,0.9615
74,0.9615
75,0.962
76,0.961
77,0.961
78,0.961
79,0.961
80,0.961
81,0.961
82,0.961
83,0.961
84,0.961
85,0.961
86,0.963
87,0.963
88,0.9635
89,0.963
90,0.963
91,0.9625
92,0.9625
93,0.9625
94,0.963
95,0.963
96,0.963
97,0.9635
98,0.9635
99,0.9635
100,0.963
101,0.963
102,0.9635
103,0.9635
104,0.9635
105,0.9635
106,0.9635
107,0.963
108,0.963
109,0.9635
110,0.9635
111,0.9635
112,0.9635
113,0.9635
114,0.9575
115,0.958
116,0.958
117,0.958
118,0.959
119,0.955
120,0.9555
121,0.9555
122,0.9535
123,0.9535
124,0.9535
125,0.9535
126,0.9535
127,0.954
128,0.9535
129,0.954
130,0.954
131,0.954
132,0.9515
133,0.9515
134,0.9515
135,0.9515
136,0.951
137,0.951
138,0.951
139,0.951
140,0.951
141,0.951
142,0.9515
143,0.9515
144,0.9515
145,0.952
146,0.952
147,0.9515
148,0.9515
149,0.952
150,0.951
151,0.951
152,0.951
153,0.9515
154,0.9515
155,0.9515
156,0.951
157,0.951
158,0.95
159,0.9495
160,0.9495
161,0.9495
162,0.95
163,0.95
164,0.949
165,0.949
166,0.9485
167,0.9465
168,0.946
169,0.946
170,0.9465
171,0.946
172,0.9465
173,0.947
174,0.947
175,0.947
176,0.9475
177,0.9475
178,0.9475
179,0.948
180,0.9485
181,0.9485
182,0.948
183,0.95
184,0.949
185,0.9495
186,0.949
187,0.9495
188,0.95
189,0.95
190,0.9485
191,0.949
192,0.9495
193,0.949
194,0.949
195,0.9495
196,0.9495
197,0.949
198,0.95
199,0.9485
200,0.948
201,0.9475
202,0.9475
203,0.947
204,0.946
205,0.946
206,0.9455
207,0.9455
208,0.946
209,0.9465
210,0.947
211,0.947
212,0.947
213,0.947
214,0.947
215,0.947
216,0.9465
217,0.9475
218,0.948
219,0.948
220,0.948
221,0.9525
222,0.952
223,0.952
224,0.9525
225,0.9515
226,0.952
227,0.9515
228,0.9515
229,0.9485
230,0.9485
231,0.948
232,0.948
233,0.948
234,0.948
235,0.946
236,0.946
237,0.942
238,0.941
239,0.941
240,0.9395
241,0.9395
242,0.9325
243,0.9325
244,0.932
245,0.932
246,0.9325
247,0.9315
248,0.932
249,0.932
250,0.917
251,0.917
252,0.912
253,0.9025
254,0.8735
255,0.7885
256,0.749
257,0.747
258,0.747
259,0.747
260,0.7465
261,0.7465
262,0.7495
263,0.7505
264,0.7495
265,0.7495
266,0.75
267,0.75
268,0.7505
269,0.751
270,0.751
271,0.755
272,0.7555
273,0.752
274,0.75
275,0.7515
276,0.754
277,0.7545
278,0.7535
279,0.749
280,0.75
281,0.753
282,0.753
283,0.753
284,0.7625
285,0.7625
286,0.7625
287,0.762
288,0.7615
289,0.762
290,0.671
291,0.6705
292,0.6705
293,0.6725
294,0.6735
295,0.674
296,0.6735
297,0.674
298,0.674
299,0.6785
300,0.677
301,0.677
302,0.677
303,0.676
304,0.677
305,0.6765
306,0.6785
307,0.6805
308,0.6805
309,0.6805
310,0.68
311,0.679
312,0.6785
313,0.6805
314,0.675
315,0.676
316,0.6765
317,0.6765
318,0.676
319,0.676
320,0.676
321,0.676
322,0.676
323,0.676
324,0.677
325,0.6765
326,0.679
327,0.6785
328,0.677
329,0.6735
330,0.6725
331,0.6725
332,0.6715
333,0.6715
334,0.67
335,0.6695
336,0.6705
337,0.672
338,0.672
339,0.664
340,0.6645
341,0.664
342,0.6635
343,0.6635
344,0.636
345,0.637
346,0.637
347,0.637
348,0.635
349,0.626
350,0.625
351,0.6265
352,0.6265
353,0.6265
354,0.6265
355,0.6295
356,0.629
357,0.627
358,0.6275
359,0.6275
360,0.628
361,0.626
362,0.6255
363,0.6305
364,0.63
365,0.63
366,0.63
367,0.6275
368,0.631
369,0.631
370,0.6305
371,0.629
372,0.6285
373,0.629
374,0.6275
375,0.6345
376,0.634
377,0.6225
378,0.623
379,0.6235
380,0.6205
381,0.62
382,0.6205
383,0.621
384,0.621
385,0.6205
386,0.6205
387,0.6205
388,0.6225
389,0.6205
390,0.613
391,0.6135
392,0.612
393,0.616
394,0.6155
395,0.615
396,0.6165
397,0.617
398,0.6165
399,0.6165
400,0.614
401,0.6155
402,0.613
403,0.6125
404,0.6085
405,0.61
406,0.6085
407,0.608
408,0.6085
409,0.613
410,0.6045
411,0.5585
412,0.5355
413,0.5225
414,0.5225
415,0.523
416,0.522
417,0.5235
418,0.523
419,0.5315
420,0.5305
421,0.5315
422,0.5285
423,0.528
424,0.528
425,0.528
426,0.528
427,0.528
428,0.527
429,0.527
430,0.5265
431,0.5295
432,0.53
433,0.5305
434,0.5305
435,0.53
436,0.53
437,0.532
438,0.5315
439,0.5335
440,0.534
441,0.534
442,0.534
443,0.5335
444,0.5335
445,0.534
446,0.536
447,0.5365
448,0.5365
449,0.537
450,0.5375
451,0.536
452,0.5375
453,0.5385
454,0.5385
455,0.538
456,0.5365
457,0.54
458,0.54
459,0.54
460,0.5405
461,0.54
462,0.54
463,0.542
464,0.5425
465,0.5405
466,0.5405
467,0.543
468,0.5445
469,0.5445
470,0.545
471,0.545
472,0.5445
473,0.5405
474,0.5425
475,0.5425
476,0.546
477,0.549
478,0.553
479,0.5495
480,0.5435
481,0.5375
482,0.54
483,0.54
484,0.514
485,0.518
486,0.5235
