num_removed,accuracy
0,0.9705
1,0.97
2,0.9705
3,0.97
4,0.971
5,0.9705
6,0.9715
7,0.965
8,0.965
9,0.967
10,0.9675
11,0.967
12,0.967
13,0.9675
14,0.9675
15,0.967
16,0.9675
17,0.9675
18,0.967
19,0.967
20,0.967
21,0.967
22,0.968
23,0.968
24,0.967
25,0.967
26,0.9675
27,0.9675
28,0.9675
29,0.9675
30,0.9675
31,0.9675
32,0.9675
33,0.967
34,0.967
35,0.9655
36,0.9655
37,0.9655
38,0.9675
39,0.9675
40,0.9675
41,0.9675
42,0.9675
43,0.9675
44,0.9675
45,0.9675
46,0.9675
47,0.9675
48,0.9675
49,0.9675
50,0.967
51,0.967
52,0.967
53,0.967
54,0.9675
55,0.9675
56,0.9675
57,0.9675
58,0.9675
59,0.9675
60,0.9675
61,0.9675
62,0.9665
63,0.9665
64,0.9665
65,0.9665
66,0.9665
67,0.9665
68,0.9665
69,0.9665
70,0.9665
71,0.9665
72,0.9665
73,0.9665
74,0.9665
75,0.9655
76,0.9655
77,0.966
78,0.966
79,0.9655
80,0.9655
81,0.966
82,0.966
83,0.966
84,0.966
85,0.966
86,0.966
87,0.966
88,0.966
89,0.966
90,0.966
91,0.967
92,0.967
93,0.968
94,0.968
95,0.9675
96,0.968
97,0.9675
98,0.9675
99,0.9675
100,0.9675
101,0.9675
102,0.9675
103,0.967
104,0.9665
105,0.967
106,0.967
107,0.967
108,0.967
109,0.9665
110,0.9665
111,0.968
112,0.968
113,0.968
114,0.968
115,0.968
116,0.968
117,0.968
118,0.968
119,0.968
120,0.968
121,0.968
122,0.968
123,0.968
124,0.968
125,0.969
126,0.9685
127,0.969
128,0.969
129,0.9685
130,0.9685
131,0.9685
132,0.9685
133,0.9685
134,0.969
135,0.969
136,0.969
137,0.969
138,0.969
139,0.9695
140,0.9695
141,0.9695
142,0.9695
143,0.9695
144,0.9695
145,0.9695
146,0.9695
147,0.9695
148,0.9695
149,0.9685
150,0.9685
151,0.9685
152,0.9685
153,0.9685
154,0.969
155,0.969
156,0.969
157,0.969
158,0.969
159,0.969
160,0.969
161,0.969
162,0.9695
163,0.9695
164,0.9695
165,0.9695
166,0.9695
167,0.9695
168,0.969
169,0.969
170,0.969
171,0.9695
172,0.9695
173,0.97
174,0.97
175,0.97
176,0.97
177,0.9705
178,0.9705
179,0.97
180,0.9695
181,0.9695
182,0.97
183,0.969
184,0.969
185,0.969
186,0.9685
187,0.969
188,0.9685
189,0.9685
190,0.9685
191,0.9685
192,0.969
193,0.9685
194,0.9685
195,0.9685
196,0.969
197,0.969
198,0.969
199,0.968
200,0.968
201,0.9685
202,0.965
203,0.9655
204,0.9635
205,0.964
206,0.964
207,0.964
208,0.964
209,0.964
210,0.964
211,0.963
212,0.964
213,0.964
214,0.963
215,0.964
216,0.964
217,0.959
218,0.96
219,0.959
220,0.956
221,0.956
222,0.958
223,0.959
224,0.9595
225,0.9595
226,0.958
227,0.9585
228,0.9555
229,0.957
230,0.9565
231,0.957
232,0.9565
233,0.9565
234,0.955
235,0.9545
236,0.941
237,0.939
238,0.941
239,0.9415
240,0.9405
241,0.937
242,0.937
243,0.937
244,0.9365
245,0.9365
246,0.9365
247,0.936
248,0.936
249,0.9375
250,0.937
251,0.937
252,0.937
253,0.937
254,0.937
255,0.937
256,0.937
257,0.937
258,0.937
259,0.9375
260,0.9375
261,0.9355
262,0.9365
263,0.9365
264,0.9365
265,0.936
266,0.936
267,0.9355
268,0.9365
269,0.9365
270,0.9365
271,0.9355
272,0.9355
273,0.935
274,0.9345
275,0.9345
276,0.935
277,0.934
278,0.9335
279,0.934
280,0.9335
281,0.9335
282,0.9335
283,0.933
284,0.9335
285,0.9335
286,0.9335
287,0.931
288,0.932
289,0.932
290,0.932
291,0.932
292,0.934
293,0.934
294,0.934
295,0.934
296,0.9335
297,0.9335
298,0.933
299,0.933
300,0.933
301,0.9325
302,0.932
303,0.932
304,0.9305
305,0.9305
306,0.9305
307,0.93
308,0.929
309,0.9285
310,0.9315
311,0.929
312,0.93
313,0.93
314,0.926
315,0.919
316,0.9185
317,0.919
318,0.9135
319,0.914
320,0.914
321,0.9135
322,0.911
323,0.9105
324,0.9105
325,0.918
326,0.918
327,0.918
328,0.9185
329,0.918
330,0.918
331,0.9185
332,0.9175
333,0.9185
334,0.918
335,0.9165
336,0.9155
337,0.915
338,0.915
339,0.909
340,0.9095
341,0.9105
342,0.911
343,0.9105
344,0.91
345,0.9095
346,0.9095
347,0.909
348,0.913
349,0.9125
350,0.912
351,0.9115
352,0.909
353,0.909
354,0.9085
355,0.9085
356,0.9075
357,0.9095
358,0.9095
359,0.909
360,0.909
361,0.909
362,0.909
363,0.907
364,0.906
365,0.9055
366,0.9045
367,0.9045
368,0.9035
369,0.9055
370,0.904
371,0.9
372,0.9025
373,0.9005
374,0.9015
375,0.901
376,0.872
377,0.8735
378,0.873
379,0.873
380,0.873
381,0.8745
382,0.8795
383,0.872
384,0.8725
385,0.871
386,0.8705
387,0.87
388,0.8695
389,0.8685
390,0.869
391,0.8675
392,0.867
393,0.8695
394,0.865
395,0.8645
396,0.861
397,0.8625
398,0.8605
399,0.857
400,0.861
401,0.858
402,0.8595
403,0.8605
404,0.862
405,0.862
406,0.8515
407,0.853
408,0.8525
409,0.852
410,0.85
411,0.854
412,0.854
413,0.8555
414,0.8555
415,0.859
416,0.856
417,0.8555
418,0.854
419,0.8545
420,0.8525
421,0.8505
422,0.85
423,0.785
424,0.7915
425,0.7865
426,0.7945
427,0.7935
428,0.7915
429,0.7935
430,0.7905
431,0.797
432,0.795
433,0.794
434,0.792
435,0.7895
436,0.787
437,0.789
438,0.7855
439,0.786
440,0.7885
441,0.7845
442,0.781
443,0.7835
444,0.7845
445,0.784
446,0.783
447,0.7805
448,0.785
449,0.788
450,0.7775
451,0.7725
452,0.7675
453,0.768
454,0.768
455,0.743
456,0.757
457,0.7555
458,0.7555
459,0.746
460,0.7465
461,0.746
462,0.7415
463,0.7315
464,0.737
465,0.7365
466,0.729
467,0.7255
468,0.714
469,0.714
470,0.69
471,0.687
472,0.6735
473,0.674
474,0.6925
475,0.6995
476,0.695
477,0.686
478,0.6755
479,0.6765
480,0.669
481,0.6635
482,0.6605
483,0.649
484,0.637
485,0.6325
486,0.629
487,0.6285
488,0.629
489,0.578
490,0.601
491,0.5515
492,0.5015
493,0.4865
494,0.511
495,0.509
496,0.495
497,0.5035
498,0.5555
499,0.5
