num_removed,accuracy
0,0.9705
1,0.971
2,0.971
3,0.971
4,0.971
5,0.9715
6,0.9715
7,0.97
8,0.97
9,0.9695
10,0.97
11,0.9695
12,0.9695
13,0.966
14,0.9665
15,0.967
16,0.9675
17,0.966
18,0.9645
19,0.965
20,0.965
21,0.965
22,0.965
23,0.965
24,0.9635
25,0.964
26,0.9635
27,0.9635
28,0.963
29,0.963
30,0.963
31,0.963
32,0.9625
33,0.9625
34,0.9625
35,0.9625
36,0.9625
37,0.963
38,0.963
39,0.9625
40,0.9625
41,0.9625
42,0.9625
43,0.9625
44,0.9625
45,0.9625
46,0.962
47,0.9605
48,0.96
49,0.96
50,0.961
51,0.961
52,0.9615
53,0.9615
54,0.9615
55,0.9545
56,0.957
57,0.9565
58,0.9565
59,0.9565
60,0.9565
61,0.9565
62,0.956
63,0.956
64,0.956
65,0.956
66,0.956
67,0.956
68,0.956
69,0.9565
70,0.956
71,0.956
72,0.956
73,0.956
74,0.955
75,0.955
76,0.9525
77,0.953
78,0.953
79,0.953
80,0.9515
81,0.9515
82,0.952
83,0.952
84,0.952
85,0.951
86,0.9515
87,0.951
88,0.9505
89,0.9505
90,0.9505
91,0.9505
92,0.9505
93,0.9505
94,0.9505
95,0.9505
96,0.951
97,0.951
98,0.9505
99,0.9495
100,0.9485
101,0.9485
102,0.9485
103,0.9485
104,0.9485
105,0.9485
106,0.949
107,0.949
108,0.949
109,0.949
110,0.9485
111,0.9485
112,0.9485
113,0.9495
114,0.949
115,0.949
116,0.949
117,0.949
118,0.949
119,0.9495
120,0.9495
121,0.9495
122,0.949
123,0.9495
124,0.9475
125,0.9465
126,0.9465
127,0.947
128,0.947
129,0.9465
130,0.9465
131,0.9475
132,0.947
133,0.947
134,0.9435
135,0.9435
136,0.9445
137,0.9495
138,0.949
139,0.9485
140,0.949
141,0.949
142,0.949
143,0.949
144,0.949
145,0.949
146,0.949
147,0.9495
148,0.9445
149,0.9435
150,0.9435
151,0.9415
152,0.9415
153,0.935
154,0.9345
155,0.935
156,0.933
157,0.933
158,0.9315
159,0.931
160,0.931
161,0.9315
162,0.9315
163,0.9315
164,0.931
165,0.931
166,0.9305
167,0.933
168,0.932
169,0.9315
170,0.9305
171,0.931
172,0.931
173,0.931
174,0.931
175,0.93
176,0.93
177,0.93
178,0.93
179,0.93
180,0.93
181,0.93
182,0.93
183,0.93
184,0.9295
185,0.9295
186,0.9295
187,0.93
188,0.93
189,0.924
190,0.924
191,0.924
192,0.924
193,0.9245
194,0.925
195,0.9245
196,0.927
197,0.927
198,0.927
199,0.9265
200,0.927
201,0.9185
202,0.918
203,0.9175
204,0.9175
205,0.9175
206,0.9175
207,0.9175
208,0.9145
209,0.9155
210,0.9155
211,0.915
212,0.915
213,0.9145
214,0.9145
215,0.9135
216,0.9135
217,0.9135
218,0.9105
219,0.9105
220,0.9105
221,0.9095
222,0.909
223,0.9085
224,0.9095
225,0.909
226,0.9095
227,0.9055
228,0.903
229,0.903
230,0.9035
231,0.9025
232,0.9025
233,0.9025
234,0.9025
235,0.9025
236,0.9025
237,0.8995
238,0.8975
239,0.897
240,0.8975
241,0.8975
242,0.8975
243,0.8975
244,0.8995
245,0.8995
246,0.8995
247,0.9
248,0.8975
249,0.897
250,0.893
251,0.897
252,0.8955
253,0.8915
254,0.893
255,0.893
256,0.8925
257,0.893
258,0.893
259,0.8915
260,0.8915
261,0.8915
262,0.8915
263,0.8915
264,0.8895
265,0.8895
266,0.89
267,0.889
268,0.889
269,0.888
270,0.888
271,0.8915
272,0.892
273,0.892
274,0.8895
275,0.8805
276,0.8745
277,0.8735
278,0.873
279,0.8725
280,0.8725
281,0.8725
282,0.8765
283,0.8745
284,0.8745
285,0.874
286,0.8745
287,0.8665
288,0.869
289,0.869
290,0.8695
291,0.8635
292,0.8635
293,0.863
294,0.8565
295,0.8565
296,0.8565
297,0.856
298,0.8555
299,0.855
300,0.855
301,0.855
302,0.855
303,0.8555
304,0.8555
305,0.856
306,0.856
307,0.856
308,0.851
309,0.8505
310,0.8505
311,0.8505
312,0.8505
313,0.849
314,0.849
315,0.844
316,0.8455
317,0.848
318,0.848
319,0.848
320,0.8465
321,0.845
322,0.8335
323,0.833
324,0.8315
325,0.8245
326,0.8235
327,0.8245
328,0.8245
329,0.824
330,0.825
331,0.823
332,0.8225
333,0.82
334,0.8215
335,0.82
336,0.821
337,0.8215
338,0.822
339,0.822
340,0.823
341,0.821
342,0.822
343,0.822
344,0.815
345,0.815
346,0.815
347,0.815
348,0.815
349,0.808
350,0.8075
351,0.809
352,0.8085
353,0.809
354,0.8
355,0.796
356,0.7935
357,0.794
358,0.793
359,0.7935
360,0.793
361,0.79
362,0.7865
363,0.7865
364,0.787
365,0.767
366,0.7675
367,0.769
368,0.7685
369,0.7685
370,0.7685
371,0.767
372,0.764
373,0.7645
374,0.7645
375,0.7595
376,0.7395
377,0.726
378,0.712
379,0.7115
380,0.711
381,0.7135
382,0.7165
383,0.7165
384,0.716
385,0.716
386,0.7165
387,0.716
388,0.7135
389,0.7145
390,0.7135
391,0.7155
392,0.7215
393,0.72
394,0.71
395,0.71
396,0.7105
397,0.7125
398,0.7015
399,0.6995
400,0.6905
401,0.6905
402,0.688
403,0.6875
404,0.687
405,0.6865
406,0.6875
407,0.6885
408,0.6905
409,0.6885
410,0.691
411,0.6915
412,0.6905
413,0.675
414,0.6735
415,0.673
416,0.675
417,0.676
418,0.682
419,0.6805
420,0.6785
421,0.679
422,0.6795
423,0.6855
424,0.6865
425,0.686
426,0.687
427,0.688
428,0.6845
429,0.682
430,0.681
431,0.6805
432,0.6805
433,0.68
434,0.671
435,0.673
436,0.6705
437,0.671
438,0.6785
439,0.678
440,0.677
441,0.675
442,0.6815
443,0.6785
444,0.6735
445,0.669
446,0.672
447,0.6655
448,0.6655
449,0.657
450,0.648
451,0.6455
452,0.6475
453,0.6475
454,0.6465
455,0.652
456,0.653
457,0.642
458,0.6415
459,0.6285
460,0.628
461,0.632
462,0.6305
463,0.625
464,0.6315
465,0.627
466,0.625
467,0.613
468,0.579
469,0.5755
470,0.5735
471,0.57
472,0.5695
