num_removed,accuracy
0,0.9625
1,0.966
2,0.9645
3,0.9645
4,0.965
5,0.965
6,0.9645
7,0.9645
8,0.9645
9,0.9645
10,0.965
11,0.9645
12,0.9645
13,0.964
14,0.9635
15,0.9635
16,0.963
17,0.963
18,0.963
19,0.962
20,0.962
21,0.962
22,0.962
23,0.962
24,0.962
25,0.965
26,0.965
27,0.965
28,0.9625
29,0.9625
30,0.9625
31,0.9625
32,0.9625
33,0.9625
34,0.9625
35,0.9625
36,0.9625
37,0.9625
38,0.962
39,0.9635
40,0.9635
41,0.963
42,0.963
43,0.964
44,0.964
45,0.964
46,0.964
47,0.964
48,0.964
49,0.964
50,0.964
51,0.964
52,0.964
53,0.964
54,0.964
55,0.963
56,0.963
57,0.963
58,0.963
59,0.963
60,0.963
61,0.963
62,0.963
63,0.962
64,0.962
65,0.962
66,0.962
67,0.962
68,0.963
69,0.963
70,0.963
71,0.963
72,0.963
73,0.963
74,0.963
75,0.963
76,0.963
77,0.963
78,0.965
79,0.965
80,0.9645
81,0.965
82,0.9645
83,0.965
84,0.965
85,0.965
86,0.965
87,0.9635
88,0.9635
89,0.9635
90,0.9635
91,0.9635
92,0.9635
93,0.9635
94,0.9635
95,0.9635
96,0.9635
97,0.9635
98,0.9635
99,0.9635
100,0.9635
101,0.962
102,0.962
103,0.962
104,0.962
105,0.962
106,0.962
107,0.962
108,0.962
109,0.961
110,0.9605
111,0.9605
112,0.9595
113,0.9595
114,0.96
115,0.96
116,0.96
117,0.9605
118,0.9605
119,0.961
120,0.9605
121,0.961
122,0.9605
123,0.9605
124,0.961
125,0.9615
126,0.961
127,0.961
128,0.961
129,0.961
130,0.961
131,0.9615
132,0.9615
133,0.9615
134,0.9615
135,0.962
136,0.962
137,0.962
138,0.962
139,0.962
140,0.963
141,0.963
142,0.9625
143,0.962
144,0.962
145,0.962
146,0.9625
147,0.9625
148,0.9625
149,0.9615
150,0.9615
151,0.9615
152,0.9615
153,0.962
154,0.962
155,0.962
156,0.96
157,0.96
158,0.9605
159,0.9605
160,0.9605
161,0.9605
162,0.9605
163,0.961
164,0.961
165,0.961
166,0.961
167,0.961
168,0.9605
169,0.9605
170,0.9605
171,0.96
172,0.96
173,0.96
174,0.96
175,0.96
176,0.96
177,0.96
178,0.96
179,0.96
180,0.96
181,0.96
182,0.96
183,0.96
184,0.96
