num_removed,accuracy
0,0.9825
1,0.9835
2,0.9835
3,0.9835
4,0.9835
5,0.9835
6,0.9845
7,0.9845
8,0.9845
9,0.9845
10,0.9845
11,0.984
12,0.9845
13,0.9845
14,0.9845
15,0.9845
16,0.9845
17,0.9845
18,0.984
19,0.9835
20,0.9835
21,0.9835
22,0.9835
23,0.9835
24,0.984
25,0.9825
26,0.9825
27,0.9815
28,0.9815
29,0.9815
30,0.9815
31,0.9815
32,0.9815
33,0.9815
34,0.9815
35,0.9815
36,0.9815
37,0.9815
38,0.981
39,0.9815
40,0.982
41,0.982
42,0.982
43,0.982
44,0.982
45,0.982
46,0.982
47,0.982
48,0.982
49,0.982
50,0.9825
51,0.9825
52,0.9825
53,0.9825
54,0.983
55,0.983
56,0.983
57,0.983
58,0.983
59,0.983
60,0.983
61,0.983
62,0.9835
63,0.9835
64,0.9835
65,0.9835
66,0.9835
67,0.983
68,0.983
69,0.983
70,0.983
71,0.983
72,0.983
73,0.9835
74,0.984
75,0.984
76,0.984
77,0.9835
78,0.9835
79,0.9835
80,0.9835
81,0.983
82,0.983
83,0.983
84,0.9835
85,0.9835
86,0.9835
87,0.9835
88,0.9835
89,0.9835
90,0.9835
91,0.984
92,0.984
93,0.984
94,0.984
95,0.984
96,0.984
97,0.9835
98,0.9835
99,0.9835
100,0.9835
101,0.9835
102,0.984
103,0.984
104,0.984
105,0.984
106,0.984
107,0.984
108,0.9835
109,0.9835
110,0.9835
111,0.9835
112,0.9835
113,0.9835
114,0.983
115,0.983
116,0.983
117,0.983
118,0.983
119,0.983
120,0.983
121,0.983
122,0.983
123,0.981
124,0.981
125,0.9795
126,0.9795
127,0.9815
128,0.981
129,0.981
130,0.9815
131,0.9815
132,0.9815
133,0.9815
134,0.9815
135,0.981
136,0.981
137,0.9815
138,0.9815
139,0.9815
140,0.9815
141,0.9815
142,0.9815
143,0.982
144,0.982
145,0.982
146,0.982
147,0.98
148,0.98
149,0.9805
150,0.981
151,0.981
152,0.9815
153,0.9815
154,0.9815
155,0.9815
156,0.9815
157,0.9815
158,0.9815
159,0.982
160,0.9815
161,0.9815
162,0.9815
163,0.982
164,0.9825
165,0.9825
166,0.9815
167,0.9815
168,0.982
169,0.9815
170,0.981
171,0.981
172,0.981
173,0.981
174,0.981
175,0.981
176,0.9815
177,0.9815
178,0.9815
179,0.9815
180,0.9815
181,0.9815
182,0.9815
183,0.981
184,0.981
185,0.981
186,0.981
187,0.981
188,0.981
189,0.981
190,0.981
191,0.981
192,0.981
193,0.9805
194,0.9805
195,0.981
196,0.9805
197,0.981
198,0.981
199,0.981
200,0.981
201,0.981
202,0.981
203,0.981
204,0.981
205,0.981
206,0.981
207,0.981
208,0.9815
209,0.98
210,0.9805
211,0.9805
212,0.9805
213,0.9815
214,0.9815
215,0.9815
216,0.981
217,0.9815
218,0.981
219,0.981
220,0.981
221,0.981
222,0.981
223,0.981
224,0.9805
225,0.9805
226,0.9805
227,0.9805
228,0.98
229,0.98
230,0.98
231,0.98
232,0.98
233,0.98
234,0.98
235,0.98
236,0.98
237,0.98
238,0.98
239,0.98
240,0.98
241,0.98
242,0.98
243,0.98
244,0.98
245,0.98
246,0.98
247,0.98
248,0.98
249,0.98
250,0.979
251,0.979
252,0.979
253,0.979
254,0.9795
255,0.9795
256,0.9795
257,0.9795
258,0.9795
259,0.979
260,0.9785
261,0.9785
262,0.9785
263,0.978
264,0.9785
265,0.978
266,0.9785
267,0.9785
268,0.9785
269,0.9815
270,0.9815
271,0.9815
272,0.9815
273,0.9815
274,0.9815
275,0.9815
276,0.9815
277,0.9815
278,0.9815
279,0.9815
280,0.9815
281,0.9815
282,0.9815
283,0.9815
284,0.981
285,0.9815
286,0.9815
287,0.981
288,0.981
289,0.981
290,0.981
291,0.9815
292,0.9805
293,0.9805
294,0.9805
295,0.981
296,0.9805
297,0.9805
298,0.9805
299,0.981
300,0.981
301,0.9815
302,0.982
303,0.982
304,0.982
305,0.982
306,0.982
307,0.982
308,0.982
309,0.982
310,0.9815
311,0.981
312,0.981
313,0.981
314,0.9815
315,0.9815
316,0.9815
317,0.9815
318,0.9815
319,0.981
320,0.981
321,0.981
322,0.981
323,0.981
324,0.981
325,0.981
326,0.9805
327,0.9805
328,0.9805
329,0.9805
330,0.9805
331,0.9805
332,0.9805
333,0.9805
334,0.9805
335,0.9805
336,0.9805
337,0.9805
338,0.9805
339,0.9805
340,0.9785
341,0.9785
342,0.9785
343,0.9785
344,0.977
345,0.977
346,0.9775
347,0.977
348,0.9785
349,0.978
350,0.978
351,0.978
352,0.978
353,0.977
354,0.9765
355,0.9775
356,0.9765
357,0.9765
358,0.976
359,0.976
360,0.9755
361,0.9755
362,0.976
363,0.9765
364,0.977
365,0.9765
366,0.9735
367,0.9745
368,0.9735
369,0.9735
370,0.974
371,0.9745
372,0.9745
373,0.9745
374,0.974
375,0.9745
376,0.973
377,0.9725
378,0.9725
379,0.973
380,0.9735
381,0.9735
382,0.9735
383,0.9735
384,0.972
385,0.972
386,0.9725
387,0.9705
388,0.9705
389,0.97
390,0.97
391,0.9695
392,0.9705
393,0.971
394,0.971
395,0.971
396,0.972
397,0.9715
398,0.9715
399,0.972
400,0.97
401,0.965
402,0.9645
403,0.964
404,0.9645
405,0.965
406,0.9645
407,0.965
408,0.9655
409,0.9655
410,0.9665
411,0.966
412,0.966
413,0.966
414,0.9645
415,0.965
416,0.9645
417,0.965
418,0.962
419,0.963
420,0.964
421,0.964
422,0.964
423,0.9625
424,0.9625
425,0.9635
426,0.96
427,0.963
428,0.9625
429,0.962
430,0.962
431,0.9625
432,0.9605
433,0.9605
434,0.955
435,0.9575
436,0.9575
437,0.9585
438,0.946
439,0.9475
440,0.9465
441,0.9465
442,0.9545
443,0.9515
444,0.95
445,0.949
446,0.952
447,0.9555
448,0.957
449,0.9585
450,0.96
451,0.9585
452,0.959
453,0.9585
454,0.9575
455,0.9585
456,0.9575
457,0.9585
458,0.9615
459,0.959
460,0.9585
461,0.9405
462,0.942
463,0.9465
464,0.944
465,0.9385
466,0.936
467,0.929
468,0.9295
469,0.9335
470,0.9305
471,0.925
472,0.926
473,0.915
474,0.9145
475,0.9125
476,0.904
477,0.8995
478,0.8955
479,0.888
480,0.885
481,0.909
482,0.895
483,0.8855
484,0.893
485,0.872
486,0.862
487,0.846
488,0.794
489,0.7805
490,0.7765
491,0.77
492,0.763
493,0.763
494,0.699
495,0.6805
496,0.519
497,0.519
498,0.519
499,0.519
