num_removed,accuracy
0,0.9825
1,0.9835
2,0.984
3,0.984
4,0.984
5,0.984
6,0.984
7,0.984
8,0.984
9,0.984
10,0.984
11,0.984
12,0.9835
13,0.9835
14,0.9835
15,0.9835
16,0.9835
17,0.9835
18,0.9835
19,0.9835
20,0.9835
21,0.983
22,0.983
23,0.983
24,0.9825
25,0.9825
26,0.9825
27,0.9825
28,0.9825
29,0.9825
30,0.9825
31,0.9825
32,0.9825
33,0.9825
34,0.9825
35,0.9825
36,0.9825
37,0.983
38,0.983
39,0.983
40,0.9845
41,0.9845
42,0.9845
43,0.9845
44,0.9845
45,0.9845
46,0.9845
47,0.9845
48,0.9845
49,0.9845
50,0.985
51,0.985
52,0.985
53,0.985
54,0.985
55,0.985
56,0.985
57,0.985
58,0.983
59,0.983
60,0.983
61,0.983
62,0.983
63,0.983
64,0.983
65,0.983
66,0.9835
67,0.9835
68,0.9835
69,0.9835
70,0.9835
71,0.9835
72,0.9835
73,0.9835
74,0.9835
75,0.9835
76,0.9835
77,0.9835
78,0.9835
79,0.9835
80,0.983
81,0.983
82,0.982
83,0.982
84,0.982
85,0.982
86,0.982
87,0.9825
88,0.9825
89,0.9825
90,0.9825
91,0.9825
92,0.982
93,0.9835
94,0.9835
95,0.9835
96,0.983
97,0.9825
98,0.9825
99,0.9825
100,0.983
101,0.9825
102,0.9825
103,0.9825
104,0.9825
105,0.9825
106,0.9825
107,0.9825
108,0.9815
109,0.9815
110,0.9815
111,0.9815
112,0.9815
113,0.9815
114,0.981
115,0.981
116,0.981
117,0.981
118,0.981
119,0.981
120,0.981
121,0.981
122,0.981
123,0.981
124,0.981
125,0.981
126,0.981
127,0.9815
128,0.981
129,0.981
130,0.981
131,0.981
132,0.981
133,0.981
134,0.981
135,0.9815
136,0.981
137,0.981
138,0.981
139,0.981
140,0.981
141,0.981
142,0.981
143,0.981
144,0.981
145,0.9815
146,0.981
147,0.981
148,0.981
149,0.981
150,0.981
151,0.981
152,0.981
153,0.981
154,0.981
155,0.981
156,0.981
157,0.981
158,0.981
159,0.981
160,0.981
161,0.9815
162,0.981
163,0.981
164,0.981
165,0.9805
166,0.9805
167,0.981
168,0.9795
169,0.9795
170,0.9805
171,0.9795
172,0.979
173,0.9785
174,0.9785
175,0.9805
176,0.9805
177,0.9805
178,0.9805
179,0.9805
180,0.9795
181,0.9795
182,0.9795
183,0.9795
184,0.98
185,0.98
186,0.98
187,0.98
188,0.98
189,0.98
190,0.98
191,0.981
192,0.981
193,0.9805
194,0.9805
195,0.9805
196,0.9805
197,0.9805
198,0.9805
199,0.9805
200,0.9805
201,0.9805
202,0.9805
203,0.9805
204,0.9805
205,0.9805
206,0.981
207,0.981
208,0.981
209,0.981
210,0.9805
211,0.9805
212,0.981
213,0.981
214,0.9805
215,0.981
216,0.981
217,0.981
218,0.981
219,0.981
220,0.981
221,0.9805
222,0.9805
223,0.9805
224,0.9805
225,0.9805
226,0.9805
227,0.9805
228,0.981
229,0.981
230,0.981
231,0.9805
232,0.9805
233,0.9805
234,0.9795
235,0.979
236,0.9795
237,0.9795
238,0.9795
239,0.9795
240,0.9795
241,0.979
242,0.979
243,0.979
244,0.979
245,0.979
246,0.979
247,0.9795
248,0.9795
249,0.9795
250,0.9795
251,0.9795
252,0.9795
253,0.9795
254,0.9795
255,0.9785
256,0.979
257,0.979
258,0.979
259,0.979
260,0.9785
261,0.9785
262,0.9785
263,0.9785
264,0.9785
265,0.9785
266,0.9785
267,0.976
268,0.976
269,0.977
270,0.976
271,0.977
272,0.9765
273,0.977
274,0.977
275,0.9785
276,0.978
277,0.977
278,0.9765
279,0.9765
280,0.9765
281,0.9765
282,0.9765
283,0.977
284,0.977
285,0.977
286,0.977
287,0.977
288,0.977
289,0.977
290,0.977
291,0.977
292,0.977
293,0.9775
294,0.9775
295,0.9775
296,0.977
297,0.9765
298,0.9765
299,0.9765
300,0.976
301,0.976
302,0.9765
303,0.976
304,0.9755
305,0.9745
306,0.9745
307,0.9755
308,0.975
309,0.975
310,0.975
311,0.9745
312,0.977
313,0.977
314,0.977
315,0.977
316,0.9775
317,0.9775
318,0.9775
319,0.9775
320,0.9775
321,0.9765
322,0.9765
323,0.9775
324,0.9775
325,0.9775
326,0.9775
327,0.977
328,0.9765
329,0.977
330,0.977
331,0.977
332,0.977
333,0.977
334,0.975
335,0.9755
336,0.975
337,0.976
338,0.9765
339,0.9765
340,0.9765
341,0.9765
342,0.977
343,0.9765
344,0.9765
345,0.9765
346,0.977
347,0.977
348,0.977
349,0.977
350,0.9765
351,0.9765
352,0.976
353,0.976
354,0.9765
355,0.977
356,0.9765
357,0.976
358,0.976
359,0.9765
360,0.9765
361,0.9745
362,0.9745
363,0.9745
364,0.975
365,0.9755
366,0.975
367,0.9755
368,0.9745
369,0.975
370,0.975
371,0.975
372,0.975
373,0.974
374,0.9755
375,0.975
376,0.975
377,0.974
378,0.974
379,0.9745
380,0.9745
381,0.9735
382,0.9745
383,0.974
384,0.974
385,0.9735
386,0.9735
387,0.977
388,0.9765
389,0.9765
390,0.977
391,0.978
392,0.978
393,0.9785
394,0.98
395,0.9755
396,0.9735
397,0.974
398,0.9745
399,0.9725
400,0.9745
401,0.9755
402,0.9755
403,0.9755
404,0.976
405,0.9755
406,0.976
407,0.9755
408,0.9775
409,0.978
410,0.9755
411,0.9765
412,0.9745
413,0.974
414,0.974
415,0.974
416,0.9755
417,0.9725
418,0.9745
419,0.9745
420,0.974
421,0.975
422,0.975
423,0.974
424,0.9745
425,0.9745
426,0.9735
427,0.9725
428,0.972
429,0.973
430,0.9715
431,0.9715
432,0.971
433,0.969
434,0.9665
435,0.965
436,0.962
437,0.9585
438,0.9615
439,0.961
440,0.9615
441,0.952
442,0.951
443,0.9525
444,0.948
445,0.953
446,0.956
447,0.9535
448,0.948
449,0.945
450,0.9445
451,0.9415
452,0.9395
453,0.932
454,0.9285
455,0.904
456,0.902
457,0.9
458,0.897
459,0.8995
460,0.897
461,0.9005
462,0.892
463,0.8635
464,0.8655
465,0.852
466,0.8345
467,0.8335
468,0.833
469,0.8345
470,0.8365
471,0.8485
472,0.8435
473,0.824
474,0.8265
475,0.815
476,0.8
477,0.811
478,0.827
479,0.804
480,0.7985
481,0.78
482,0.7865
483,0.7995
484,0.7955
485,0.795
486,0.784
487,0.7635
488,0.7455
489,0.701
490,0.6545
491,0.66
492,0.6375
493,0.6375
494,0.692
495,0.677
496,0.6585
497,0.634
498,0.5355
499,0.519
