num_removed,accuracy
0,0.9825
1,0.9825
2,0.9835
3,0.9835
4,0.9835
5,0.9835
6,0.9835
7,0.9835
8,0.9835
9,0.9835
10,0.9835
11,0.9835
12,0.9825
13,0.9835
14,0.9835
15,0.9835
16,0.9835
17,0.9835
18,0.9835
19,0.9835
20,0.9835
21,0.9835
22,0.9835
23,0.984
24,0.984
25,0.984
26,0.9835
27,0.9835
28,0.984
29,0.984
30,0.984
31,0.984
32,0.9835
33,0.9835
34,0.9835
35,0.984
36,0.984
37,0.984
38,0.984
39,0.984
40,0.9835
41,0.9835
42,0.9835
43,0.9845
44,0.985
45,0.985
46,0.9845
47,0.9845
48,0.9845
49,0.984
50,0.984
51,0.984
52,0.984
53,0.9835
54,0.9835
55,0.984
56,0.9845
57,0.982
58,0.982
59,0.982
60,0.9815
61,0.9815
62,0.982
63,0.982
64,0.9815
65,0.9815
66,0.9815
67,0.9815
68,0.9815
69,0.9825
70,0.98
71,0.98
72,0.9815
73,0.981
74,0.981
75,0.981
76,0.9815
77,0.9815
78,0.981
79,0.981
80,0.981
81,0.9815
82,0.9795
83,0.9795
84,0.9795
85,0.9795
86,0.9795
87,0.9795
88,0.9795
89,0.9795
90,0.9795
91,0.979
92,0.979
93,0.98
94,0.98
95,0.98
96,0.9805
97,0.9805
98,0.9805
99,0.98
100,0.9795
101,0.98
102,0.98
103,0.9775
104,0.9775
105,0.9775
106,0.9775
107,0.9775
108,0.977
109,0.977
110,0.9775
111,0.977
112,0.979
113,0.9785
114,0.9785
115,0.9785
116,0.9785
117,0.9785
118,0.9785
119,0.9785
120,0.9785
121,0.9795
122,0.979
123,0.979
124,0.979
125,0.979
126,0.978
127,0.9775
128,0.9775
129,0.9775
130,0.9775
131,0.9765
132,0.977
133,0.978
134,0.978
135,0.9775
136,0.9775
137,0.976
138,0.9735
139,0.9735
140,0.9735
141,0.974
142,0.975
143,0.975
144,0.9755
145,0.975
146,0.974
147,0.974
148,0.974
149,0.976
150,0.976
151,0.9745
152,0.9745
153,0.974
154,0.9745
155,0.974
156,0.9745
157,0.9745
158,0.973
159,0.974
160,0.974
161,0.972
162,0.9715
163,0.971
164,0.9715
165,0.971
166,0.971
167,0.9715
168,0.9715
169,0.971
170,0.971
171,0.971
172,0.971
173,0.971
174,0.9705
175,0.9705
176,0.9715
177,0.97
178,0.97
179,0.971
180,0.97
181,0.969
182,0.969
183,0.968
184,0.9675
185,0.9595
186,0.9605
187,0.9605
188,0.9545
189,0.9545
190,0.9515
191,0.952
192,0.952
193,0.9515
194,0.9505
195,0.95
196,0.9505
197,0.9495
198,0.9515
199,0.9495
200,0.9485
201,0.949
202,0.949
203,0.943
204,0.9425
205,0.9415
206,0.9405
207,0.94
208,0.9405
209,0.9395
210,0.94
211,0.938
212,0.94
213,0.942
214,0.9425
215,0.934
216,0.9235
217,0.9205
218,0.918
219,0.9155
220,0.916
221,0.917
222,0.916
223,0.9165
224,0.9125
225,0.913
226,0.9125
227,0.9105
228,0.911
229,0.911
230,0.911
231,0.9135
232,0.914
233,0.9055
234,0.904
235,0.9015
236,0.9025
237,0.902
238,0.8965
239,0.8985
240,0.884
241,0.88
242,0.8595
243,0.806
244,0.716
245,0.6605
246,0.639
247,0.5805
248,0.5415
249,0.52
250,0.52
251,0.52
252,0.52
253,0.52
254,0.5205
255,0.5205
256,0.5205
257,0.5205
258,0.5205
259,0.5205
260,0.5205
261,0.5205
262,0.5205
263,0.5205
264,0.5205
265,0.521
266,0.521
267,0.521
268,0.5205
269,0.5205
270,0.5205
271,0.5205
272,0.52
273,0.52
274,0.5205
275,0.5205
276,0.521
277,0.521
278,0.5215
279,0.5215
280,0.521
281,0.521
282,0.521
283,0.521
284,0.521
285,0.5215
286,0.521
287,0.521
288,0.521
289,0.5215
290,0.5215
291,0.5215
292,0.5205
293,0.5205
294,0.5205
295,0.5205
296,0.5205
297,0.5205
298,0.521
299,0.521
300,0.521
301,0.521
302,0.521
303,0.522
304,0.5215
305,0.5215
306,0.5215
307,0.5215
308,0.5215
309,0.5215
310,0.5215
311,0.5215
312,0.5215
313,0.522
314,0.5215
315,0.5215
316,0.522
317,0.5225
318,0.5225
319,0.523
320,0.523
321,0.523
322,0.5225
323,0.5225
324,0.5225
325,0.5225
326,0.5225
327,0.5225
328,0.5225
329,0.5225
330,0.523
331,0.523
332,0.523
333,0.5225
334,0.523
335,0.523
336,0.523
337,0.5225
338,0.5225
339,0.523
340,0.523
341,0.523
342,0.523
343,0.523
344,0.523
345,0.523
346,0.523
347,0.523
348,0.523
349,0.523
350,0.5225
351,0.5225
352,0.5225
353,0.523
354,0.523
355,0.524
356,0.524
357,0.524
358,0.524
359,0.5245
360,0.5245
361,0.525
362,0.525
363,0.5245
364,0.5245
365,0.525
366,0.525
367,0.525
368,0.525
369,0.525
370,0.525
371,0.525
372,0.525
373,0.5255
374,0.5255
375,0.5255
376,0.5255
377,0.5255
378,0.5255
379,0.5255
380,0.5255
381,0.5255
382,0.526
383,0.526
384,0.525
385,0.525
386,0.5255
387,0.5255
388,0.5255
389,0.5255
390,0.526
391,0.5265
392,0.526
393,0.5255
394,0.5255
395,0.5265
396,0.527
397,0.527
398,0.527
399,0.527
400,0.527
401,0.527
402,0.5275
403,0.5275
404,0.5275
405,0.5275
406,0.5275
407,0.5285
408,0.529
409,0.5285
410,0.529
411,0.5295
412,0.529
413,0.529
414,0.5295
415,0.53
416,0.5295
417,0.5295
418,0.53
419,0.53
420,0.53
421,0.5305
422,0.53
423,0.5305
424,0.5305
425,0.531
426,0.531
427,0.5315
428,0.5315
429,0.5315
430,0.5325
431,0.5325
432,0.5325
433,0.5325
434,0.533
435,0.533
436,0.534
437,0.534
438,0.535
439,0.535
440,0.5345
441,0.5345
442,0.535
443,0.5355
444,0.535
445,0.5355
446,0.5355
447,0.5355
448,0.5355
449,0.5355
450,0.5355
451,0.5355
452,0.536
453,0.536
454,0.536
455,0.537
456,0.5365
457,0.537
458,0.5375
459,0.538
460,0.538
461,0.537
462,0.5355
463,0.536
464,0.536
465,0.5365
466,0.538
467,0.54
468,0.539
469,0.5395
470,0.54
471,0.5415
472,0.541
473,0.541
474,0.5405
475,0.542
476,0.542
477,0.5435
478,0.544
479,0.544
480,0.5465
481,0.5465
482,0.5485
483,0.548
484,0.549
485,0.55
486,0.55
487,0.554
488,0.5525
489,0.5605
490,0.519
491,0.519
492,0.519
493,0.519
494,0.519
495,0.519
496,0.519
497,0.519
498,0.519
499,0.519
