num_removed,accuracy
0,0.977
1,0.9775
2,0.9795
3,0.9785
4,0.9775
5,0.9785
6,0.9785
7,0.9775
8,0.9775
9,0.977
10,0.9775
11,0.9775
12,0.9785
13,0.9785
14,0.978
15,0.978
16,0.978
17,0.9795
18,0.98
19,0.979
20,0.979
21,0.978
22,0.978
23,0.9785
24,0.978
25,0.978
26,0.978
27,0.978
28,0.9775
29,0.977
30,0.978
31,0.977
32,0.976
33,0.976
34,0.976
35,0.975
36,0.975
37,0.9715
38,0.9725
39,0.972
40,0.9725
41,0.9715
42,0.9715
43,0.972
44,0.9715
45,0.9715
46,0.971
47,0.9705
48,0.97
49,0.9685
50,0.969
51,0.968
52,0.968
53,0.9675
54,0.967
55,0.967
56,0.967
57,0.967
58,0.967
59,0.967
60,0.9665
61,0.9665
62,0.967
63,0.968
64,0.967
65,0.967
66,0.9685
67,0.9695
68,0.97
69,0.968
70,0.968
71,0.971
72,0.971
73,0.97
74,0.97
75,0.97
76,0.97
77,0.97
78,0.97
79,0.97
80,0.969
81,0.969
82,0.969
83,0.9675
84,0.9675
85,0.9675
86,0.9685
87,0.9685
88,0.969
89,0.968
90,0.968
91,0.969
92,0.9695
93,0.9695
94,0.9695
95,0.969
96,0.969
97,0.969
98,0.969
99,0.969
100,0.9685
101,0.9685
102,0.969
103,0.969
104,0.969
105,0.9685
106,0.9685
107,0.9685
108,0.967
109,0.967
110,0.9665
111,0.9665
112,0.9665
113,0.967
114,0.967
115,0.9665
116,0.967
117,0.967
118,0.967
119,0.9665
120,0.9665
121,0.9675
122,0.967
123,0.967
124,0.967
125,0.9685
126,0.9675
127,0.9675
128,0.9675
129,0.9685
130,0.9685
131,0.9685
132,0.969
133,0.9685
134,0.9685
135,0.969
136,0.968
137,0.968
138,0.9685
139,0.969
140,0.969
141,0.968
142,0.968
143,0.968
144,0.968
145,0.968
146,0.9675
147,0.9675
148,0.9675
149,0.968
150,0.9685
151,0.968
152,0.968
153,0.9685
154,0.969
155,0.9685
156,0.9685
157,0.969
158,0.968
159,0.968
160,0.9685
161,0.9685
162,0.968
163,0.9675
164,0.9675
165,0.9675
166,0.9675
167,0.9675
168,0.9675
169,0.9675
170,0.9675
171,0.9675
172,0.9675
173,0.9665
174,0.9665
175,0.966
176,0.966
177,0.966
178,0.966
179,0.966
180,0.965
181,0.9655
182,0.9665
183,0.966
184,0.965
185,0.9655
186,0.9655
187,0.965
188,0.9665
189,0.9675
190,0.9675
191,0.967
192,0.9675
193,0.9675
194,0.9675
195,0.9675
196,0.9675
197,0.9675
198,0.9675
199,0.9675
200,0.969
201,0.968
202,0.967
203,0.9665
204,0.9675
205,0.968
206,0.9675
207,0.9675
208,0.967
209,0.9665
210,0.9665
211,0.966
212,0.966
213,0.9665
214,0.9665
215,0.9665
216,0.9665
217,0.9675
218,0.9675
219,0.968
220,0.9675
221,0.9675
222,0.9665
223,0.9665
224,0.966
225,0.967
226,0.9665
227,0.9675
228,0.967
229,0.9675
230,0.9675
231,0.9675
232,0.968
233,0.968
234,0.968
235,0.968
236,0.967
