num_removed,accuracy
0,0.977
1,0.977
2,0.977
3,0.977
4,0.977
5,0.977
6,0.977
7,0.9765
8,0.9765
9,0.976
10,0.978
11,0.978
12,0.978
13,0.978
14,0.978
15,0.978
16,0.977
17,0.977
18,0.976
19,0.976
20,0.976
21,0.976
22,0.976
23,0.976
24,0.976
25,0.976
26,0.976
27,0.976
28,0.976
29,0.9755
30,0.976
31,0.976
32,0.976
33,0.976
34,0.9755
35,0.9755
36,0.9755
37,0.9755
38,0.9745
39,0.9745
40,0.9745
41,0.975
42,0.975
43,0.975
44,0.975
45,0.975
46,0.9745
47,0.9745
48,0.9745
49,0.9745
50,0.9745
51,0.9745
52,0.975
53,0.975
54,0.975
55,0.975
56,0.975
57,0.975
58,0.975
59,0.975
60,0.976
61,0.976
62,0.976
63,0.976
64,0.976
65,0.977
66,0.977
67,0.977
68,0.977
69,0.977
70,0.977
71,0.977
72,0.9775
73,0.9775
74,0.9775
75,0.9775
76,0.9775
77,0.9775
78,0.978
79,0.978
80,0.9775
81,0.9775
82,0.9775
83,0.9775
84,0.9775
85,0.9775
86,0.9775
87,0.9765
88,0.977
89,0.977
90,0.977
91,0.977
92,0.9775
93,0.977
94,0.977
95,0.977
96,0.977
97,0.977
98,0.977
99,0.977
100,0.977
101,0.977
102,0.976
103,0.9765
104,0.9775
105,0.9775
106,0.9775
107,0.9775
108,0.9775
109,0.977
110,0.9735
111,0.9745
112,0.9745
113,0.9775
114,0.9775
115,0.9775
116,0.9775
117,0.9775
118,0.976
119,0.976
120,0.976
121,0.976
122,0.976
123,0.9765
124,0.9765
125,0.9765
126,0.975
127,0.975
128,0.979
129,0.979
130,0.9795
131,0.9795
132,0.9795
133,0.979
134,0.9795
135,0.9795
136,0.9795
137,0.9785
138,0.9775
139,0.9765
140,0.9765
141,0.9765
142,0.9765
143,0.9765
144,0.9765
145,0.977
146,0.977
147,0.975
148,0.975
149,0.9755
150,0.976
151,0.976
152,0.976
153,0.976
154,0.976
155,0.976
156,0.977
157,0.977
158,0.977
159,0.977
160,0.9765
161,0.9765
162,0.9765
163,0.9765
164,0.977
165,0.9765
166,0.978
167,0.9775
168,0.978
169,0.978
170,0.9775
171,0.9775
172,0.977
173,0.9775
174,0.9765
175,0.977
176,0.978
177,0.9775
178,0.977
179,0.9775
180,0.9765
181,0.977
182,0.977
183,0.977
184,0.976
185,0.976
186,0.976
187,0.976
188,0.9755
189,0.9755
190,0.9755
191,0.978
192,0.9775
193,0.9775
194,0.978
195,0.9775
196,0.9775
197,0.9765
198,0.977
199,0.9775
200,0.9765
201,0.9775
202,0.9775
203,0.978
204,0.9775
205,0.9765
206,0.977
207,0.9765
