num_removed,accuracy
0,0.9885
1,0.988
2,0.988
3,0.988
4,0.9875
5,0.9875
6,0.9875
7,0.9875
8,0.9875
9,0.987
10,0.9865
11,0.9865
12,0.987
13,0.987
14,0.987
15,0.987
16,0.987
17,0.9865
18,0.986
19,0.986
20,0.986
21,0.9865
22,0.9865
23,0.9865
24,0.9865
25,0.9865
26,0.9855
27,0.9855
28,0.9855
29,0.985
30,0.9855
31,0.985
32,0.9855
33,0.986
34,0.986
35,0.985
36,0.987
37,0.987
38,0.987
39,0.987
40,0.987
41,0.987
42,0.987
43,0.987
44,0.987
45,0.9865
46,0.986
47,0.986
48,0.9845
49,0.9845
50,0.9845
51,0.9845
52,0.984
53,0.984
54,0.984
55,0.984
56,0.984
57,0.983
58,0.983
59,0.983
60,0.983
61,0.983
62,0.983
63,0.983
64,0.9835
65,0.9835
66,0.983
67,0.983
68,0.983
69,0.983
70,0.983
71,0.983
72,0.983
73,0.9835
74,0.9835
75,0.983
76,0.983
77,0.983
78,0.983
79,0.983
80,0.983
81,0.983
82,0.9835
83,0.983
84,0.9835
85,0.9835
86,0.9835
87,0.9835
88,0.9835
89,0.9825
90,0.9815
91,0.9815
92,0.9815
93,0.9815
94,0.9815
95,0.9815
96,0.981
97,0.981
98,0.981
99,0.981
100,0.9815
101,0.9815
102,0.9815
103,0.9815
104,0.9815
105,0.9815
106,0.9815
107,0.9815
108,0.9815
109,0.9815
110,0.9815
111,0.9815
112,0.9815
113,0.982
114,0.982
115,0.982
116,0.982
117,0.982
118,0.982
119,0.9825
120,0.9825
121,0.9825
122,0.9825
123,0.9815
124,0.9815
125,0.9815
126,0.9815
127,0.9815
128,0.9815
129,0.9815
130,0.9815
131,0.9815
132,0.9815
133,0.9815
134,0.9815
135,0.98
136,0.98
137,0.981
138,0.98
139,0.98
140,0.98
141,0.9795
142,0.9795
143,0.9805
144,0.9805
145,0.9805
146,0.9805
147,0.9795
148,0.9795
149,0.9795
150,0.979
151,0.979
152,0.9795
153,0.9795
154,0.9775
155,0.9775
156,0.9775
157,0.9775
158,0.977
159,0.9775
160,0.978
161,0.972
162,0.972
163,0.9725
164,0.974
165,0.974
166,0.9735
167,0.973
168,0.973
169,0.973
170,0.973
171,0.973
172,0.9735
173,0.9735
174,0.973
175,0.9745
176,0.9745
177,0.974
178,0.9735
179,0.974
180,0.974
181,0.9745
182,0.9745
183,0.974
184,0.974
185,0.974
186,0.974
187,0.974
188,0.974
189,0.974
190,0.9735
191,0.9745
192,0.975
193,0.9745
194,0.974
195,0.9735
196,0.9745
197,0.975
198,0.975
199,0.9755
200,0.975
201,0.9745
202,0.975
203,0.9745
204,0.973
205,0.9735
206,0.973
207,0.9735
208,0.9735
209,0.974
210,0.972
211,0.972
212,0.9725
213,0.972
214,0.9715
215,0.971
216,0.973
217,0.973
218,0.973
219,0.973
220,0.975
221,0.974
222,0.9735
223,0.9735
224,0.9735
225,0.973
226,0.974
227,0.9735
228,0.974
229,0.974
230,0.974
231,0.9735
232,0.972
233,0.972
234,0.972
235,0.964
236,0.964
237,0.964
238,0.964
239,0.965
240,0.964
241,0.964
242,0.9635
243,0.9635
244,0.9635
245,0.964
246,0.963
247,0.963
248,0.9625
249,0.9615
250,0.961
251,0.9635
252,0.9655
253,0.9655
254,0.965
255,0.965
256,0.9655
257,0.9655
258,0.9655
259,0.9655
260,0.9635
261,0.9635
262,0.9635
263,0.962
264,0.9635
265,0.964
266,0.963
267,0.962
268,0.963
269,0.963
270,0.963
271,0.964
272,0.9645
273,0.963
274,0.963
275,0.9625
276,0.9625
277,0.959
278,0.9595
279,0.957
280,0.948
281,0.947
282,0.9455
283,0.946
284,0.946
285,0.948
286,0.948
287,0.949
288,0.9485
289,0.9475
290,0.947
291,0.948
292,0.9475
293,0.949
294,0.948
295,0.948
296,0.948
297,0.948
298,0.9475
299,0.9465
300,0.947
301,0.9465
302,0.9465
303,0.95
304,0.95
305,0.95
306,0.95
307,0.9475
308,0.948
309,0.948
310,0.9485
311,0.948
312,0.9485
313,0.9485
314,0.948
315,0.9485
316,0.95
317,0.95
318,0.951
319,0.951
320,0.9505
321,0.9495
322,0.944
323,0.944
324,0.944
325,0.9425
326,0.9425
327,0.9425
328,0.9425
329,0.942
330,0.9405
331,0.9355
332,0.9355
333,0.9365
334,0.937
335,0.937
336,0.937
337,0.936
338,0.936
339,0.936
340,0.936
341,0.9365
342,0.936
343,0.9365
344,0.937
345,0.937
346,0.944
347,0.9455
348,0.9445
349,0.9465
350,0.9465
351,0.9465
352,0.948
353,0.949
354,0.9465
355,0.946
356,0.9445
357,0.9415
358,0.94
359,0.942
360,0.942
361,0.9395
362,0.936
363,0.9335
364,0.933
365,0.9325
366,0.932
367,0.933
368,0.9305
369,0.9315
370,0.93
371,0.93
372,0.9295
373,0.931
374,0.925
375,0.926
376,0.9175
377,0.9135
378,0.9025
379,0.902
380,0.903
381,0.9025
382,0.901
383,0.9005
384,0.9005
385,0.9005
386,0.901
387,0.9035
388,0.901
389,0.9005
390,0.8975
391,0.8945
392,0.8955
393,0.895
394,0.8945
395,0.8945
396,0.894
397,0.892
398,0.8935
399,0.8915
400,0.893
401,0.891
402,0.894
403,0.8945
404,0.8935
405,0.8935
406,0.891
407,0.891
408,0.891
409,0.8945
410,0.898
411,0.8975
412,0.897
413,0.897
414,0.8985
415,0.896
416,0.8955
417,0.8955
418,0.895
419,0.893
420,0.892
421,0.8925
422,0.8795
423,0.8805
424,0.8775
425,0.877
426,0.8765
427,0.87
428,0.8695
429,0.863
430,0.8615
431,0.8505
432,0.8545
433,0.839
434,0.8415
435,0.847
436,0.847
437,0.8495
438,0.851
439,0.8295
440,0.83
441,0.8305
442,0.8355
443,0.7965
444,0.7955
445,0.797
446,0.797
447,0.791
448,0.792
449,0.792
450,0.7865
451,0.795
452,0.7985
453,0.798
454,0.7845
455,0.775
456,0.7585
457,0.7575
458,0.763
459,0.7505
460,0.7565
461,0.754
462,0.7535
463,0.7525
464,0.7305
465,0.726
466,0.7175
467,0.6895
468,0.688
469,0.6935
470,0.6985
471,0.7015
472,0.672
473,0.6815
474,0.685
475,0.6955
476,0.6845
477,0.6705
478,0.668
479,0.669
480,0.653
481,0.678
482,0.652
483,0.6565
484,0.6545
485,0.643
486,0.6115
487,0.5865
488,0.6005
489,0.5925
490,0.5605
491,0.5615
492,0.5495
493,0.531
494,0.566
495,0.547
496,0.5025
497,0.54
498,0.519
499,0.519
