num_removed,accuracy
0,0.9815
1,0.9815
2,0.9815
3,0.9815
4,0.981
5,0.981
6,0.981
7,0.981
8,0.981
9,0.981
10,0.981
11,0.981
12,0.9805
13,0.9805
14,0.9805
15,0.9805
16,0.981
17,0.981
18,0.981
19,0.9805
20,0.9805
21,0.9805
22,0.9805
23,0.9805
24,0.9805
25,0.9805
26,0.98
27,0.9805
28,0.9805
29,0.9805
30,0.9805
31,0.9805
32,0.981
33,0.981
34,0.981
35,0.981
36,0.9805
37,0.9805
38,0.9805
39,0.981
40,0.9805
41,0.9805
42,0.9805
43,0.9805
44,0.9805
45,0.9805
46,0.9805
47,0.9805
48,0.9805
49,0.9805
50,0.9805
51,0.9805
52,0.9805
53,0.9805
54,0.9805
55,0.9805
56,0.9805
57,0.9805
58,0.9805
59,0.9805
60,0.9805
61,0.9805
62,0.9805
63,0.9805
64,0.9805
65,0.9805
66,0.9805
67,0.9805
68,0.98
69,0.9795
70,0.9795
71,0.9795
72,0.9795
73,0.9795
74,0.9795
75,0.9795
76,0.9795
77,0.9795
78,0.98
79,0.9795
80,0.98
81,0.98
82,0.9795
83,0.9785
84,0.9785
85,0.9785
86,0.9785
87,0.9785
88,0.9785
89,0.9785
90,0.979
91,0.979
92,0.979
93,0.979
94,0.978
95,0.978
96,0.9785
97,0.9785
98,0.9785
99,0.9785
100,0.9785
101,0.9785
102,0.9785
103,0.9785
104,0.9785
105,0.9785
106,0.9785
107,0.9785
108,0.9785
109,0.9785
110,0.9785
111,0.978
112,0.9785
113,0.9785
114,0.9785
115,0.9785
116,0.9785
117,0.9785
118,0.9785
119,0.9785
120,0.9785
121,0.9785
122,0.9785
123,0.978
124,0.9775
125,0.9785
126,0.9775
127,0.9785
128,0.9785
129,0.9785
130,0.9785
131,0.9785
132,0.9785
133,0.9785
134,0.978
135,0.9785
136,0.9785
137,0.9785
138,0.9785
139,0.9785
140,0.9785
141,0.9785
142,0.9785
143,0.9785
144,0.9785
145,0.9785
146,0.9785
147,0.9785
148,0.9785
149,0.9785
150,0.9785
151,0.979
152,0.979
153,0.979
154,0.979
155,0.9805
156,0.9805
157,0.9805
158,0.9805
159,0.9805
160,0.9805
161,0.98
162,0.98
163,0.98
164,0.98
165,0.98
166,0.98
167,0.98
168,0.98
169,0.98
170,0.9805
171,0.9805
172,0.98
173,0.9795
174,0.9795
175,0.9795
176,0.9795
177,0.9795
178,0.9795
179,0.9795
180,0.9795
181,0.979
182,0.979
183,0.979
184,0.979
185,0.9785
186,0.9775
187,0.977
188,0.9775
189,0.9775
190,0.9775
191,0.9775
192,0.9775
193,0.978
194,0.9775
195,0.9775
196,0.9775
197,0.9775
198,0.9775
199,0.9775
200,0.9775
201,0.9775
202,0.9775
203,0.9775
204,0.9775
205,0.9775
206,0.9775
207,0.9775
208,0.9775
209,0.9775
210,0.9775
211,0.9775
212,0.9775
213,0.977
214,0.977
215,0.977
216,0.977
217,0.9755
218,0.976
219,0.976
220,0.976
221,0.976
222,0.976
223,0.975
224,0.975
225,0.975
226,0.975
227,0.976
228,0.976
229,0.976
230,0.9755
231,0.9755
232,0.9755
233,0.9755
234,0.9755
235,0.9755
236,0.9755
237,0.9745
238,0.9755
239,0.975
240,0.975
241,0.9745
242,0.9745
243,0.9745
244,0.9745
245,0.9745
246,0.9745
247,0.9745
248,0.975
249,0.975
250,0.975
251,0.975
252,0.9755
253,0.9755
254,0.9765
255,0.9765
256,0.9765
257,0.9765
258,0.9765
259,0.9765
260,0.9765
261,0.9765
262,0.9765
263,0.9765
264,0.9765
265,0.9765
266,0.9755
267,0.9755
268,0.976
269,0.976
270,0.976
271,0.9765
272,0.9745
273,0.975
274,0.974
275,0.974
276,0.9745
277,0.9735
278,0.974
279,0.974
280,0.974
281,0.974
282,0.9745
283,0.9745
284,0.9725
285,0.9725
286,0.971
287,0.971
288,0.971
289,0.971
290,0.9715
291,0.9715
292,0.9715
293,0.97
294,0.9705
295,0.9705
296,0.9705
297,0.9715
298,0.971
299,0.9715
300,0.9705
301,0.9705
302,0.9705
303,0.9705
304,0.97
305,0.97
306,0.97
307,0.97
308,0.97
309,0.97
310,0.97
311,0.9695
312,0.969
313,0.969
314,0.97
315,0.9695
316,0.9695
317,0.969
318,0.97
319,0.972
320,0.972
321,0.973
322,0.973
323,0.973
324,0.9725
325,0.973
326,0.9725
327,0.9715
328,0.972
329,0.973
330,0.9725
331,0.9705
332,0.971
333,0.9715
334,0.9715
335,0.972
336,0.9705
337,0.97
338,0.968
339,0.969
340,0.969
341,0.968
342,0.9685
343,0.968
344,0.969
345,0.968
346,0.9675
347,0.968
348,0.9695
349,0.97
350,0.968
351,0.969
352,0.9695
353,0.964
354,0.961
355,0.961
356,0.961
357,0.9605
358,0.9625
359,0.9625
360,0.9625
361,0.9625
362,0.9605
363,0.96
364,0.96
365,0.959
366,0.957
367,0.957
