num_removed,accuracy
0,0.9815
1,0.9815
2,0.9815
3,0.9815
4,0.9815
5,0.9815
6,0.9815
7,0.9805
8,0.98
9,0.98
10,0.98
11,0.98
12,0.98
13,0.9805
14,0.9805
15,0.9805
16,0.9805
17,0.9805
18,0.9805
19,0.9805
20,0.9805
21,0.9805
22,0.9805
23,0.9805
24,0.981
25,0.981
26,0.981
27,0.9805
28,0.9805
29,0.9805
30,0.9805
31,0.981
32,0.981
33,0.981
34,0.981
35,0.981
36,0.981
37,0.9805
38,0.9805
39,0.98
40,0.9805
41,0.9805
42,0.98
43,0.98
44,0.98
45,0.98
46,0.98
47,0.98
48,0.98
49,0.98
50,0.98
51,0.9805
52,0.9805
53,0.9805
54,0.9805
55,0.9805
56,0.9805
57,0.9805
58,0.9805
59,0.9805
60,0.9805
61,0.9805
62,0.9805
63,0.9805
64,0.9805
65,0.9805
66,0.9805
67,0.9805
68,0.9805
69,0.9805
70,0.9805
71,0.9805
72,0.9805
73,0.9805
74,0.9805
75,0.9795
76,0.9795
77,0.9795
78,0.9795
79,0.9795
80,0.9795
81,0.9795
82,0.9795
83,0.9795
84,0.9795
85,0.9795
86,0.9795
87,0.9795
88,0.9795
89,0.9795
90,0.9795
91,0.9785
92,0.9785
93,0.978
94,0.978
95,0.979
96,0.979
97,0.979
98,0.9785
99,0.979
100,0.979
101,0.9785
102,0.9785
103,0.9785
104,0.9785
105,0.9785
106,0.9805
107,0.9805
108,0.9775
109,0.9775
110,0.9775
111,0.9775
112,0.9775
113,0.9775
114,0.9775
115,0.9775
116,0.9775
117,0.9775
118,0.9775
119,0.9775
120,0.981
121,0.981
122,0.981
123,0.981
124,0.9805
125,0.9805
126,0.9805
127,0.981
128,0.981
129,0.981
130,0.9805
131,0.981
132,0.981
133,0.981
134,0.9815
135,0.981
136,0.981
137,0.981
138,0.98
139,0.98
140,0.98
141,0.981
142,0.981
143,0.9815
144,0.9815
145,0.9815
146,0.9815
147,0.9815
148,0.9805
149,0.9805
150,0.9805
151,0.9805
152,0.9805
153,0.981
154,0.981
155,0.981
156,0.981
157,0.981
158,0.981
159,0.981
160,0.981
161,0.981
162,0.981
163,0.9805
164,0.9805
165,0.9805
166,0.98
167,0.9805
168,0.9805
169,0.9805
170,0.9805
171,0.9805
172,0.985
173,0.985
174,0.985
175,0.985
176,0.985
177,0.9845
178,0.9845
179,0.9845
180,0.9845
181,0.984
182,0.9835
183,0.9835
184,0.9835
185,0.9835
186,0.9835
187,0.9835
188,0.9845
189,0.9845
190,0.9845
191,0.9845
192,0.9845
193,0.9845
194,0.9845
195,0.984
196,0.984
197,0.984
198,0.984
199,0.984
200,0.984
201,0.982
202,0.9835
203,0.9835
204,0.983
205,0.983
206,0.983
207,0.983
208,0.983
209,0.983
210,0.983
211,0.983
212,0.983
213,0.983
214,0.983
215,0.983
216,0.983
217,0.982
218,0.9815
219,0.982
220,0.9815
221,0.9815
222,0.9815
223,0.9815
224,0.9825
225,0.9825
226,0.9825
227,0.9825
228,0.9825
229,0.9825
230,0.9825
231,0.982
232,0.982
233,0.9825
234,0.981
235,0.981
236,0.981
237,0.981
238,0.9805
239,0.981
240,0.9815
241,0.981
242,0.981
243,0.981
244,0.981
245,0.9805
246,0.9815
247,0.9815
248,0.982
249,0.982
250,0.982
251,0.982
252,0.982
253,0.982
254,0.982
255,0.9815
256,0.9815
257,0.9815
258,0.9815
259,0.981
260,0.9805
261,0.9805
262,0.981
263,0.9805
264,0.981
265,0.981
266,0.981
267,0.9805
268,0.981
269,0.981
270,0.981
271,0.981
272,0.9815
273,0.9815
274,0.9815
275,0.9825
276,0.9825
277,0.9815
278,0.982
279,0.982
280,0.981
281,0.9815
282,0.9815
283,0.982
284,0.982
285,0.9815
286,0.981
287,0.981
288,0.981
289,0.9815
290,0.9815
291,0.9815
292,0.9805
293,0.9805
294,0.9805
295,0.9805
296,0.981
297,0.979
298,0.98
299,0.98
300,0.98
301,0.9795
302,0.9785
303,0.979
304,0.9795
305,0.9795
306,0.979
307,0.979
308,0.979
309,0.979
310,0.9795
311,0.9795
312,0.9795
313,0.9795
314,0.9795
315,0.979
316,0.9795
317,0.9795
318,0.979
319,0.978
320,0.9785
321,0.9785
322,0.9785
323,0.9775
324,0.978
325,0.979
326,0.98
327,0.98
328,0.9795
329,0.9795
330,0.979
331,0.976
332,0.9755
333,0.974
334,0.9745
335,0.976
336,0.976
337,0.975
338,0.975
339,0.975
340,0.975
341,0.9755
342,0.978
343,0.9775
344,0.978
345,0.9785
346,0.978
347,0.9755
348,0.976
349,0.976
350,0.9755
351,0.9755
352,0.9755
353,0.9735
354,0.9725
355,0.972
356,0.972
357,0.9725
358,0.9725
359,0.973
360,0.9735
361,0.974
362,0.973
363,0.9725
364,0.973
365,0.973
366,0.972
367,0.9725
368,0.9725
369,0.9725
370,0.9725
371,0.97
