num_removed,accuracy
0,0.9815
1,0.9815
2,0.9815
3,0.9815
4,0.9815
5,0.9815
6,0.9815
7,0.9815
8,0.9815
9,0.9815
10,0.9825
11,0.9825
12,0.9825
13,0.9825
14,0.9825
15,0.9825
16,0.9805
17,0.98
18,0.98
19,0.98
20,0.98
21,0.98
22,0.98
23,0.98
24,0.98
25,0.98
26,0.98
27,0.98
28,0.98
29,0.98
30,0.98
31,0.98
32,0.98
33,0.9785
34,0.9785
35,0.9775
36,0.978
37,0.978
38,0.9785
39,0.9785
40,0.9785
41,0.9785
42,0.9785
43,0.9775
44,0.9775
45,0.9775
46,0.9775
47,0.9775
48,0.9775
49,0.9775
50,0.9775
51,0.9775
52,0.9775
53,0.9775
54,0.9775
55,0.9775
56,0.977
57,0.977
58,0.9775
59,0.9775
60,0.978
61,0.978
62,0.978
63,0.976
64,0.976
65,0.976
66,0.976
67,0.976
68,0.977
69,0.977
70,0.977
71,0.977
72,0.977
73,0.9765
74,0.9765
75,0.977
76,0.9775
77,0.9775
78,0.9775
79,0.9775
80,0.9775
81,0.9775
82,0.9775
83,0.9775
84,0.9775
85,0.9775
86,0.9775
87,0.975
88,0.9755
89,0.9755
90,0.976
91,0.976
92,0.976
93,0.976
94,0.9755
95,0.9755
96,0.9755
97,0.9755
98,0.975
99,0.975
100,0.975
101,0.975
102,0.975
103,0.975
104,0.975
105,0.975
106,0.975
107,0.975
108,0.975
109,0.974
110,0.9745
111,0.9745
112,0.9745
113,0.9725
114,0.972
115,0.9725
116,0.9715
117,0.9715
118,0.9715
119,0.9715
120,0.9715
121,0.9715
122,0.9715
123,0.9715
124,0.9715
125,0.9725
126,0.973
127,0.9725
128,0.973
129,0.973
130,0.973
131,0.973
132,0.973
133,0.973
134,0.973
135,0.973
136,0.973
137,0.972
138,0.972
139,0.972
140,0.972
141,0.972
142,0.9715
143,0.9715
144,0.972
145,0.972
146,0.972
147,0.972
148,0.971
149,0.971
150,0.971
151,0.971
152,0.971
153,0.971
154,0.972
155,0.9715
156,0.9715
157,0.971
158,0.971
159,0.971
160,0.971
161,0.971
162,0.971
163,0.9705
164,0.9705
165,0.9705
166,0.97
167,0.969
168,0.969
169,0.9695
170,0.9695
171,0.9695
172,0.9695
173,0.97
174,0.9695
175,0.97
176,0.97
177,0.97
178,0.97
179,0.97
180,0.97
181,0.97
182,0.9695
183,0.97
184,0.9695
185,0.9705
186,0.9705
187,0.9705
188,0.9715
189,0.9715
190,0.97
191,0.97
192,0.9695
193,0.9695
194,0.9695
195,0.9695
196,0.9695
197,0.969
198,0.969
199,0.969
200,0.969
201,0.9675
202,0.9655
203,0.966
204,0.966
205,0.966
206,0.9665
207,0.9675
208,0.9675
209,0.963
210,0.9625
211,0.9625
212,0.959
213,0.959
214,0.9595
215,0.9585
216,0.959
217,0.959
218,0.959
219,0.9575
220,0.9575
221,0.9575
222,0.9575
223,0.957
224,0.9575
225,0.958
226,0.958
227,0.958
228,0.9575
229,0.957
230,0.957
231,0.957
232,0.957
233,0.9565
234,0.9565
235,0.9565
236,0.9565
237,0.9555
238,0.9555
239,0.955
240,0.9545
241,0.9545
242,0.9555
243,0.9555
244,0.955
245,0.955
246,0.9545
247,0.9545
248,0.955
249,0.954
250,0.954
251,0.954
252,0.954
253,0.954
254,0.9545
255,0.9525
256,0.953
257,0.953
258,0.9495
259,0.9495
260,0.9485
261,0.9495
262,0.9495
263,0.9485
264,0.9485
265,0.9475
266,0.948
267,0.9415
268,0.942
269,0.9395
270,0.9395
271,0.94
272,0.9395
273,0.94
274,0.9385
275,0.9325
276,0.932
277,0.9335
278,0.9335
279,0.934
280,0.9355
281,0.9335
282,0.9325
283,0.933
284,0.933
285,0.931
286,0.931
287,0.931
288,0.931
289,0.931
290,0.931
291,0.931
292,0.928
293,0.928
294,0.9275
295,0.9185
296,0.921
297,0.921
298,0.92
299,0.9205
300,0.9025
301,0.903
302,0.9035
303,0.9025
304,0.903
305,0.902
306,0.901
307,0.902
308,0.9015
309,0.9015
310,0.901
311,0.9
312,0.8995
313,0.8995
314,0.8995
315,0.8995
316,0.9
317,0.8995
318,0.902
319,0.903
320,0.9025
321,0.899
322,0.902
323,0.9025
324,0.8965
325,0.8955
326,0.8895
327,0.8895
328,0.8895
329,0.8885
330,0.888
331,0.886
332,0.886
333,0.8895
334,0.8885
335,0.887
336,0.885
337,0.8845
338,0.8845
339,0.884
340,0.8855
341,0.8815
342,0.881
343,0.879
344,0.879
345,0.8775
346,0.878
347,0.8745
348,0.8765
349,0.8735
350,0.8735
351,0.8735
352,0.873
353,0.878
354,0.8785
355,0.8785
356,0.8775
357,0.878
358,0.8795
359,0.8795
360,0.8795
361,0.8705
362,0.87
363,0.871
364,0.8575
365,0.857
366,0.8585
367,0.8585
368,0.858
369,0.8585
370,0.8555
371,0.856
372,0.8565
373,0.855
374,0.848
