num_removed,accuracy
0,0.9885
1,0.9905
2,0.9895
3,0.989
4,0.989
5,0.988
6,0.988
7,0.9885
8,0.9885
9,0.9875
10,0.987
11,0.987
12,0.987
13,0.987
14,0.987
15,0.987
16,0.987
17,0.9865
18,0.9865
19,0.9865
20,0.9865
21,0.9865
22,0.9865
23,0.986
24,0.986
25,0.986
26,0.9875
27,0.9875
28,0.9875
29,0.988
30,0.986
31,0.986
32,0.986
33,0.986
34,0.986
35,0.9865
36,0.986
37,0.986
38,0.986
39,0.9855
40,0.987
41,0.987
42,0.987
43,0.987
44,0.987
45,0.987
46,0.9865
47,0.986
48,0.986
49,0.986
50,0.986
51,0.986
52,0.986
53,0.986
54,0.9845
55,0.9845
56,0.9845
57,0.9845
58,0.9845
59,0.9845
60,0.9845
61,0.9845
62,0.9845
63,0.9845
64,0.9845
65,0.985
66,0.985
67,0.9855
68,0.985
69,0.985
70,0.985
71,0.985
72,0.985
73,0.9855
74,0.986
75,0.9855
76,0.9855
77,0.985
78,0.985
79,0.985
80,0.985
81,0.985
82,0.986
83,0.986
84,0.986
85,0.986
86,0.986
87,0.986
88,0.985
89,0.9845
90,0.985
91,0.985
92,0.9845
93,0.9855
94,0.9855
95,0.9855
96,0.9855
97,0.9855
98,0.9855
99,0.986
100,0.986
101,0.986
102,0.9855
103,0.986
104,0.986
105,0.9855
106,0.9855
107,0.986
108,0.986
109,0.9855
110,0.9855
111,0.985
112,0.9845
113,0.9845
114,0.9845
115,0.9855
116,0.9845
117,0.9855
118,0.9855
119,0.9855
120,0.9855
121,0.9855
122,0.9855
123,0.985
124,0.9855
125,0.985
126,0.985
127,0.985
128,0.985
129,0.985
130,0.985
131,0.985
132,0.985
133,0.985
134,0.985
135,0.985
136,0.985
137,0.985
138,0.985
139,0.9845
140,0.9845
141,0.9845
142,0.9845
143,0.9845
144,0.9845
145,0.9845
146,0.9845
147,0.9845
148,0.9845
149,0.9845
150,0.9845
151,0.9845
152,0.9845
153,0.9845
154,0.9845
155,0.9845
156,0.9845
157,0.9845
158,0.9845
159,0.9845
160,0.9845
161,0.9845
162,0.9845
163,0.9845
164,0.9845
165,0.9845
166,0.9845
167,0.9845
168,0.9845
169,0.9845
170,0.9845
171,0.9845
172,0.9845
173,0.984
174,0.984
175,0.984
176,0.984
177,0.984
178,0.984
179,0.984
180,0.984
181,0.984
182,0.984
183,0.984
184,0.9835
185,0.9845
186,0.9835
187,0.9835
188,0.9835
189,0.9835
190,0.9835
191,0.9835
192,0.9835
193,0.9835
194,0.9835
195,0.9835
196,0.9825
197,0.9835
198,0.9835
199,0.9835
200,0.9835
201,0.9835
202,0.984
203,0.984
204,0.9845
205,0.984
206,0.985
207,0.984
208,0.984
209,0.983
210,0.9835
211,0.9835
212,0.9825
213,0.9825
214,0.983
215,0.983
216,0.983
217,0.983
218,0.983
219,0.983
220,0.9835
221,0.9835
222,0.9835
223,0.9835
224,0.983
225,0.983
226,0.9825
227,0.982
228,0.982
229,0.982
230,0.982
231,0.982
232,0.9825
233,0.9825
234,0.9825
235,0.983
236,0.983
237,0.983
238,0.983
239,0.982
240,0.982
241,0.982
242,0.9825
243,0.983
244,0.983
245,0.9825
246,0.9825
247,0.982
248,0.982
249,0.9825
250,0.983
251,0.983
252,0.983
253,0.983
254,0.9825
255,0.9825
256,0.9825
257,0.982
258,0.982
259,0.982
260,0.982
261,0.982
262,0.982
263,0.981
264,0.9815
265,0.9805
266,0.981
267,0.9805
268,0.981
269,0.9805
270,0.981
271,0.981
272,0.981
273,0.9815
274,0.981
275,0.9815
276,0.9815
277,0.9815
278,0.9815
279,0.9815
280,0.9815
281,0.9815
282,0.9815
283,0.9815
284,0.9815
285,0.9815
286,0.981
287,0.9805
288,0.9815
289,0.981
290,0.981
291,0.9815
292,0.9815
293,0.98
294,0.98
295,0.98
296,0.979
297,0.9805
298,0.981
299,0.98
300,0.98
301,0.98
302,0.98
303,0.9805
304,0.9805
305,0.9805
306,0.9805
307,0.98
308,0.98
309,0.9805
310,0.98
311,0.98
312,0.9805
313,0.9805
314,0.9815
315,0.982
316,0.982
317,0.982
318,0.9825
319,0.983
320,0.983
321,0.983
322,0.982
323,0.982
324,0.982
325,0.982
326,0.983
327,0.983
328,0.9805
329,0.9795
330,0.979
331,0.9795
332,0.9795
333,0.9775
334,0.977
335,0.977
336,0.978
337,0.978
338,0.9765
339,0.977
340,0.9765
341,0.977
342,0.9765
343,0.977
344,0.977
345,0.977
346,0.9775
347,0.978
348,0.9775
349,0.977
350,0.9775
351,0.978
352,0.978
353,0.9775
354,0.977
355,0.977
356,0.977
357,0.976
358,0.978
359,0.978
360,0.979
361,0.9785
362,0.9765
363,0.977
364,0.977
365,0.9775
366,0.977
367,0.9775
368,0.975
369,0.975
370,0.9755
371,0.9765
372,0.9745
373,0.976
374,0.9755
375,0.975
376,0.973
377,0.973
378,0.972
379,0.9725
380,0.971
381,0.9705
382,0.971
383,0.9705
384,0.9715
385,0.9715
386,0.9705
387,0.9705
388,0.9705
389,0.9705
390,0.971
391,0.9705
392,0.9705
393,0.9705
394,0.9715
395,0.9705
396,0.9615
397,0.9625
398,0.9595
399,0.961
400,0.9625
401,0.959
402,0.9595
403,0.9585
404,0.955
405,0.957
406,0.953
407,0.9535
408,0.9565
409,0.955
410,0.9545
411,0.9545
412,0.953
413,0.9545
414,0.9555
415,0.958
416,0.956
417,0.9585
418,0.964
419,0.9635
420,0.9545
421,0.9505
422,0.951
423,0.9495
424,0.951
425,0.95
426,0.951
427,0.951
428,0.952
429,0.951
430,0.951
431,0.951
432,0.949
433,0.951
434,0.95
435,0.949
436,0.9465
437,0.947
438,0.9545
439,0.9545
440,0.955
441,0.955
442,0.954
443,0.951
444,0.9515
445,0.954
446,0.9555
447,0.9525
448,0.9525
449,0.9505
450,0.9545
451,0.9555
452,0.958
453,0.9575
454,0.9555
455,0.957
456,0.959
457,0.9555
458,0.955
459,0.9565
460,0.945
461,0.9475
462,0.9425
463,0.94
464,0.941
465,0.9385
466,0.937
467,0.9375
468,0.932
469,0.927
470,0.927
471,0.9235
472,0.9005
473,0.8895
474,0.8815
475,0.8765
476,0.88
477,0.882
478,0.842
479,0.841
480,0.8405
481,0.819
482,0.826
483,0.8165
484,0.803
485,0.8
486,0.7945
487,0.766
488,0.765
489,0.751
490,0.704
491,0.709
492,0.702
493,0.6435
494,0.5845
495,0.5765
496,0.6945
497,0.481
498,0.481
499,0.481
