num_removed,accuracy
0,0.7985
1,0.7995
2,0.801
3,0.802
4,0.8015
5,0.8005
6,0.801
7,0.8015
8,0.8015
9,0.8015
10,0.804
11,0.804
12,0.8045
13,0.8045
14,0.803
15,0.8025
16,0.8025
17,0.802
18,0.801
19,0.8005
20,0.802
21,0.801
22,0.801
23,0.801
24,0.802
25,0.8035
26,0.8035
27,0.8025
28,0.802
29,0.799
30,0.8005
31,0.801
32,0.801
33,0.799
34,0.8
35,0.802
36,0.8025
37,0.8025
38,0.8
39,0.8
40,0.8
41,0.7995
42,0.7995
43,0.8
44,0.7995
45,0.7985
46,0.797
47,0.7965
48,0.797
49,0.796
50,0.796
51,0.794
52,0.794
53,0.794
54,0.7935
55,0.7935
56,0.7935
57,0.7935
58,0.794
59,0.793
60,0.7925
61,0.7925
62,0.7925
63,0.7935
64,0.794
65,0.7935
66,0.7935
67,0.7965
68,0.795
69,0.795
70,0.7945
71,0.7945
72,0.7925
73,0.7915
74,0.7915
75,0.7905
76,0.7895
77,0.7895
78,0.7915
79,0.791
80,0.7885
81,0.791
82,0.792
83,0.7915
84,0.7915
85,0.7915
86,0.79
87,0.7905
88,0.7905
89,0.7905
90,0.7865
91,0.7855
92,0.785
93,0.7865
94,0.7875
95,0.789
96,0.789
97,0.789
98,0.7895
99,0.79
100,0.787
101,0.788
102,0.7885
103,0.7885
104,0.789
105,0.7885
106,0.7885
107,0.7875
108,0.7865
109,0.7855
110,0.786
111,0.7865
112,0.786
113,0.786
114,0.786
115,0.786
116,0.7865
117,0.784
118,0.7845
119,0.7825
120,0.7825
121,0.7815
122,0.781
123,0.7805
124,0.782
125,0.7825
126,0.7825
127,0.787
128,0.786
129,0.785
130,0.7885
131,0.788
132,0.7855
133,0.786
134,0.787
135,0.7915
136,0.79
137,0.791
138,0.79
139,0.7895
140,0.7905
141,0.791
142,0.7905
143,0.7875
144,0.7895
145,0.791
146,0.7885
147,0.7875
148,0.7875
149,0.7865
150,0.7845
151,0.7855
152,0.782
153,0.7785
154,0.7785
155,0.7785
156,0.7805
157,0.776
158,0.7765
159,0.776
160,0.776
161,0.775
162,0.777
163,0.7785
164,0.7755
165,0.7785
166,0.7785
167,0.779
168,0.7785
169,0.778
170,0.777
171,0.776
172,0.775
173,0.7755
174,0.775
175,0.7745
176,0.7745
177,0.774
178,0.773
179,0.772
180,0.7725
